,lift_id,for_display,lat,lon,elevation,slope
0,256867846,True,45.85062460,-95.63063340,438.25,0.00
1,256867846,True,45.85032125,-95.63051325,440.05,2.94
2,256867846,True,45.85001790,-95.63039310,441.59,2.52
0,256867848,True,45.85038910,-95.63537520,428.07,0.00
1,256867848,True,45.85026890,-95.63523890,428.42,1.18
2,256867848,True,45.85000180,-95.63493570,431.73,5.00
3,256867848,True,45.84967130,-95.63456060,441.25,11.49
4,256867848,True,45.84945180,-95.63431140,450.45,16.47
5,256867848,True,45.84925310,-95.63408600,458.85,16.61
6,256867848,True,45.84918950,-95.63401380,460.59,10.92
7,256867848,True,45.84909630,-95.63390800,460.22,-1.60
8,256867848,True,45.84891100,-95.63369770,458.53,-3.68
9,256867848,True,45.84872570,-95.63348740,461.38,6.19
10,256867848,True,45.84840320,-95.63312140,471.37,12.33
11,256867848,True,45.84828350,-95.63298550,473.69,7.79
12,256867848,True,45.84810050,-95.63277780,478.01,9.46
13,256867848,True,45.84791750,-95.63257010,483.91,12.81
14,256867848,True,45.84780050,-95.63243730,486.55,9.04
0,313009493,True,45.85082170,-95.62883080,445.51,0.00
1,313009493,True,45.85060203,-95.62845372,449.85,6.50
2,313009493,True,45.85038235,-95.62807665,456.62,10.08
3,313009493,True,45.85016268,-95.62769958,464.93,12.31
4,313009493,True,45.84994300,-95.62732250,473.45,12.61
0,313017574,True,45.85066270,-95.62986190,439.51,0.00
1,313017574,True,45.85034870,-95.62971000,443.29,5.86
2,313017574,True,45.84995070,-95.62951750,448.06,5.83
3,313017574,True,45.84956430,-95.62933060,460.62,15.48
4,313017574,True,45.84929950,-95.62920250,471.69,19.61
5,313017574,True,45.84903190,-95.62907310,481.18,16.82
6,313017574,True,45.84876270,-95.62894290,493.01,20.53
0,313017575,True,45.85018260,-95.63106390,438.09,0.00
1,313017575,True,45.85005060,-95.63113520,439.89,6.55
2,313017575,True,45.84967030,-95.63134050,445.07,6.54
3,313017575,True,45.84930230,-95.63153910,451.36,8.19
4,313017575,True,45.84908260,-95.63165770,457.72,13.70
5,313017575,True,45.84886290,-95.63177630,467.55,20.64
6,313017575,True,45.84857650,-95.63193090,474.80,12.03
7,313017575,True,45.84822200,-95.63212230,481.22,8.67
8,313017575,True,45.84805240,-95.63221390,484.06,8.02
