,lift_id,for_display,lat,lon,elevation,slope
0,150810655,True,42.61918150,-72.87925490,188.61,0.00
1,150810655,True,42.61884580,-72.87910210,192.10,5.07
2,150810655,True,42.61846730,-72.87892990,201.48,11.93
3,150810655,True,42.61819695,-72.87879235,210.03,14.91
4,150810655,True,42.61792660,-72.87865480,219.97,17.21
5,150810655,True,42.61765820,-72.87851815,228.48,14.95
6,150810655,True,42.61738980,-72.87838150,236.94,14.87
7,150810655,True,42.61711600,-72.87824070,245.54,14.80
8,150810655,True,42.61684220,-72.87809990,253.58,13.87
9,150810655,True,42.61655765,-72.87795355,262.76,15.18
10,150810655,True,42.61627310,-72.87780720,272.27,15.70
11,150810655,True,42.61595745,-72.87764485,282.10,14.68
12,150810655,True,42.61564180,-72.87748250,291.01,13.36
13,150810655,True,42.61526710,-72.87728980,301.84,13.66
14,150810655,True,42.61489240,-72.87709710,310.96,11.57
15,150810655,True,42.61464420,-72.87696945,318.76,14.81
16,150810655,True,42.61439600,-72.87684180,327.86,17.14
17,150810655,True,42.61408645,-72.87668260,334.56,10.32
18,150810655,True,42.61377690,-72.87652340,344.02,14.42
19,150810655,True,42.61339630,-72.87632760,351.71,9.64
20,150810655,True,42.61316395,-72.87620810,355.54,7.89
21,150810655,True,42.61293160,-72.87608860,360.06,9.29
22,150810655,True,42.61270640,-72.87597280,362.89,6.03
23,150810655,True,42.61248120,-72.87585700,363.17,0.60
0,150810656,True,42.62125080,-72.87579460,187.38,0.00
1,150810656,True,42.62094580,-72.87552560,194.63,10.17
2,150810656,True,42.62069635,-72.87530555,198.01,5.84
3,150810656,True,42.62044690,-72.87508550,204.18,10.57
4,150810656,True,42.62017250,-72.87484345,213.78,14.78
5,150810656,True,42.61989810,-72.87460140,226.21,18.87
6,150810656,True,42.61966855,-72.87439440,238.08,21.18
7,150810656,True,42.61943900,-72.87418740,249.78,20.90
8,150810656,True,42.61918165,-72.87395345,261.22,18.38
9,150810656,True,42.61892430,-72.87371950,271.03,15.90
10,150810656,True,42.61873080,-72.87354053,277.82,14.62
11,150810656,True,42.61853730,-72.87336155,284.25,13.88
12,150810656,True,42.61834380,-72.87318258,290.69,13.90
13,150810656,True,42.61815030,-72.87300360,298.28,16.26
14,150810656,True,42.61782680,-72.87270400,310.84,16.09
15,150810656,True,42.61750330,-72.87240440,323.50,16.22
16,150810656,True,42.61727255,-72.87219030,330.62,12.91
17,150810656,True,42.61704180,-72.87197620,338.86,14.85
18,150810656,True,42.61671915,-72.87167690,356.90,22.55
19,150810656,True,42.61639650,-72.87137760,374.59,22.16
20,150810656,True,42.61602860,-72.87103630,396.53,23.89
21,150810656,True,42.61566070,-72.87069500,420.07,25.42
22,150810656,True,42.61544085,-72.87049095,432.39,22.59
23,150810656,True,42.61522100,-72.87028690,439.47,13.45
24,150810656,True,42.61491525,-72.87000315,448.99,13.02
25,150810656,True,42.61460950,-72.86971940,457.87,12.17
26,150810656,True,42.61429965,-72.86943190,458.24,0.51
27,150810656,True,42.61398980,-72.86914440,461.24,4.11
28,150810656,True,42.61392690,-72.86908600,463.17,12.84
0,150810657,True,42.62123900,-72.87651580,185.82,0.00
1,150810657,True,42.62092100,-72.87624440,187.01,1.63
2,150810657,True,42.62063845,-72.87600325,190.29,5.05
3,150810657,True,42.62035590,-72.87576210,195.88,8.57
4,150810657,True,42.62006925,-72.87551745,203.81,11.90
5,150810657,True,42.61978260,-72.87527280,217.34,19.77
6,150810657,True,42.61951705,-72.87503105,232.46,23.05
7,150810657,True,42.61925150,-72.87478930,245.31,19.88
8,150810657,True,42.61895695,-72.87452115,258.47,18.46
9,150810657,True,42.61866240,-72.87425300,268.73,14.59
10,150810657,True,42.61833285,-72.87395290,278.99,13.09
11,150810657,True,42.61800330,-72.87365280,288.47,12.13
12,150810657,True,42.61766715,-72.87336295,297.87,11.99
13,150810657,True,42.61733100,-72.87307310,309.25,14.42
14,150810657,True,42.61700040,-72.87278810,322.95,17.47
15,150810657,True,42.61681165,-72.87260780,331.44,18.31
16,150810657,True,42.61662290,-72.87242750,338.55,15.49
17,150810657,True,42.61627360,-72.87209380,356.01,20.19
18,150810657,True,42.61592430,-72.87176010,375.98,22.81
19,150810657,True,42.61558750,-72.87145950,396.03,24.11
20,150810657,True,42.61525070,-72.87115890,416.43,24.48
21,150810657,True,42.61500090,-72.87093550,433.26,26.85
22,150810657,True,42.61463970,-72.87061240,450.90,20.15
23,150810657,True,42.61443260,-72.87042720,461.26,20.60
24,150810657,True,42.61419820,-72.87021750,466.22,9.03
0,255823445,True,42.62216370,-72.87702580,179.59,0.00
1,255823445,True,42.62197060,-72.87671030,182.42,4.82
2,255823445,True,42.62181240,-72.87645180,185.04,5.44
0,255823446,True,42.62027180,-72.87849080,184.02,0.00
1,255823446,True,42.62013970,-72.87846380,184.26,0.93
2,255823446,True,42.61986860,-72.87840840,187.55,6.16
3,255823446,True,42.61943150,-72.87831910,193.17,6.52
4,255823446,True,42.61906570,-72.87824430,202.16,12.33
0,255823447,True,42.61920620,-72.87955320,188.17,0.00
1,255823447,True,42.61909963,-72.87982813,184.82,-7.51
2,255823447,True,42.61899305,-72.88010305,182.54,-5.12
3,255823447,True,42.61888647,-72.88037798,180.52,-4.54
4,255823447,True,42.61877990,-72.88065290,178.63,-4.25
