,lift_id,for_display,lat,lon,elevation,slope
0,255805182,True,42.21472310,-71.11901360,80.44,0.00
1,255805182,True,42.21451765,-71.11864875,89.32,13.24
2,255805182,True,42.21431220,-71.11828390,96.53,10.81
3,255805182,True,42.21405470,-71.11782560,112.77,18.92
4,255805182,True,42.21387840,-71.11750785,125.72,21.61
5,255805182,True,42.21370210,-71.11719010,136.82,18.75
6,255805182,True,42.21355605,-71.11693400,143.70,14.49
7,255805182,True,42.21341000,-71.11667790,151.55,16.43
8,255805182,True,42.21326790,-71.11642590,159.11,16.16
9,255805182,True,42.21312580,-71.11617390,164.25,11.15
10,255805182,True,42.21298370,-71.11592190,170.15,12.75
11,255805182,True,42.21284160,-71.11566990,175.89,12.41
0,903463065,True,42.21745280,-71.11743250,92.40,0.00
1,903463065,True,42.21705910,-71.11745920,96.15,4.89
2,903463065,True,42.21666540,-71.11748590,99.37,4.20
0,903463066,True,42.21617440,-71.11898990,81.07,0.00
1,903463066,True,42.21648240,-71.11886250,81.43,0.58
0,903463067,True,42.21724870,-71.11858770,82.50,0.00
1,903463067,True,42.21720405,-71.11827130,85.55,6.56
2,903463067,True,42.21715940,-71.11795490,89.01,7.43
