,lift_id,for_display,lat,lon,elevation,slope
0,158794847,True,43.76623220,-116.07057830,1758.95,0.00
1,158794847,True,43.76639490,-116.07111307,1761.86,3.57
2,158794847,True,43.76655761,-116.07164783,1768.97,8.68
3,158794847,True,43.76672031,-116.07218260,1784.19,18.09
4,158794847,True,43.76688301,-116.07271736,1782.15,-2.51
5,158794847,True,43.76704572,-116.07325213,1788.67,7.97
6,158794847,True,43.76720842,-116.07378689,1794.50,7.13
7,158794847,True,43.76737112,-116.07432166,1808.26,16.45
8,158794847,True,43.76753383,-116.07485642,1817.93,11.72
9,158794847,True,43.76769653,-116.07539119,1830.09,14.63
10,158794847,True,43.76785923,-116.07592596,1850.54,23.70
11,158794847,True,43.76802193,-116.07646072,1861.05,12.71
12,158794847,True,43.76818464,-116.07699549,1876.23,18.04
13,158794847,True,43.76834734,-116.07753025,1893.43,20.26
14,158794847,True,43.76851004,-116.07806502,1908.98,18.45
15,158794847,True,43.76867275,-116.07859978,1926.86,20.99
16,158794847,True,43.76883545,-116.07913455,1942.48,18.53
17,158794847,True,43.76899815,-116.07966932,1959.08,19.61
18,158794847,True,43.76916086,-116.08020408,1972.87,16.49
19,158794847,True,43.76932356,-116.08073885,1993.55,23.93
20,158794847,True,43.76948626,-116.08127361,2014.43,24.14
21,158794847,True,43.76964897,-116.08180838,2038.24,27.07
22,158794847,True,43.76981167,-116.08234314,2061.60,26.63
23,158794847,True,43.76997437,-116.08287791,2085.07,26.73
24,158794847,True,43.77013707,-116.08341268,2111.45,29.52
25,158794847,True,43.77029978,-116.08394744,2142.84,33.97
26,158794847,True,43.77046248,-116.08448221,2153.71,13.13
27,158794847,True,43.77062518,-116.08501697,2173.02,22.51
28,158794847,True,43.77078789,-116.08555174,2196.33,26.58
29,158794847,True,43.77095059,-116.08608650,2232.13,37.54
30,158794847,True,43.77111329,-116.08662127,2257.02,28.11
31,158794847,True,43.77127600,-116.08715603,2277.88,24.12
32,158794847,True,43.77143870,-116.08769080,2297.75,23.10
0,158794848,True,43.76426230,-116.09617980,1932.62,0.00
1,158794848,True,43.76398960,-116.09612750,1933.96,2.51
2,158794848,True,43.76371690,-116.09607520,1939.81,10.82
3,158794848,True,43.76346850,-116.09602790,1946.02,12.56
4,158794848,True,43.76323310,-116.09598300,1949.34,7.16
5,158794848,True,43.76296733,-116.09593243,1950.82,2.84
6,158794848,True,43.76270155,-116.09588185,1957.99,13.51
7,158794848,True,43.76243578,-116.09583128,1966.44,15.82
8,158794848,True,43.76217000,-116.09578070,1974.83,15.71
9,158794848,True,43.76194307,-116.09573748,1980.45,12.44
10,158794848,True,43.76171615,-116.09569425,1989.26,19.08
11,158794848,True,43.76148922,-116.09565102,1996.24,15.32
12,158794848,True,43.76126230,-116.09560780,2001.09,10.78
13,158794848,True,43.76085030,-116.09552940,2011.97,13.24
14,158794848,True,43.76049200,-116.09546120,2025.26,18.29
15,158794848,True,43.76032570,-116.09542950,2031.29,17.90
16,158794848,True,43.75991220,-116.09535080,2041.99,12.98
17,158794848,True,43.75980850,-116.09533110,2043.26,6.23
18,158794848,True,43.75954200,-116.09528035,2046.90,6.94
19,158794848,True,43.75927550,-116.09522960,2050.89,7.60
20,158794848,True,43.75903938,-116.09518465,2054.99,8.79
21,158794848,True,43.75880325,-116.09513970,2059.98,10.66
22,158794848,True,43.75856712,-116.09509475,2068.16,17.15
23,158794848,True,43.75833100,-116.09504980,2075.49,15.46
24,158794848,True,43.75805150,-116.09499660,2082.16,12.00
25,158794848,True,43.75763530,-116.09491740,2092.69,12.70
26,158794848,True,43.75721910,-116.09483820,2106.07,15.98
27,158794848,True,43.75699320,-116.09479520,2113.07,15.43
28,158794848,True,43.75676730,-116.09475220,2119.36,13.93
29,158794848,True,43.75671310,-116.09474190,2120.57,11.25
30,158794848,True,43.75661800,-116.09472380,2122.24,8.89
31,158794848,True,43.75638928,-116.09468028,2126.46,9.34
32,158794848,True,43.75616055,-116.09463675,2131.29,10.65
33,158794848,True,43.75593183,-116.09459323,2137.02,12.58
34,158794848,True,43.75570310,-116.09454970,2141.16,9.16
35,158794848,True,43.75560440,-116.09453090,2142.21,5.41
36,158794848,True,43.75531305,-116.09447560,2143.81,2.80
37,158794848,True,43.75502170,-116.09442030,2137.96,-10.14
0,158794849,True,43.76372570,-116.10246420,1885.16,0.00
1,158794849,True,43.76334050,-116.10221440,1896.96,14.01
2,158794849,True,43.76306955,-116.10203885,1908.05,18.44
3,158794849,True,43.76279860,-116.10186330,1918.07,16.76
4,158794849,True,43.76255235,-116.10170372,1922.38,8.11
5,158794849,True,43.76230610,-116.10154415,1928.95,12.26
6,158794849,True,43.76205985,-116.10138457,1939.66,19.51
7,158794849,True,43.76181360,-116.10122500,1953.78,25.04
8,158794849,True,43.76141940,-116.10096950,1971.18,19.77
9,158794849,True,43.76104480,-116.10072680,1983.43,14.92
10,158794849,True,43.76067020,-116.10048410,1994.13,13.10
11,158794849,True,43.76037417,-116.10029228,1998.67,7.12
12,158794849,True,43.76007815,-116.10010045,2008.60,15.28
13,158794849,True,43.75978213,-116.09990862,2020.29,17.83
14,158794849,True,43.75948610,-116.09971680,2031.47,17.10
15,158794849,True,43.75917930,-116.09951803,2043.71,18.00
16,158794849,True,43.75887250,-116.09931925,2056.96,19.38
17,158794849,True,43.75856570,-116.09912048,2070.53,19.81
18,158794849,True,43.75825890,-116.09892170,2085.28,21.39
19,158794849,True,43.75800440,-116.09875680,2094.70,16.78
20,158794849,True,43.75774990,-116.09859190,2101.57,12.40
21,158794849,True,43.75748020,-116.09841715,2105.51,6.79
22,158794849,True,43.75721050,-116.09824240,2109.54,6.94
23,158794849,True,43.75699052,-116.09809988,2113.80,8.96
24,158794849,True,43.75677055,-116.09795735,2118.42,9.71
25,158794849,True,43.75655057,-116.09781483,2122.83,9.27
26,158794849,True,43.75633060,-116.09767230,2124.92,4.43
27,158794849,True,43.75598108,-116.09744582,2118.79,-8.13
28,158794849,True,43.75563155,-116.09721935,2130.48,15.24
29,158794849,True,43.75528202,-116.09699288,2140.81,13.54
30,158794849,True,43.75493250,-116.09676640,2150.55,12.79
31,158794849,True,43.75473890,-116.09664120,2154.95,10.49
0,158794851,True,43.76392330,-116.10148250,1889.49,0.00
1,158794851,True,43.76426425,-116.10143070,1889.15,-0.51
2,158794851,True,43.76460520,-116.10137890,1890.19,1.56
3,158794851,True,43.76492385,-116.10133070,1893.70,5.62
4,158794851,True,43.76524250,-116.10128250,1901.54,12.41
5,158794851,True,43.76556640,-116.10123350,1906.24,7.39
6,158794851,True,43.76581745,-116.10119555,1907.20,1.96
7,158794851,True,43.76606850,-116.10115760,1912.61,10.90
8,158794851,True,43.76641720,-116.10110480,1913.42,1.19
9,158794851,True,43.76676590,-116.10105200,1921.80,12.13
10,158794851,True,43.76721170,-116.10098455,1932.99,12.65
11,158794851,True,43.76765750,-116.10091710,1944.50,13.00
12,158794851,True,43.76804610,-116.10085820,1958.96,18.40
13,158794851,True,43.76834725,-116.10081265,1965.06,10.26
14,158794851,True,43.76864840,-116.10076710,1973.14,13.49
15,158794851,True,43.76879550,-116.10074480,1978.69,18.64
16,158794851,True,43.76922405,-116.10067995,1986.84,9.65
17,158794851,True,43.76965260,-116.10061510,2001.83,17.36
18,158794851,True,43.76995210,-116.10056975,2011.28,15.75
19,158794851,True,43.77025160,-116.10052440,2021.27,16.60
20,158794851,True,43.77066330,-116.10046210,2033.64,15.04
21,158794851,True,43.77110120,-116.10039580,2045.64,13.77
22,158794851,True,43.77153910,-116.10032950,2060.20,16.55
23,158794851,True,43.77181440,-116.10028780,2071.08,19.46
24,158794851,True,43.77198490,-116.10026210,2076.94,17.08
0,158794852,True,43.76366370,-116.10323680,1885.62,0.00
1,158794852,True,43.76349980,-116.10332470,1886.11,1.44
2,158794852,True,43.76315675,-116.10351035,1893.93,10.81
3,158794852,True,43.76281370,-116.10369600,1906.23,16.72
4,158794852,True,43.76253390,-116.10384740,1916.16,16.56
5,158794852,True,43.76225410,-116.10399880,1926.96,17.92
6,158794852,True,43.76211230,-116.10407560,1931.28,14.31
7,158794852,True,43.76200560,-116.10413340,1933.59,10.28
8,158794852,True,43.76169950,-116.10429900,1935.67,3.26
0,158794854,True,43.77690220,-116.10718760,1898.68,0.00
1,158794854,True,43.77660410,-116.10695930,1904.94,9.38
2,158794854,True,43.77637070,-116.10678105,1914.18,17.32
3,158794854,True,43.77613730,-116.10660280,1922.38,15.47
4,158794854,True,43.77588210,-116.10640790,1931.05,14.98
5,158794854,True,43.77562690,-116.10621300,1940.89,16.89
6,158794854,True,43.77534210,-116.10599550,1951.29,16.04
7,158794854,True,43.77505730,-116.10577800,1963.75,19.01
8,158794854,True,43.77469515,-116.10550140,1982.18,21.84
9,158794854,True,43.77433300,-116.10522480,2001.31,22.59
10,158794854,True,43.77403100,-116.10499415,2011.56,14.96
11,158794854,True,43.77372900,-116.10476350,2011.58,0.03
12,158794854,True,43.77334435,-116.10446970,2011.84,0.30
13,158794854,True,43.77295970,-116.10417590,2018.98,8.32
14,158794854,True,43.77272093,-116.10399355,2023.18,7.89
15,158794854,True,43.77248215,-116.10381120,2028.09,9.20
16,158794854,True,43.77224338,-116.10362885,2036.06,14.73
17,158794854,True,43.77200460,-116.10344650,2046.20,18.49
18,158794854,True,43.77182860,-116.10331220,2054.37,20.08
19,158794854,True,43.77174170,-116.10324580,2058.18,19.05
20,158794854,True,43.77152200,-116.10307850,2060.89,5.55
0,158794855,True,43.78254150,-116.09706230,1836.35,0.00
1,158794855,True,43.78222726,-116.09688824,1841.89,8.37
2,158794855,True,43.78191302,-116.09671418,1855.63,20.06
3,158794855,True,43.78159878,-116.09654011,1871.02,22.24
4,158794855,True,43.78128454,-116.09636605,1886.80,22.75
5,158794855,True,43.78097030,-116.09619199,1904.04,24.61
6,158794855,True,43.78065606,-116.09601792,1918.44,20.94
7,158794855,True,43.78034182,-116.09584386,1934.70,23.37
8,158794855,True,43.78002758,-116.09566980,1952.45,25.25
9,158794855,True,43.77971333,-116.09549574,1970.06,25.08
10,158794855,True,43.77939909,-116.09532167,1986.81,23.99
11,158794855,True,43.77908485,-116.09514761,2006.20,27.26
12,158794855,True,43.77877061,-116.09497355,2025.31,26.92
13,158794855,True,43.77845637,-116.09479949,2044.67,27.22
14,158794855,True,43.77814213,-116.09462543,2061.72,24.37
15,158794855,True,43.77782789,-116.09445136,2076.02,20.81
16,158794855,True,43.77751365,-116.09427730,2084.10,12.12
17,158794855,True,43.77719941,-116.09410324,2091.32,10.86
18,158794855,True,43.77688517,-116.09392917,2100.77,14.10
19,158794855,True,43.77657093,-116.09375511,2110.49,14.48
20,158794855,True,43.77625669,-116.09358105,2121.71,16.60
21,158794855,True,43.77594245,-116.09340699,2132.98,16.67
22,158794855,True,43.77562821,-116.09323293,2144.24,16.66
23,158794855,True,43.77531397,-116.09305886,2155.62,16.82
24,158794855,True,43.77499973,-116.09288480,2168.56,18.98
25,158794855,True,43.77468548,-116.09271074,2180.76,17.96
26,158794855,True,43.77437124,-116.09253668,2194.75,20.39
27,158794855,True,43.77405700,-116.09236261,2207.94,19.31
28,158794855,True,43.77374276,-116.09218855,2222.02,20.51
29,158794855,True,43.77342852,-116.09201449,2237.74,22.67
30,158794855,True,43.77311428,-116.09184043,2251.88,20.59
31,158794855,True,43.77280004,-116.09166636,2266.19,20.82
32,158794855,True,43.77248580,-116.09149230,2276.10,14.75
33,158794855,True,43.77235290,-116.09142160,2276.90,2.89
0,319975149,True,43.76331740,-116.10348230,1889.03,0.00
1,319975149,True,43.76313145,-116.10375320,1891.90,5.46
2,319975149,True,43.76294550,-116.10402410,1895.21,6.29
0,319975150,True,43.76324180,-116.10404820,1889.77,0.00
1,319975150,True,43.76305245,-116.10431642,1892.83,5.80
2,319975150,True,43.76286310,-116.10458465,1896.56,7.06
3,319975150,True,43.76267375,-116.10485288,1900.24,6.97
