lift_id,for_display,lat,lon,elevation,slope,index
17144390,True,39.48024080,-106.06760100,3034.79,0.00,0
17144390,True,39.47997380,-106.06790030,3039.28,6.52,1
17144390,True,39.47967540,-106.06823470,3048.14,11.42,2
17144390,True,39.47948355,-106.06844970,3054.40,12.51,3
17144390,True,39.47929170,-106.06866470,3059.58,10.41,4
17144390,True,39.47908715,-106.06889400,3065.16,10.51,5
17144390,True,39.47888260,-106.06912330,3071.07,11.12,6
17144390,True,39.47864475,-106.06938980,3077.98,11.18,7
17144390,True,39.47840690,-106.06965630,3088.36,16.53,8
17144390,True,39.47811360,-106.06998500,3098.27,12.94,9
17144390,True,39.47791500,-106.07020760,3103.95,11.01,10
17144390,True,39.47771640,-106.07043020,3110.64,12.90,11
17144390,True,39.47747435,-106.07070150,3118.49,12.44,12
17144390,True,39.47723230,-106.07097280,3126.51,12.70,13
17144390,True,39.47705020,-106.07117685,3133.24,14.11,14
17144390,True,39.47686810,-106.07138090,3139.99,14.15,15
17144390,True,39.47667000,-106.07160290,3146.74,13.05,16
17144390,True,39.47647190,-106.07182490,3153.97,13.94,17
17144390,True,39.47622070,-106.07210650,3163.73,14.80,18
17144390,True,39.47612310,-106.07221580,3167.04,12.99,19
17144390,True,39.47594370,-106.07241690,3174.05,14.88,20
17144390,True,39.47576430,-106.07261800,3180.69,14.13,21
17144390,True,39.47557350,-106.07283180,3184.64,8.02,22
17144390,True,39.47538270,-106.07304560,3189.93,10.68,23
17144390,True,39.47509335,-106.07336990,3197.96,10.69,24
17144390,True,39.47480400,-106.07369420,3205.93,10.61,25
17144390,True,39.47456130,-106.07396615,3213.15,11.44,26
17144390,True,39.47431860,-106.07423810,3220.56,11.73,27
17144390,True,39.47407830,-106.07450525,3228.09,12.07,28
17144390,True,39.47383800,-106.07477240,3234.64,10.54,29
17144390,True,39.47365055,-106.07498355,3241.42,13.79,30
17144390,True,39.47346310,-106.07519470,3249.16,15.65,31
17144390,True,39.47334790,-106.07532440,3253.69,14.95,32
17144390,True,39.47308820,-106.07561700,3254.51,1.23,33
23259944,True,39.48072450,-106.06795600,3033.34,0.00,0
23259944,True,39.48052105,-106.06831295,3035.67,3.50,1
23259944,True,39.48031760,-106.06866990,3044.33,12.81,2
23259944,True,39.48009715,-106.06905660,3054.10,13.32,3
23259944,True,39.47987670,-106.06944330,3063.16,12.38,4
23259944,True,39.47973832,-106.06968605,3068.10,10.80,5
23259944,True,39.47959995,-106.06992880,3072.76,10.20,6
23259944,True,39.47946158,-106.07017155,3077.42,10.20,7
23259944,True,39.47932320,-106.07041430,3081.20,8.30,8
23259944,True,39.47918098,-106.07066382,3086.94,12.17,9
23259944,True,39.47903875,-106.07091335,3092.28,11.34,10
23259944,True,39.47889652,-106.07116287,3098.26,12.66,11
23259944,True,39.47875430,-106.07141240,3104.80,13.80,12
23259944,True,39.47850570,-106.07184855,3111.90,8.68,13
23259944,True,39.47825710,-106.07228470,3120.49,10.46,14
23259944,True,39.47808708,-106.07258297,3123.43,5.28,15
23259944,True,39.47791705,-106.07288125,3129.89,11.47,16
23259944,True,39.47774702,-106.07317953,3135.88,10.66,17
23259944,True,39.47757700,-106.07347780,3143.19,12.94,18
23259944,True,39.47739592,-106.07379545,3144.15,1.62,19
23259944,True,39.47721485,-106.07411310,3149.40,8.81,20
23259944,True,39.47703377,-106.07443075,3154.12,7.93,21
23259944,True,39.47685270,-106.07474840,3161.75,12.69,22
23259944,True,39.47668563,-106.07504153,3168.15,11.57,23
23259944,True,39.47651855,-106.07533465,3171.90,6.84,24
23259944,True,39.47635148,-106.07562778,3177.19,9.60,25
23259944,True,39.47618440,-106.07592090,3181.93,8.62,26
23259944,True,39.47593770,-106.07635370,3189.59,9.42,27
23259944,True,39.47569100,-106.07678650,3200.01,12.72,28
23259944,True,39.47547930,-106.07715785,3206.30,9.02,29
23259944,True,39.47526760,-106.07752920,3215.96,13.70,30
23259944,True,39.47511225,-106.07780175,3225.48,18.13,31
23259944,True,39.47495690,-106.07807430,3239.75,26.14,32
23259944,True,39.47479990,-106.07834965,3252.94,24.18,33
23259944,True,39.47464290,-106.07862500,3265.83,23.69,34
23259944,True,39.47441170,-106.07903070,3272.95,9.34,35
23259944,True,39.47426430,-106.07928928,3279.37,13.10,36
23259944,True,39.47411690,-106.07954785,3285.90,13.32,37
23259944,True,39.47396950,-106.07980643,3292.24,12.94,38
23259944,True,39.47382210,-106.08006500,3302.19,19.83,39
23259944,True,39.47361520,-106.08042785,3314.73,17.95,40
23259944,True,39.47340830,-106.08079070,3329.11,20.37,41
23259944,True,39.47325350,-106.08106230,3336.92,15.08,42
