lift_id,for_display,lat,lon,elevation,slope,index
143024812,True,42.74434970,-77.40511920,312.53,0.00,0
143024812,True,42.74423320,-77.40557990,315.34,4.04,1
143024812,True,42.74415490,-77.40588950,318.05,5.79,2
143024812,True,42.74407660,-77.40619910,323.76,12.05,3
143024812,True,42.74397000,-77.40662050,333.12,14.42,4
143024812,True,42.74386340,-77.40704190,344.23,16.97,5
143024812,True,42.74375930,-77.40745335,356.28,18.73,6
143024812,True,42.74365520,-77.40786480,370.60,21.95,7
143024812,True,42.74354525,-77.40829950,382.11,17.04,8
143024812,True,42.74343530,-77.40873420,393.79,17.28,9
143024812,True,42.74334585,-77.40908800,403.85,18.22,10
143024812,True,42.74325640,-77.40944180,411.68,14.37,11
143024812,True,42.74316570,-77.40980020,417.35,10.38,12
143024812,True,42.74306120,-77.41021330,423.44,9.69,13
143024812,True,42.74304170,-77.41029050,424.67,10.45,14
143024816,True,42.74748550,-77.40604190,311.25,0.00,0
143024816,True,42.74747150,-77.40654110,315.91,6.52,1
143024816,True,42.74746170,-77.40689060,323.32,14.55,2
143024816,True,42.74745190,-77.40724010,332.13,17.14,3
143024816,True,42.74744305,-77.40755525,340.83,18.67,4
143024816,True,42.74743420,-77.40787040,348.95,17.50,5
143024816,True,42.74742155,-77.40832195,360.60,17.52,6
143024816,True,42.74740890,-77.40877350,373.48,19.24,7
143024816,True,42.74739440,-77.40929065,387.93,18.88,8
143024816,True,42.74737990,-77.40980780,397.46,12.71,9
143024816,True,42.74736280,-77.41041670,413.38,17.74,10
143024816,True,42.74734570,-77.41102560,429.15,17.59,11
143024816,True,42.74733535,-77.41139477,437.24,15.01,12
143024816,True,42.74732500,-77.41176395,445.31,14.98,13
143024816,True,42.74731465,-77.41213312,452.83,14.00,14
143024816,True,42.74730430,-77.41250230,462.18,17.22,15
143024816,True,42.74729385,-77.41287460,470.80,15.82,16
143024816,True,42.74728340,-77.41324690,479.23,15.49,17
143024816,True,42.74727295,-77.41361920,489.86,19.26,18
143024816,True,42.74726250,-77.41399150,503.21,23.69,19
143024816,True,42.74725340,-77.41431590,515.19,24.32,20
143024816,True,42.74724430,-77.41464030,524.25,18.87,21
143024816,True,42.74723520,-77.41496470,533.19,18.64,22
143024816,True,42.74722610,-77.41528910,541.80,17.99,23
143024816,True,42.74721710,-77.41561032,549.84,17.03,24
143024816,True,42.74720810,-77.41593155,559.29,19.80,25
143024816,True,42.74719910,-77.41625278,567.65,17.67,26
143024816,True,42.74719010,-77.41657400,575.90,17.45,27
143024816,True,42.74718117,-77.41689188,583.97,17.26,28
143024816,True,42.74717225,-77.41720975,592.84,18.85,29
143024816,True,42.74716333,-77.41752762,601.93,19.29,30
143024816,True,42.74715440,-77.41784550,609.42,16.08,31
143024816,True,42.74714390,-77.41822130,617.59,14.90,32
143024816,True,42.74713340,-77.41859710,625.58,14.58,33
143024816,True,42.74712475,-77.41890478,631.51,13.27,34
143024816,True,42.74711610,-77.41921245,635.53,9.08,35
143024816,True,42.74710745,-77.41952012,638.64,7.05,36
143024816,True,42.74709880,-77.41982780,641.54,6.58,37
143024816,True,42.74708460,-77.42033435,645.95,6.08,38
143024816,True,42.74707040,-77.42084090,649.78,5.29,39
143024816,True,42.74706000,-77.42121240,652.17,4.50,40
143024822,True,42.74367170,-77.40435740,308.68,0.00,0
143024822,True,42.74358305,-77.40470610,310.84,4.10,1
143024822,True,42.74349440,-77.40505480,313.04,4.18,2
143024822,True,42.74340575,-77.40540350,315.35,4.38,3
143024822,True,42.74331710,-77.40575220,319.02,6.94,4
143024853,True,42.73601300,-77.41258650,501.17,0.00,0
143024853,True,42.73609140,-77.41272380,503.93,11.00,1
143024853,True,42.73616980,-77.41286110,506.74,11.19,2
143024853,True,42.73630560,-77.41309890,511.20,10.28,3
143024853,True,42.73650770,-77.41345275,516.93,8.90,4
143024853,True,42.73670980,-77.41380660,524.78,12.10,5
143024853,True,42.73693505,-77.41420105,532.54,10.77,6
143024853,True,42.73716030,-77.41459550,540.04,10.41,7
143024853,True,42.73738935,-77.41499665,549.92,13.39,8
143024853,True,42.73761840,-77.41539780,557.16,9.90,9
143024853,True,42.73784340,-77.41579175,566.16,12.45,10
