,lift_id,for_display,lat,lon,elevation,slope
0,171655467,True,43.22051140,-72.93267650,713.07,0.00
1,171655467,True,43.22075515,-72.93289555,715.88,4.96
2,171655467,True,43.22099890,-72.93311460,722.51,11.57
3,171655467,True,43.22119400,-72.93328995,727.03,9.89
4,171655467,True,43.22138910,-72.93346530,730.74,8.14
5,171655467,True,43.22172490,-72.93376710,741.50,13.55
6,171655467,True,43.22206070,-72.93406890,753.15,14.63
7,171655467,True,43.22237830,-72.93435435,766.22,17.20
8,171655467,True,43.22269590,-72.93463980,783.21,21.92
9,171655467,True,43.22303155,-72.93494145,799.73,20.32
10,171655467,True,43.22336720,-72.93524310,817.89,22.15
11,171655467,True,43.22367550,-72.93552020,833.53,20.89
12,171655467,True,43.22398380,-72.93579730,847.37,18.66
13,171655467,True,43.22424780,-72.93603450,859.92,19.68
14,171655467,True,43.22455935,-72.93631450,867.82,10.80
15,171655467,True,43.22487090,-72.93659450,878.97,15.07
16,171655467,True,43.22511865,-72.93681715,891.35,20.60
17,171655467,True,43.22536640,-72.93703980,902.61,18.88
18,171655467,True,43.22557705,-72.93722920,912.89,20.16
19,171655467,True,43.22578770,-72.93741860,927.03,26.79
20,171655467,True,43.22607595,-72.93767765,941.41,20.57
21,171655467,True,43.22636420,-72.93793670,955.10,19.66
22,171655467,True,43.22662820,-72.93817400,965.80,16.96
23,171655467,True,43.22689220,-72.93841130,976.45,16.88
24,171655467,True,43.22725130,-72.93873400,987.19,12.68
25,171655467,True,43.22739450,-72.93886270,990.35,9.43
26,171655467,True,43.22753780,-72.93899150,992.92,7.68
0,171655468,True,43.21415690,-72.93444300,607.90,0.00
1,171655468,True,43.21439885,-72.93441335,612.40,9.46
2,171655468,True,43.21464080,-72.93438370,620.33,16.36
3,171655468,True,43.21504240,-72.93433440,629.82,11.95
4,171655468,True,43.21537040,-72.93429420,635.68,9.09
5,171655468,True,43.21569840,-72.93425400,641.20,8.57
6,171655468,True,43.21604745,-72.93421115,650.40,13.28
7,171655468,True,43.21639650,-72.93416830,657.88,10.87
8,171655468,True,43.21664080,-72.93413835,661.83,8.24
9,171655468,True,43.21688510,-72.93410840,665.40,7.46
10,171655468,True,43.21727200,-72.93406095,670.79,7.11
11,171655468,True,43.21765890,-72.93401350,676.50,7.53
12,171655468,True,43.21799530,-72.93397225,683.04,9.88
13,171655468,True,43.21833170,-72.93393100,688.12,7.70
14,171655468,True,43.21870385,-72.93388535,698.37,13.86
15,171655468,True,43.21907600,-72.93383970,709.59,15.11
16,171655468,True,43.21933405,-72.93380805,716.91,14.26
17,171655468,True,43.21959210,-72.93377640,723.44,12.77
18,171655468,True,43.21975230,-72.93375680,729.48,18.66
0,171655469,True,43.21400050,-72.93513720,606.93,0.00
1,171655469,True,43.21425005,-72.93521205,611.69,9.51
2,171655469,True,43.21449960,-72.93528690,621.50,19.05
3,171655469,True,43.21478620,-72.93537280,630.34,15.16
4,171655469,True,43.21517280,-72.93548870,638.73,10.80
5,171655469,True,43.21543667,-72.93556782,642.89,7.89
6,171655469,True,43.21570055,-72.93564695,647.99,9.64
7,171655469,True,43.21596442,-72.93572608,654.42,12.08
8,171655469,True,43.21622830,-72.93580520,661.85,13.89
9,171655469,True,43.21653825,-72.93589815,672.57,16.90
10,171655469,True,43.21684820,-72.93599110,682.84,16.23
11,171655469,True,43.21726790,-72.93611695,692.93,11.93
12,171655469,True,43.21768760,-72.93624280,706.49,15.85
13,171655469,True,43.21805945,-72.93635430,721.88,19.98
14,171655469,True,43.21843130,-72.93646580,735.17,17.43
15,171655469,True,43.21881370,-72.93658040,743.62,10.99
16,171655469,True,43.21906810,-72.93665670,749.68,11.82
17,171655469,True,43.21932250,-72.93673300,759.07,17.97
18,171655469,True,43.21957690,-72.93680930,770.41,21.39
19,171655469,True,43.21983130,-72.93688560,781.78,21.44
20,171655469,True,43.22024090,-72.93700840,796.72,17.77
21,171655469,True,43.22046615,-72.93707595,802.30,12.28
22,171655469,True,43.22069140,-72.93714350,808.02,12.58
0,171655470,True,43.21301140,-72.93567030,602.57,0.00
1,171655470,True,43.21337642,-72.93576725,604.68,2.92
2,171655470,True,43.21374145,-72.93586420,607.40,3.76
3,171655470,True,43.21410648,-72.93596115,617.95,14.32
4,171655470,True,43.21447150,-72.93605810,626.96,12.29
5,171655470,True,43.21484390,-72.93615705,638.04,14.72
6,171655470,True,43.21521630,-72.93625600,647.77,12.99
7,171655470,True,43.21549203,-72.93632925,652.25,8.16
8,171655470,True,43.21576775,-72.93640250,655.39,5.74
9,171655470,True,43.21604347,-72.93647575,662.41,12.67
10,171655470,True,43.21631920,-72.93654900,670.81,15.06
11,171655470,True,43.21675065,-72.93666360,686.90,18.23
12,171655470,True,43.21718210,-72.93677820,702.60,17.81
13,171655470,True,43.21741880,-72.93684108,708.67,12.76
14,171655470,True,43.21765550,-72.93690395,719.91,22.75
15,171655470,True,43.21789220,-72.93696682,730.41,21.39
16,171655470,True,43.21812890,-72.93702970,740.59,20.79
17,171655470,True,43.21839790,-72.93710115,745.80,9.70
18,171655470,True,43.21866690,-72.93717260,747.84,3.83
19,171655470,True,43.21893590,-72.93724405,757.75,18.02
20,171655470,True,43.21920490,-72.93731550,765.72,14.66
21,171655470,True,43.21946310,-72.93738410,775.22,18.00
22,171655470,True,43.21972130,-72.93745270,782.54,14.05
23,171655470,True,43.21997950,-72.93752130,791.08,16.28
24,171655470,True,43.22023770,-72.93758990,798.18,13.65
25,171655470,True,43.22053202,-72.93766810,804.91,11.41
26,171655470,True,43.22082635,-72.93774630,809.58,7.97
27,171655470,True,43.22112067,-72.93782450,821.68,19.95
28,171655470,True,43.22141500,-72.93790270,832.52,18.01
29,171655470,True,43.22169020,-72.93797580,840.15,13.76
30,171655470,True,43.22196540,-72.93804890,847.38,13.06
31,171655470,True,43.22224060,-72.93812200,855.28,14.22
32,171655470,True,43.22251580,-72.93819510,862.83,13.62
33,171655470,True,43.22274435,-72.93825582,870.79,17.09
34,171655470,True,43.22297290,-72.93831655,875.09,9.43
35,171655470,True,43.22320145,-72.93837727,880.72,12.27
