,lift_id,for_display,lat,lon,elevation,slope
0,80572857,True,41.06001970,-74.19580930,145.67,0.00
1,80572857,True,41.05998490,-74.19604120,146.70,2.97
2,80572857,True,41.05991540,-74.19650480,150.66,5.71
3,80572857,True,41.05984590,-74.19696840,154.78,5.94
4,80572857,True,41.05978505,-74.19737385,158.87,6.73
5,80572857,True,41.05972420,-74.19777930,163.45,7.53
6,80572857,True,41.05966640,-74.19816475,167.54,7.08
7,80572857,True,41.05960860,-74.19855020,171.91,7.55
8,80572857,True,41.05955500,-74.19890780,176.89,9.25
9,80572857,True,41.05953240,-74.19905810,179.08,9.67
10,80572857,True,41.05948070,-74.19940295,185.18,11.69
11,80572857,True,41.05942900,-74.19974780,196.88,21.65
12,80572857,True,41.05937730,-74.20009265,205.94,17.08
13,80572857,True,41.05932560,-74.20043750,212.86,13.21
14,80572857,True,41.05926800,-74.20082120,216.72,6.71
0,80572858,True,41.05942380,-74.19560670,147.62,0.00
1,80572858,True,41.05933500,-74.19615110,150.36,3.36
2,80572858,True,41.05927355,-74.19652785,153.70,5.90
3,80572858,True,41.05921210,-74.19690460,156.41,4.79
4,80572858,True,41.05913935,-74.19735075,161.06,6.93
5,80572858,True,41.05906660,-74.19779690,167.27,9.22
6,80572858,True,41.05899885,-74.19821240,172.44,8.25
7,80572858,True,41.05893110,-74.19862790,177.76,8.49
8,80572858,True,41.05888040,-74.19893865,182.26,9.58
9,80572858,True,41.05882970,-74.19924940,187.30,10.71
10,80572858,True,41.05877900,-74.19956015,195.86,17.80
11,80572858,True,41.05872830,-74.19987090,205.15,19.21
12,80572858,True,41.05864420,-74.20038670,217.11,15.13
13,80572858,True,41.05861390,-74.20057240,220.54,12.15
0,256627893,True,41.05843440,-74.19606260,152.84,0.00
1,256627893,True,41.05838080,-74.19648370,156.75,6.23
2,256627893,True,41.05832720,-74.19690480,160.62,6.17
0,256627895,True,41.05852620,-74.19556060,150.57,0.00
1,256627895,True,41.05849420,-74.19589330,152.45,3.82
0,693551542,True,41.05824690,-74.19545170,151.06,0.00
1,693551542,True,41.05828530,-74.19552950,150.93,-0.96
2,693551542,True,41.05832780,-74.19561530,151.01,0.53
3,693551542,True,41.05835610,-74.19569310,151.11,0.79
4,693551542,True,41.05837630,-74.19577090,151.33,1.83
5,693551542,True,41.05837840,-74.19585130,151.65,2.72
6,693551542,True,41.05837030,-74.19593180,152.14,4.12
7,693551542,True,41.05827270,-74.19649705,156.22,4.80
8,693551542,True,41.05817510,-74.19706230,161.66,6.38
9,693551542,True,41.05807750,-74.19762755,167.75,7.14
10,693551542,True,41.05797990,-74.19819280,176.72,10.45
11,693551542,True,41.05795370,-74.19824650,177.29,6.07
0,693551543,True,41.05820850,-74.19539540,151.07,0.00
1,693551543,True,41.05815590,-74.19546510,150.67,-2.77
2,693551543,True,41.05812150,-74.19551340,150.60,-0.72
3,693551543,True,41.05808710,-74.19557510,150.91,2.76
4,693551543,True,41.05806490,-74.19565020,151.40,4.14
5,693551543,True,41.05801686,-74.19595696,153.28,4.09
6,693551543,True,41.05796883,-74.19626372,155.06,3.88
7,693551543,True,41.05792079,-74.19657049,157.31,4.90
8,693551543,True,41.05787275,-74.19687725,161.22,8.47
9,693551543,True,41.05782471,-74.19718401,163.70,5.39
10,693551543,True,41.05777667,-74.19749078,167.50,8.23
11,693551543,True,41.05772864,-74.19779754,171.72,9.13
12,693551543,True,41.05768060,-74.19810430,176.23,9.74
13,693551543,True,41.05767660,-74.19817140,177.02,7.97
14,693551543,True,41.05767460,-74.19824650,177.80,7.06
0,693551544,True,41.05884350,-74.19610350,152.35,0.00
1,693551544,True,41.05879193,-74.19639853,153.71,3.07
2,693551544,True,41.05874035,-74.19669355,156.29,5.80
3,693551544,True,41.05868878,-74.19698858,159.05,6.20
4,693551544,True,41.05863720,-74.19728360,161.69,5.94
