,lift_id,for_display,lat,lon,elevation,slope
0,20061420,True,42.16906280,-73.47791610,284.27,0.00
1,20061420,True,42.16874870,-73.47819780,288.57,5.85
2,20061420,True,42.16853220,-73.47839195,296.43,15.21
3,20061420,True,42.16831570,-73.47858610,306.84,19.81
4,20061420,True,42.16803540,-73.47883745,317.17,15.43
5,20061420,True,42.16775510,-73.47908880,328.02,16.17
6,20061420,True,42.16748095,-73.47933465,338.08,15.37
7,20061420,True,42.16720680,-73.47958050,350.19,18.31
8,20061420,True,42.16688310,-73.47987075,357.18,9.19
9,20061420,True,42.16655940,-73.48016100,366.40,12.04
10,20061420,True,42.16630300,-73.48039095,371.38,8.28
11,20061420,True,42.16604660,-73.48062090,382.20,17.54
12,20061420,True,42.16578325,-73.48085705,389.75,12.12
13,20061420,True,42.16551990,-73.48109320,398.29,13.65
14,20061420,True,42.16523700,-73.48134690,406.99,12.97
15,20061420,True,42.16495410,-73.48160060,418.66,17.17
16,20061420,True,42.16483930,-73.48170350,424.91,22.19
17,20061420,True,42.16456590,-73.48194870,442.34,25.52
18,20061420,True,42.16429250,-73.48219390,463.76,30.40
19,20061420,True,42.16407665,-73.48238742,476.57,23.97
20,20061420,True,42.16386080,-73.48258095,491.19,26.90
21,20061420,True,42.16364495,-73.48277447,508.57,31.09
22,20061420,True,42.16342910,-73.48296800,518.67,19.31
23,20061420,True,42.16320975,-73.48316470,528.36,18.31
24,20061420,True,42.16299040,-73.48336140,538.80,19.62
25,20061420,True,42.16277105,-73.48355810,546.60,14.91
26,20061420,True,42.16255170,-73.48375480,554.16,14.47
27,20061420,True,42.16234680,-73.48393855,558.04,8.07
28,20061420,True,42.16214190,-73.48412230,563.17,10.62
29,20061420,True,42.16191365,-73.48432695,566.05,5.40
30,20061420,True,42.16168540,-73.48453160,569.54,6.53
31,20061420,True,42.16131200,-73.48486640,574.01,5.12
0,32504932,True,42.16891210,-73.47743020,285.17,0.00
1,32504932,True,42.16856420,-73.47775585,290.39,6.33
2,32504932,True,42.16821630,-73.47808150,301.02,12.72
3,32504932,True,42.16787485,-73.47840105,314.11,15.82
4,32504932,True,42.16753340,-73.47872060,327.72,16.41
5,32504932,True,42.16724895,-73.47898685,338.98,16.30
6,32504932,True,42.16696450,-73.47925310,349.38,15.12
7,32504932,True,42.16665545,-73.47954235,358.85,12.76
8,32504932,True,42.16634640,-73.47983160,367.58,11.79
9,32504932,True,42.16604275,-73.48011575,376.41,12.13
10,32504932,True,42.16573910,-73.48039990,385.70,12.74
11,32504932,True,42.16543550,-73.48068405,394.48,12.06
12,32504932,True,42.16513190,-73.48096820,403.49,12.37
0,170831073,True,42.16841750,-73.47494790,292.37,0.00
1,170831073,True,42.16811500,-73.47483660,295.14,4.54
2,170831073,True,42.16772450,-73.47469290,303.33,10.31
3,170831073,True,42.16747685,-73.47460177,307.79,8.88
4,170831073,True,42.16722920,-73.47451065,312.42,9.21
5,170831073,True,42.16698155,-73.47441953,318.10,11.25
6,170831073,True,42.16673390,-73.47432840,325.28,14.12
7,170831073,True,42.16649520,-73.47424050,336.13,21.52
8,170831073,True,42.16606560,-73.47408250,347.14,12.54
9,170831073,True,42.16578470,-73.47397912,355.01,13.66
10,170831073,True,42.16550380,-73.47387575,362.30,12.69
11,170831073,True,42.16522290,-73.47377237,369.18,12.00
12,170831073,True,42.16494200,-73.47366900,380.90,19.90
13,170831073,True,42.16460817,-73.47354617,390.97,14.67
14,170831073,True,42.16427435,-73.47342335,406.64,22.16
15,170831073,True,42.16394053,-73.47330052,427.22,28.14
16,170831073,True,42.16360670,-73.47317770,446.85,27.03
17,170831073,True,42.16338090,-73.47309460,454.59,16.56
0,170831074,True,42.16867490,-73.47681080,286.50,0.00
1,170831074,True,42.16828190,-73.47683600,291.48,6.49
2,170831074,True,42.16788890,-73.47686120,297.68,8.07
0,185230703,True,42.16891250,-73.47753390,285.12,0.00
1,185230703,True,42.16863610,-73.47778290,288.91,5.86
0,895351677,True,42.16850860,-73.47473860,294.09,0.00
1,895351677,True,42.16814960,-73.47440430,299.53,6.40
2,895351677,True,42.16784455,-73.47412025,306.41,9.48
3,895351677,True,42.16753950,-73.47383620,316.98,14.38
4,895351677,True,42.16729560,-73.47360915,325.82,15.02
5,895351677,True,42.16705170,-73.47338210,333.21,12.64
6,895351677,True,42.16669135,-73.47304660,341.63,9.81
7,895351677,True,42.16633100,-73.47271110,353.12,13.28
8,895351677,True,42.16599105,-73.47239460,362.49,11.53
9,895351677,True,42.16565110,-73.47207810,374.22,14.33
10,895351677,True,42.16537755,-73.47182340,382.17,12.14
11,895351677,True,42.16510400,-73.47156870,388.77,10.13
12,895351677,True,42.16484220,-73.47132490,395.94,11.46
13,895351677,True,42.16451550,-73.47102075,412.19,20.21
14,895351677,True,42.16418880,-73.47071660,439.50,31.75
15,895351677,True,42.16394760,-73.47049190,452.24,21.35
16,895351677,True,42.16387920,-73.47042830,453.21,5.99
