lift_id,for_display,lat,lon,elevation,slope,index
882074478,True,44.39452620,-72.98216270,117.20,0.00,0
882074478,True,44.39429398,-72.98225990,119.40,4.67,1
882074478,True,44.39406175,-72.98235710,122.92,7.44,2
882074478,True,44.39382953,-72.98245430,127.39,9.42,3
882074478,True,44.39359730,-72.98255150,132.63,11.00,4
242648882,True,44.39389710,-72.98130280,122.77,0.00,0
242648882,True,44.39347691,-72.98128374,129.13,7.75,1
242648882,True,44.39305672,-72.98126468,139.71,12.75,2
242648882,True,44.39263654,-72.98124561,147.92,9.96,3
242648882,True,44.39221635,-72.98122655,156.76,10.71,4
242648882,True,44.39179616,-72.98120749,167.18,12.57,5
242648882,True,44.39137598,-72.98118842,179.21,14.43,6
242648882,True,44.39095579,-72.98116936,192.60,15.98,7
242648882,True,44.39053560,-72.98115030,202.39,11.83,8
759655562,True,44.39390470,-72.98120750,122.22,0.00,0
759655562,True,44.39365118,-72.98119784,124.74,5.11,1
759655562,True,44.39339766,-72.98118819,131.17,12.84,2
759655562,True,44.39314414,-72.98117853,137.38,12.42,3
759655562,True,44.39289062,-72.98116888,142.58,10.45,4
759655562,True,44.39263711,-72.98115922,147.72,10.33,5
759655562,True,44.39238359,-72.98114956,152.79,10.19,6
759655562,True,44.39213007,-72.98113991,158.89,12.21,7
759655562,True,44.39187655,-72.98113025,165.43,13.06,8
759655562,True,44.39162303,-72.98112059,171.74,12.61,9
759655562,True,44.39136951,-72.98111094,179.92,16.18,10
759655562,True,44.39111599,-72.98110128,188.45,16.83,11
759655562,True,44.39086247,-72.98109163,195.63,14.28,12
759655562,True,44.39060896,-72.98108197,201.47,11.70,13
759655562,True,44.39035544,-72.98107231,205.88,8.89,14
759655562,True,44.39010192,-72.98106266,210.98,10.25,15
759655562,True,44.38984840,-72.98105300,216.13,10.35,16
