lift_id,for_display,lat,lon,elevation,slope,index
242364581,True,44.05962100,-71.10880570,173.77,0.00,0
242364581,True,44.05955510,-71.10821100,176.28,2.99,1
242364581,True,44.05951525,-71.10785105,180.92,9.06,2
242364581,True,44.05947540,-71.10749110,185.70,9.33,3
242364581,True,44.05942765,-71.10706000,189.71,6.56,4
242364581,True,44.05937990,-71.10662890,193.06,5.49,5
242364581,True,44.05933215,-71.10619780,196.45,5.56,6
242364581,True,44.05928440,-71.10576670,203.11,10.82,7
242364581,True,44.05922340,-71.10521630,212.90,12.41,8
242364581,True,44.05916240,-71.10466590,221.08,10.42,9
242364581,True,44.05910315,-71.10413090,229.34,10.81,10
242364581,True,44.05904390,-71.10359590,239.97,13.81,11
242364581,True,44.05898890,-71.10309920,249.12,12.84,12
242364581,True,44.05893390,-71.10260250,259.09,13.94,13
242364581,True,44.05887765,-71.10209480,272.30,17.84,14
242364581,True,44.05882140,-71.10158710,286.01,18.47,15
242364581,True,44.05876135,-71.10104535,302.11,20.18,16
242364581,True,44.05870130,-71.10050360,317.95,19.88,17
242364581,True,44.05863645,-71.09991810,332.16,16.71,18
242364581,True,44.05857160,-71.09933260,347.38,17.82,19
242364581,True,44.05850675,-71.09874715,362.55,17.77,20
242364581,True,44.05844190,-71.09816170,380.60,20.87,21
242364581,True,44.05837845,-71.09758895,396.04,18.44,22
242364581,True,44.05831500,-71.09701620,412.42,19.48,23
242364581,True,44.05827607,-71.09666485,421.89,18.44,24
242364581,True,44.05823715,-71.09631350,431.88,19.38,25
242364581,True,44.05819822,-71.09596215,442.64,20.75,26
242364581,True,44.05815930,-71.09561080,453.60,21.10,27
242364581,True,44.05809135,-71.09499730,468.74,16.97,28
242364581,True,44.05802340,-71.09438380,482.88,15.91,29
242364581,True,44.05797740,-71.09396840,491.59,14.54,30
242364581,True,44.05793140,-71.09355300,498.86,12.21,31
242364581,True,44.05787240,-71.09302080,505.90,9.29,32
242364581,True,44.05782250,-71.09257030,509.63,5.85,33
242364582,True,44.05886540,-71.10879580,172.87,0.00,0
242364582,True,44.05886270,-71.10866480,174.28,7.67,1
242364582,True,44.05885115,-71.10809480,182.07,9.70,2
242364582,True,44.05883960,-71.10752480,190.28,10.21,3
242364582,True,44.05883225,-71.10716200,195.10,9.44,4
242364582,True,44.05882490,-71.10679920,198.07,5.85,5
