,lift_id,for_display,lat,lon,elevation,slope
0,96605542,True,41.71578110,-75.56000390,805.68,0.00
1,96605542,True,41.71592240,-75.55986360,802.19,-10.12
2,96605542,True,41.71607750,-75.55970960,797.58,-12.12
3,96605542,True,41.71629180,-75.55949690,786.23,-20.94
4,96605542,True,41.71648580,-75.55930428,776.19,-20.50
5,96605542,True,41.71667980,-75.55911165,766.59,-19.67
6,96605542,True,41.71687380,-75.55891902,756.53,-20.54
7,96605542,True,41.71706780,-75.55872640,747.81,-17.99
8,96605542,True,41.71739550,-75.55840110,732.12,-19.08
9,96605542,True,41.71769380,-75.55810495,719.44,-17.07
10,96605542,True,41.71799210,-75.55780880,705.38,-18.81
11,96605542,True,41.71824940,-75.55755335,693.10,-19.03
12,96605542,True,41.71850670,-75.55729790,679.82,-20.45
13,96605542,True,41.71877910,-75.55702745,665.72,-20.51
14,96605542,True,41.71905150,-75.55675700,653.82,-17.52
15,96605542,True,41.71932710,-75.55648340,642.97,-15.88
16,96605542,True,41.71960270,-75.55620980,630.35,-18.31
17,96605542,True,41.71987760,-75.55593685,620.29,-14.81
18,96605542,True,41.72015250,-75.55566390,611.28,-13.32
19,96605542,True,41.72040680,-75.55541140,603.11,-13.07
20,96605542,True,41.72066110,-75.55515890,596.97,-9.90
21,96605542,True,41.72088500,-75.55493660,590.29,-12.17
22,96605542,True,41.72110890,-75.55471430,582.84,-13.52
23,96605542,True,41.72133785,-75.55448700,574.87,-14.12
24,96605542,True,41.72156680,-75.55425970,569.80,-9.09
25,96605542,True,41.72175565,-75.55407220,566.49,-7.22
26,96605542,True,41.72194450,-75.55388470,563.87,-5.72
27,96605542,True,41.72213170,-75.55369882,561.23,-5.82
28,96605542,True,41.72231890,-75.55351295,558.09,-6.91
29,96605542,True,41.72250610,-75.55332707,555.05,-6.69
30,96605542,True,41.72269330,-75.55314120,552.33,-5.99
0,96605544,True,41.72354810,-75.55423400,552.79,0.00
1,96605544,True,41.72329450,-75.55449520,557.60,7.70
2,96605544,True,41.72297070,-75.55482870,565.94,10.41
3,96605544,True,41.72276975,-75.55503560,569.69,7.58
4,96605544,True,41.72256880,-75.55524250,573.07,6.84
5,96605544,True,41.72236365,-75.55545380,576.93,7.64
6,96605544,True,41.72215850,-75.55566510,581.86,9.72
7,96605544,True,41.72185920,-75.55597330,590.60,11.76
8,96605544,True,41.72155990,-75.55628150,598.90,11.19
9,96605544,True,41.72137075,-75.55647630,602.99,8.76
10,96605544,True,41.72118160,-75.55667110,605.80,6.05
11,96605544,True,41.72098313,-75.55687550,609.17,6.90
12,96605544,True,41.72078465,-75.55707990,614.76,11.35
13,96605544,True,41.72058618,-75.55728430,621.09,12.81
14,96605544,True,41.72038770,-75.55748870,629.01,15.88
15,96605544,True,41.72015280,-75.55773060,637.22,13.99
16,96605544,True,41.71988930,-75.55800190,644.98,11.86
0,96605546,True,41.72143010,-75.55409020,569.73,0.00
1,96605546,True,41.72150680,-75.55401390,568.10,-8.72
2,96605546,True,41.72176170,-75.55376040,564.21,-6.29
3,96605546,True,41.72194415,-75.55357895,561.01,-7.22
4,96605546,True,41.72212660,-75.55339750,557.59,-7.71
5,96605546,True,41.72241240,-75.55311330,553.37,-6.09
6,96605546,True,41.72270850,-75.55281880,549.66,-5.17
0,96605548,True,41.71613990,-75.56146090,809.43,0.00
1,96605548,True,41.71648750,-75.56129650,796.24,-17.84
2,96605548,True,41.71653070,-75.56127610,793.98,-23.93
3,96605548,True,41.71656260,-75.56126100,792.41,-22.65
4,96605548,True,41.71679067,-75.56115315,782.02,-21.12
5,96605548,True,41.71701875,-75.56104530,772.03,-20.38
6,96605548,True,41.71724683,-75.56093745,760.56,-23.10
7,96605548,True,41.71747490,-75.56082960,752.31,-17.05
8,96605548,True,41.71785405,-75.56065030,738.02,-17.73
9,96605548,True,41.71823320,-75.56047100,721.58,-20.19
10,96605548,True,41.71862205,-75.56028710,703.29,-21.75
11,96605548,True,41.71901090,-75.56010320,683.32,-23.53
12,96605548,True,41.71939900,-75.55991965,668.96,-17.42
13,96605548,True,41.71978710,-75.55973610,656.45,-15.29
14,96605548,True,41.72020055,-75.55954060,641.19,-17.38
15,96605548,True,41.72061400,-75.55934510,627.25,-15.96
16,96605548,True,41.72098440,-75.55916995,614.86,-15.84
17,96605548,True,41.72135480,-75.55899480,604.34,-13.54
18,96605548,True,41.72175410,-75.55880595,594.54,-11.76
19,96605548,True,41.72215340,-75.55861710,584.50,-12.04
20,96605548,True,41.72250620,-75.55845025,577.29,-9.83
21,96605548,True,41.72285900,-75.55828340,569.33,-10.83
22,96605548,True,41.72322460,-75.55811050,560.84,-11.14
23,96605548,True,41.72359020,-75.55793760,551.38,-12.38
24,96605548,True,41.72391750,-75.55778280,545.08,-9.27
25,96605548,True,41.72424480,-75.55762800,538.63,-9.49
26,96605548,True,41.72462350,-75.55744890,532.63,-7.65
0,96605549,True,41.72460630,-75.55732660,533.04,0.00
1,96605549,True,41.72419950,-75.55751670,540.26,8.57
