lift_id,for_display,lat,lon,elevation,slope,index
15777783,True,43.78881480,-110.95694540,2432.40,0.00,0
15777783,True,43.78879770,-110.95672200,2436.07,11.50,1
15777783,True,43.78877230,-110.95639080,2438.97,6.19,2
15777783,True,43.78874690,-110.95605960,2442.03,6.53,3
15777783,True,43.78871795,-110.95568265,2447.11,9.48,4
15777783,True,43.78868900,-110.95530570,2450.17,5.74,5
15777783,True,43.78865340,-110.95484135,2456.57,9.69,6
15777783,True,43.78861780,-110.95437700,2464.38,11.77,7
15777783,True,43.78858150,-110.95390405,2473.07,12.82,8
15777783,True,43.78854520,-110.95343110,2482.01,13.18,9
15777783,True,43.78849840,-110.95282155,2495.67,15.52,10
15777783,True,43.78845160,-110.95221200,2508.84,14.98,11
15777783,True,43.78842610,-110.95187980,2517.83,18.53,12
15777783,True,43.78840060,-110.95154760,2528.64,21.95,13
15777783,True,43.78835810,-110.95099340,2546.91,22.21,14
15777783,True,43.78831265,-110.95040050,2565.51,21.24,15
15777783,True,43.78826720,-110.94980760,2585.54,22.71,16
15777783,True,43.78824067,-110.94946218,2593.73,16.37,17
15777783,True,43.78821415,-110.94911675,2604.36,20.87,18
15777783,True,43.78818763,-110.94877132,2618.34,26.63,19
15777783,True,43.78816110,-110.94842590,2629.43,21.69,20
15777783,True,43.78811770,-110.94785980,2648.45,22.60,21
15777783,True,43.78807430,-110.94729370,2666.75,21.82,22
15777783,True,43.78803640,-110.94679990,2682.07,21.02,23
15777783,True,43.78799850,-110.94630610,2691.35,13.11,24
15777783,True,43.78797260,-110.94596845,2695.65,8.97,25
15777783,True,43.78794670,-110.94563080,2699.97,9.01,26
15777783,True,43.78792080,-110.94529315,2704.26,8.94,27
15777783,True,43.78789490,-110.94495550,2708.78,9.42,28
15777783,True,43.78786863,-110.94461323,2713.64,9.98,29
15777783,True,43.78784235,-110.94427095,2718.39,9.75,30
15777783,True,43.78781607,-110.94392867,2722.85,9.17,31
15777783,True,43.78778980,-110.94358640,2728.16,10.88,32
15777783,True,43.78775265,-110.94310210,2736.18,11.59,33
15777783,True,43.78771550,-110.94261780,2743.51,10.62,34
15777783,True,43.78767835,-110.94213350,2749.37,8.52,35
15777783,True,43.78764120,-110.94164920,2753.79,6.45,36
15777783,True,43.78761655,-110.94132770,2753.84,0.11,37
15777783,True,43.78759190,-110.94100620,2761.48,16.40,38
15777783,True,43.78756593,-110.94066780,2780.09,34.26,39
15777783,True,43.78753995,-110.94032940,2798.29,33.67,40
15777783,True,43.78751398,-110.93999100,2814.71,31.01,41
15777783,True,43.78748800,-110.93965260,2828.15,26.20,42
15777783,True,43.78746085,-110.93929880,2842.38,26.48,43
15777783,True,43.78743370,-110.93894500,2853.68,21.59,44
15777783,True,43.78740655,-110.93859120,2865.55,22.57,45
15777783,True,43.78737940,-110.93823740,2880.43,27.52,46
15777783,True,43.78735310,-110.93789430,2896.07,29.45,47
15777783,True,43.78732680,-110.93755120,2910.46,27.45,48
15777783,True,43.78729883,-110.93718660,2926.49,28.57,49
15777783,True,43.78727085,-110.93682200,2939.56,23.94,50
15777783,True,43.78724288,-110.93645740,2949.22,18.17,51
15777783,True,43.78721490,-110.93609280,2958.66,17.78,52
15777783,True,43.78717085,-110.93551865,2973.40,17.64,53
15777783,True,43.78712680,-110.93494450,2985.27,14.36,54
15777783,True,43.78712040,-110.93486110,2987.18,15.84,55
15777783,True,43.78708660,-110.93442120,3001.87,22.47,56
15778916,True,43.79135630,-110.95142810,2530.07,0.00,0
15778916,True,43.79127340,-110.95192480,2523.93,-8.53,1
15778916,True,43.79118920,-110.95242965,2514.33,-13.00,2
15778916,True,43.79110500,-110.95293450,2506.21,-11.05,3
15778916,True,43.79102310,-110.95342535,2498.20,-11.20,4
15778916,True,43.79094120,-110.95391620,2487.88,-14.32,5
15778916,True,43.79085420,-110.95443760,2482.23,-7.49,6
15778916,True,43.79076720,-110.95495900,2477.34,-6.49,7
15778916,True,43.79069715,-110.95537915,2469.71,-12.43,8
15778916,True,43.79062710,-110.95579930,2460.54,-14.84,9
15778916,True,43.79054800,-110.95627340,2448.64,-16.94,10
15778916,True,43.79046890,-110.95674750,2434.57,-19.81,11
15778916,True,43.79038980,-110.95722160,2421.57,-18.41,12
15778916,True,43.79031070,-110.95769570,2413.94,-11.05,13
15778916,True,43.79023540,-110.95814730,2411.65,-3.52,14
206279599,True,43.79408350,-110.95250470,2457.37,0.00,0
206279599,True,43.79408210,-110.95227280,2462.11,14.29,1
206279599,True,43.79408010,-110.95194770,2469.08,14.95,2
206279599,True,43.79407740,-110.95151750,2480.51,18.31,3
206279599,True,43.79407495,-110.95112760,2493.34,22.29,4
206279599,True,43.79407250,-110.95073770,2502.43,16.20,5
206279599,True,43.79406985,-110.95030720,2508.63,10.17,6
206279599,True,43.79406720,-110.94987670,2516.89,13.44,7
206279599,True,43.79406410,-110.94938610,2530.03,18.45,8
206279599,True,43.79406100,-110.94889550,2546.71,22.96,9
206279599,True,43.79405855,-110.94850385,2560.21,23.24,10
206279599,True,43.79405610,-110.94811220,2573.70,23.22,11
206279599,True,43.79405300,-110.94761460,2590.05,22.26,12
206279599,True,43.79404990,-110.94711700,2608.58,24.89,13
206279599,True,43.79404660,-110.94657925,2629.19,25.52,14
206279599,True,43.79404330,-110.94604150,2648.43,24.02,15
206279599,True,43.79404070,-110.94562455,2666.25,28.03,16
206279599,True,43.79403810,-110.94520760,2681.27,24.17,17
206279599,True,43.79403583,-110.94484480,2693.74,23.18,18
206279599,True,43.79403355,-110.94448200,2708.76,27.28,19
206279599,True,43.79403128,-110.94411920,2722.50,25.26,20
206279599,True,43.79402900,-110.94375640,2735.79,24.53,21
206279599,True,43.79402610,-110.94328380,2753.33,24.81,22
