lift_id,for_display,lat,lon,elevation,slope,index
242368166,True,43.86679040,-71.09009570,143.11,0.00,0
242368166,True,43.86700165,-71.09059760,148.26,6.31,1
242368166,True,43.86721290,-71.09109950,157.00,10.62,2
242368167,True,43.86733730,-71.08940980,145.96,0.00,0
242368167,True,43.86732420,-71.08967320,144.03,-5.21,1
242368169,True,43.86798570,-71.09045000,145.93,0.00,0
242368169,True,43.86830410,-71.09058270,152.43,9.97,1
242368169,True,43.86869675,-71.09074630,164.65,15.01,2
242368169,True,43.86908940,-71.09090990,171.45,8.48,3
242368169,True,43.86936340,-71.09102405,173.80,4.22,4
242368169,True,43.86963740,-71.09113820,176.43,4.73,5
242368169,True,43.86986015,-71.09123100,180.58,9.12,6
242368169,True,43.87008290,-71.09132380,183.98,7.49,7
242368169,True,43.87046150,-71.09148155,188.16,5.43,8
242368169,True,43.87084010,-71.09163930,195.94,10.04,9
242368169,True,43.87115160,-71.09176910,203.47,11.76,10
242368169,True,43.87146310,-71.09189890,208.54,7.98,11
242368169,True,43.87177745,-71.09202985,215.41,10.66,12
242368169,True,43.87209180,-71.09216080,223.10,11.90,13
242368169,True,43.87233255,-71.09226112,226.98,7.90,14
242368169,True,43.87257330,-71.09236145,229.89,5.94,15
242368169,True,43.87281405,-71.09246178,232.19,4.70,16
242368169,True,43.87305480,-71.09256210,234.61,4.95,17
242368170,True,43.86877490,-71.08887380,147.91,0.00,0
242368170,True,43.86907870,-71.08905310,150.38,3.85,1
242368170,True,43.86924360,-71.08915040,154.41,11.43,2
242368170,True,43.86955550,-71.08933445,158.23,5.79,3
242368170,True,43.86986740,-71.08951850,161.13,4.40,4
242368170,True,43.87015125,-71.08968600,162.68,2.59,5
242368170,True,43.87043510,-71.08985350,166.88,6.98,6
242368170,True,43.87071320,-71.09001765,178.19,18.60,7
242368170,True,43.87099130,-71.09018180,192.11,22.50,8
242368170,True,43.87128665,-71.09035610,201.70,15.04,9
242368170,True,43.87158200,-71.09053040,212.84,17.33,10
242368170,True,43.87180925,-71.09066450,221.78,18.03,11
242368170,True,43.87203650,-71.09079860,230.48,17.58,12
242368170,True,43.87235400,-71.09098600,241.62,16.19,13
242368171,True,43.87297100,-71.08698950,142.59,0.00,0
242368171,True,43.87296390,-71.08730060,142.60,0.02,1
242368171,True,43.87295340,-71.08776900,144.56,2.99,2
242368171,True,43.87294630,-71.08808335,146.82,5.12,3
242368171,True,43.87293920,-71.08839770,149.62,6.34,4
242368171,True,43.87292695,-71.08894200,162.14,16.00,5
242368171,True,43.87291470,-71.08948630,188.15,30.79,6
242368171,True,43.87290550,-71.08989415,205.55,28.01,7
242368171,True,43.87289630,-71.09030200,221.95,26.63,8
242368171,True,43.87288850,-71.09064700,233.83,23.24,9
242368171,True,43.87287790,-71.09111770,242.22,12.53,10
