,lift_id,for_display,lat,lon,elevation,slope
0,242111773,True,44.13706140,-70.28089840,78.49,0.00
1,242111773,True,44.13711650,-70.28110510,78.67,0.59
2,242111773,True,44.13721415,-70.28151720,85.70,11.47
3,242111773,True,44.13731180,-70.28192930,93.13,12.11
4,242111773,True,44.13747610,-70.28250730,100.74,8.72
5,242111773,True,44.13764040,-70.28308530,105.55,5.54
6,242111773,True,44.13772045,-70.28338790,107.67,4.71
7,242111773,True,44.13780050,-70.28369050,111.70,8.90
8,242111773,True,44.13788003,-70.28399108,117.75,13.31
9,242111773,True,44.13795955,-70.28429165,124.74,15.29
10,242111773,True,44.13803907,-70.28459222,134.95,21.77
11,242111773,True,44.13811860,-70.28489280,140.65,12.57
0,242111774,True,44.13623150,-70.28081310,78.12,0.00
1,242111774,True,44.13609850,-70.28095470,78.45,1.02
2,242111774,True,44.13578765,-70.28135730,81.26,3.41
3,242111774,True,44.13547680,-70.28175990,93.92,15.02
4,242111774,True,44.13533269,-70.28201383,102.97,19.31
5,242111774,True,44.13518858,-70.28226775,109.13,13.41
6,242111774,True,44.13504446,-70.28252167,120.71,24.14
7,242111774,True,44.13490035,-70.28277560,129.99,19.76
8,242111774,True,44.13475624,-70.28302953,136.91,14.99
9,242111774,True,44.13461212,-70.28328345,141.32,9.69
10,242111774,True,44.13446801,-70.28353738,145.95,10.16
11,242111774,True,44.13432390,-70.28379130,145.78,-0.38
