lift_id,for_display,lat,lon,elevation,slope,index
231027418,True,43.20103680,-72.77204820,429.70,0.00,0
231027418,True,43.20078065,-72.77160565,436.62,8.59,1
231027418,True,43.20052450,-72.77116310,442.87,7.77,2
231027418,True,43.20026835,-72.77072055,450.12,8.99,3
231027418,True,43.20001220,-72.77027800,458.39,10.23,4
233126116,True,43.20120170,-72.77157860,432.46,0.00,0
233126116,True,43.20098875,-72.77123173,438.58,9.45,1
233126116,True,43.20077580,-72.77088485,443.39,7.45,2
233126116,True,43.20056285,-72.77053797,449.91,10.06,3
233126116,True,43.20034990,-72.77019110,455.23,8.24,4
233467623,True,43.20104260,-72.77267860,425.32,0.00,0
233467623,True,43.20089300,-72.77246630,427.75,5.80,1
233467623,True,43.20072320,-72.77222525,430.40,5.57,2
233467623,True,43.20055340,-72.77198420,434.04,7.63,3
233467623,True,43.20035540,-72.77170310,439.31,9.44,4
233467623,True,43.20019235,-72.77147170,442.39,6.73,5
233467623,True,43.20002930,-72.77124030,446.07,8.03,6
233467623,True,43.19976900,-72.77087070,453.47,10.07,7
233467623,True,43.19955405,-72.77056560,461.46,13.08,8
233467623,True,43.19933910,-72.77026050,470.66,14.98,9
233467623,True,43.19911645,-72.76994450,478.22,11.98,10
233467623,True,43.19889380,-72.76962850,485.64,11.77,11
233467623,True,43.19867010,-72.76931090,494.38,13.72,12
233467623,True,43.19844640,-72.76899330,500.97,10.43,13
233467623,True,43.19814640,-72.76856755,512.18,13.15,14
233467623,True,43.19784640,-72.76814180,524.50,14.40,15
233467623,True,43.19765743,-72.76787355,532.23,14.34,16
233467623,True,43.19746845,-72.76760530,541.18,16.49,17
233467623,True,43.19727948,-72.76733705,549.72,15.77,18
233467623,True,43.19709050,-72.76706880,559.42,17.78,19
233467623,True,43.19678625,-72.76663695,576.42,19.25,20
233467623,True,43.19648200,-72.76620510,597.27,23.18,21
233467623,True,43.19630543,-72.76595445,611.04,25.98,22
233467623,True,43.19612885,-72.76570380,623.61,23.98,23
233467623,True,43.19595227,-72.76545315,635.64,23.06,24
233467623,True,43.19577570,-72.76520250,647.55,22.86,25
233467623,True,43.19552990,-72.76485370,666.01,25.15,26
233467623,True,43.19536813,-72.76462408,678.06,24.96,27
233467623,True,43.19520635,-72.76439445,689.49,23.82,28
233467623,True,43.19504457,-72.76416482,695.79,13.68,29
233467623,True,43.19488280,-72.76393520,703.98,17.56,30
233467623,True,43.19469640,-72.76367065,714.21,18.93,31
233467623,True,43.19451000,-72.76340610,724.55,19.12,32
233467623,True,43.19423080,-72.76300980,741.17,20.41,33
233467623,True,43.19403085,-72.76272600,754.47,22.57,34
233467623,True,43.19383090,-72.76244220,765.06,18.31,35
233467623,True,43.19363095,-72.76215840,777.65,21.48,36
233467623,True,43.19343100,-72.76187460,791.59,23.54,37
233467623,True,43.19314350,-72.76146660,813.00,24.96,38
233467623,True,43.19290150,-72.76112310,838.03,32.88,39
233467623,True,43.19273550,-72.76088750,845.65,16.01,40
233467623,True,43.19253100,-72.76059720,851.33,9.85,41
233467623,True,43.19231435,-72.76028973,853.72,3.94,42
233467623,True,43.19209770,-72.75998225,856.90,5.24,43
233467623,True,43.19188105,-72.75967478,861.08,6.88,44
233467623,True,43.19166440,-72.75936730,864.95,6.37,45
233471851,True,43.20209840,-72.77179090,420.50,0.00,0
233471851,True,43.20189610,-72.77152600,425.33,8.83,1
233471851,True,43.20171850,-72.77129350,429.23,8.13,2
233471851,True,43.20146900,-72.77096690,435.00,8.56,3
233471851,True,43.20127350,-72.77071100,439.79,9.06,4
233471851,True,43.20107800,-72.77045510,444.49,8.89,5
233471851,True,43.20087640,-72.77019115,450.65,11.24,6
233471851,True,43.20067480,-72.76992720,454.26,6.64,7
233471851,True,43.20043705,-72.76961595,459.43,8.05,8
233471851,True,43.20019930,-72.76930470,466.53,11.00,9
233471851,True,43.19988325,-72.76889095,478.58,13.93,10
233471851,True,43.19956720,-72.76847720,487.94,10.91,11
233471851,True,43.19926015,-72.76807525,498.37,12.46,12
233471851,True,43.19895310,-72.76767330,508.40,12.00,13
233471851,True,43.19865535,-72.76728355,519.03,13.08,14
233471851,True,43.19835760,-72.76689380,532.70,16.63,15
233471851,True,43.19810367,-72.76656140,544.80,17.22,16
233471851,True,43.19784975,-72.76622900,556.28,16.39,17
233471851,True,43.19759583,-72.76589660,569.88,19.21,18
233471851,True,43.19734190,-72.76556420,586.17,22.65,19
233471851,True,43.19717345,-72.76534365,597.81,24.21,20
233471851,True,43.19700500,-72.76512310,608.85,23.09,21
233471851,True,43.19674858,-72.76478745,626.90,24.61,22
233471851,True,43.19649215,-72.76445180,645.64,25.43,23
233471851,True,43.19623572,-72.76411615,669.97,31.69,24
233471851,True,43.19597930,-72.76378050,688.49,25.17,25
233471851,True,43.19579185,-72.76353515,700.22,22.15,26
233471851,True,43.19560440,-72.76328980,711.42,21.24,27
233471851,True,43.19543545,-72.76306862,721.55,21.31,28
233471851,True,43.19526650,-72.76284745,731.13,20.25,29
233471851,True,43.19509755,-72.76262628,741.52,21.81,30
233471851,True,43.19492860,-72.76240510,754.45,26.47,31
233471851,True,43.19471640,-72.76212730,763.00,14.69,32
233471851,True,43.19450420,-72.76184950,772.69,16.55,33
233471851,True,43.19428150,-72.76155800,786.31,21.70,34
233471851,True,43.19405880,-72.76126650,801.73,24.25,35
233471851,True,43.19385132,-72.76099493,815.85,23.88,36
233471851,True,43.19364385,-72.76072335,824.69,15.49,37
233471851,True,43.19343638,-72.76045178,835.94,19.43,38
233471851,True,43.19322890,-72.76018020,844.25,14.61,39
233471851,True,43.19311710,-72.76003390,847.02,9.16,40
233471851,True,43.19293925,-72.75980110,850.87,8.02,41
233471851,True,43.19276140,-72.75956830,853.48,5.45,42
233471851,True,43.19258355,-72.75933550,855.64,4.52,43
233471851,True,43.19240570,-72.75910270,858.17,5.29,44
233471851,True,43.19222280,-72.75886330,863.33,10.40,45
233471851,True,43.19203990,-72.75862390,865.91,5.24,46
233471851,True,43.19196200,-72.75852190,866.34,2.06,47
563746767,True,43.20232710,-72.77129420,421.20,0.00,0
563746767,True,43.20216260,-72.77074910,429.19,9.49,1
563746767,True,43.20203830,-72.77033725,434.63,8.56,2
563746767,True,43.20191400,-72.76992540,440.62,9.41,3
563746767,True,43.20177555,-72.76946665,448.19,10.65,4
563746767,True,43.20163710,-72.76900790,453.55,7.59,5
563746767,True,43.20154367,-72.76869838,457.14,7.53,6
563746767,True,43.20145025,-72.76838885,461.57,9.27,7
563746767,True,43.20135683,-72.76807933,467.13,11.57,8
563746767,True,43.20126340,-72.76776980,472.32,10.82,9
563746767,True,43.20111190,-72.76726775,482.17,12.61,10
563746767,True,43.20096040,-72.76676570,488.70,8.43,11
563746767,True,43.20082625,-72.76632120,495.73,10.22,12
563746767,True,43.20069210,-72.76587670,501.53,8.46,13
563746767,True,43.20055635,-72.76542700,508.13,9.50,14
563746767,True,43.20042060,-72.76497730,515.26,10.24,15
563746767,True,43.20029380,-72.76455710,521.42,9.49,16
563746767,True,43.20016700,-72.76413690,526.74,8.21,17
563746767,True,43.20005943,-72.76378050,534.11,13.26,18
563746767,True,43.19995185,-72.76342410,543.96,17.49,19
563746767,True,43.19984428,-72.76306770,556.99,22.62,20
563746767,True,43.19973670,-72.76271130,569.17,21.28,21
563746767,True,43.19962585,-72.76234395,586.37,28.09,22
563746767,True,43.19951500,-72.76197660,598.32,20.35,23
563746767,True,43.19938890,-72.76155882,608.58,15.64,24
563746767,True,43.19926280,-72.76114105,620.01,17.32,25
563746767,True,43.19913670,-72.76072328,635.81,23.32,26
563746767,True,43.19901060,-72.76030550,649.22,20.10,27
563746767,True,43.19888670,-72.75989500,662.14,19.74,28
563746767,True,43.19883850,-72.75973530,664.22,8.44,29
563746767,True,43.19879030,-72.75957550,666.32,8.52,30
685754845,True,43.19993840,-72.77219460,438.57,0.00,0
685754845,True,43.19955400,-72.77234610,441.73,4.06,1
