,lift_id,for_display,lat,lon,elevation,slope
0,256598287,True,43.69898600,-74.96204350,549.65,0.00
1,256598287,True,43.69855702,-74.96194235,553.60,4.67
2,256598287,True,43.69812805,-74.96184120,564.84,13.08
3,256598287,True,43.69769907,-74.96174005,571.22,7.51
4,256598287,True,43.69727010,-74.96163890,578.58,8.65
5,256598287,True,43.69688639,-74.96154841,598.92,25.17
6,256598287,True,43.69650267,-74.96145792,621.53,27.58
7,256598287,True,43.69611896,-74.96136744,637.86,20.67
8,256598287,True,43.69573525,-74.96127695,654.05,20.51
9,256598287,True,43.69535154,-74.96118646,664.91,14.09
10,256598287,True,43.69496782,-74.96109598,676.17,14.58
11,256598287,True,43.69458411,-74.96100549,686.73,13.71
12,256598287,True,43.69420040,-74.96091500,697.52,14.00
13,256598287,True,43.69397135,-74.96086100,702.85,11.66
14,256598287,True,43.69374230,-74.96080700,707.10,9.34
0,256598289,True,43.69802760,-74.96323110,556.07,0.00
1,256598289,True,43.69770010,-74.96307700,558.33,3.36
2,256598289,True,43.69737260,-74.96292290,566.48,11.96
3,256598289,True,43.69704510,-74.96276880,578.74,17.68
4,256598289,True,43.69671760,-74.96261470,586.98,12.09
0,256598291,True,43.69816270,-74.96278280,552.95,0.00
1,256598291,True,43.69791832,-74.96268502,555.80,5.75
2,256598291,True,43.69767395,-74.96258724,561.05,10.51
3,256598291,True,43.69742958,-74.96248946,569.81,17.21
4,256598291,True,43.69718520,-74.96239167,578.77,17.58
5,256598291,True,43.69694082,-74.96229389,585.67,13.71
6,256598291,True,43.69669645,-74.96219611,594.66,17.63
7,256598291,True,43.69645208,-74.96209833,606.96,23.50
8,256598291,True,43.69620770,-74.96200055,621.40,27.04
9,256598291,True,43.69596333,-74.96190277,634.35,24.60
10,256598291,True,43.69571895,-74.96180499,647.20,24.43
11,256598291,True,43.69547457,-74.96170721,655.91,17.11
12,256598291,True,43.69523020,-74.96160943,665.07,17.94
13,256598291,True,43.69498582,-74.96151164,673.70,16.97
14,256598291,True,43.69474145,-74.96141386,681.97,16.30
15,256598291,True,43.69449708,-74.96131608,691.32,18.29
16,256598291,True,43.69425270,-74.96121830,698.62,14.47
0,256598292,True,43.69678510,-74.96676630,555.12,0.00
1,256598292,True,43.69648966,-74.96668107,559.54,7.50
2,256598292,True,43.69619422,-74.96659585,563.43,6.61
3,256598292,True,43.69589879,-74.96651062,565.68,3.84
4,256598292,True,43.69560335,-74.96642540,571.10,9.17
5,256598292,True,43.69530791,-74.96634017,577.95,11.54
6,256598292,True,43.69501247,-74.96625495,589.72,19.33
7,256598292,True,43.69471704,-74.96616972,598.51,14.68
8,256598292,True,43.69442160,-74.96608450,597.57,-1.60
0,256598294,True,43.69776770,-74.96432390,553.07,0.00
1,256598294,True,43.69744017,-74.96427370,556.12,4.76
2,256598294,True,43.69711265,-74.96422350,561.34,8.11
3,256598294,True,43.69678513,-74.96417330,567.97,10.26
4,256598294,True,43.69645760,-74.96412310,572.44,6.96
