,lift_id,for_display,lat,lon,elevation,slope
0,255716278,True,43.93955110,-72.95655440,559.45,0.00
1,255716278,True,43.93921410,-72.95617030,561.56,2.49
2,255716278,True,43.93889150,-72.95580260,567.85,7.72
3,255716278,True,43.93856890,-72.95543490,576.31,10.33
4,255716278,True,43.93839483,-72.95523650,580.46,9.41
5,255716278,True,43.93822075,-72.95503810,586.75,14.10
6,255716278,True,43.93804667,-72.95483970,593.31,14.68
7,255716278,True,43.93787260,-72.95464130,600.65,16.34
8,255716278,True,43.93767127,-72.95441185,606.46,11.34
9,255716278,True,43.93746995,-72.95418240,610.92,8.76
10,255716278,True,43.93726863,-72.95395295,617.62,13.03
11,255716278,True,43.93706730,-72.95372350,625.54,15.29
12,255716278,True,43.93685878,-72.95348580,633.03,14.02
13,255716278,True,43.93665025,-72.95324810,641.95,16.56
14,255716278,True,43.93644172,-72.95301040,653.09,20.37
15,255716278,True,43.93623320,-72.95277270,664.36,20.59
16,255716278,True,43.93605515,-72.95256980,678.34,28.63
17,255716278,True,43.93587710,-72.95236690,685.40,15.41
0,255716279,True,43.93874470,-72.95863230,556.20,0.00
1,255716279,True,43.93837130,-72.95874040,561.36,6.94
2,255716279,True,43.93808985,-72.95881895,568.46,12.54
3,255716279,True,43.93780840,-72.95889750,576.43,14.02
4,255716279,True,43.93745955,-72.95900650,589.08,17.65
5,255716279,True,43.93711070,-72.95911550,602.20,18.26
6,255716279,True,43.93676195,-72.95920705,610.81,12.31
7,255716279,True,43.93641320,-72.95929860,620.27,13.48
8,255716279,True,43.93612400,-72.95939095,629.38,15.43
9,255716279,True,43.93583480,-72.95948330,639.69,17.35
10,255716279,True,43.93554560,-72.95957565,646.29,11.31
11,255716279,True,43.93525640,-72.95966800,659.89,22.40
12,255716279,True,43.93496450,-72.95975145,666.47,11.23
13,255716279,True,43.93467260,-72.95983490,669.55,5.31
14,255716279,True,43.93441715,-72.95991470,665.48,-7.96
15,255716279,True,43.93416170,-72.95999450,661.42,-7.94
16,255716279,True,43.93390625,-72.96007430,658.59,-5.55
17,255716279,True,43.93365080,-72.96015410,661.85,6.39
18,255716279,True,43.93332110,-72.96025430,668.71,10.36
19,255716279,True,43.93299140,-72.96035450,679.01,15.35
20,255716279,True,43.93273305,-72.96040670,682.82,7.48
21,255716279,True,43.93247470,-72.96045890,691.95,17.46
22,255716279,True,43.93220565,-72.96054510,703.00,19.79
23,255716279,True,43.93193660,-72.96063130,718.01,26.05
24,255716279,True,43.93158625,-72.96076220,740.11,28.71
25,255716279,True,43.93123590,-72.96089310,760.33,26.62
26,255716279,True,43.93093770,-72.96098680,773.79,21.60
27,255716279,True,43.93063950,-72.96108050,785.88,19.58
28,255716279,True,43.93022360,-72.96118630,790.41,5.50
29,255716279,True,43.92996592,-72.96126632,791.34,1.81
30,255716279,True,43.92970825,-72.96134635,792.28,1.83
31,255716279,True,43.92945057,-72.96142638,795.21,5.70
32,255716279,True,43.92919290,-72.96150640,799.02,7.39
33,255716279,True,43.92895430,-72.96158520,801.17,4.51
34,255716279,True,43.92871570,-72.96166400,805.03,8.06
0,255716399,True,43.92646100,-72.94493800,520.50,0.00
1,255716399,True,43.92650240,-72.94552410,528.86,10.05
2,255716399,True,43.92652585,-72.94585570,534.70,12.34
3,255716399,True,43.92654930,-72.94618730,541.87,15.04
4,255716399,True,43.92657300,-72.94652287,544.67,5.92
5,255716399,True,43.92659670,-72.94685845,547.14,5.23
6,255716399,True,43.92662040,-72.94719403,549.35,4.68
7,255716399,True,43.92664410,-72.94752960,551.61,4.78
8,255716399,True,43.92666852,-72.94787522,553.92,4.75
9,255716399,True,43.92669295,-72.94822085,557.49,7.31
10,255716399,True,43.92671738,-72.94856648,563.50,12.19
11,255716399,True,43.92674180,-72.94891210,569.07,11.32
12,255716399,True,43.92678330,-72.94949955,580.33,13.40
13,255716399,True,43.92682480,-72.95008700,592.71,14.68
14,255716399,True,43.92686810,-72.95069970,606.13,15.23
15,255716399,True,43.92691140,-72.95131240,624.09,20.02
16,255716399,True,43.92694225,-72.95174925,628.12,6.54
17,255716399,True,43.92697310,-72.95218610,628.94,1.34
18,255716399,True,43.92699783,-72.95253583,628.59,-0.71
19,255716399,True,43.92702255,-72.95288555,628.97,0.77
20,255716399,True,43.92704728,-72.95323527,631.54,5.22
21,255716399,True,43.92707200,-72.95358500,633.67,4.33
22,255716399,True,43.92711550,-72.95420070,640.95,8.36
23,255716399,True,43.92715840,-72.95480785,653.97,14.92
24,255716399,True,43.92720130,-72.95541500,682.71,30.47
25,255716399,True,43.92724500,-72.95603390,708.13,27.04
26,255716399,True,43.92727090,-72.95640035,715.72,14.43
27,255716399,True,43.92729680,-72.95676680,720.31,8.85
28,255716399,True,43.92732270,-72.95713325,726.71,12.25
29,255716399,True,43.92734860,-72.95749970,733.39,12.76
30,255716399,True,43.92737080,-72.95781422,741.98,18.75
31,255716399,True,43.92739300,-72.95812875,751.73,21.07
32,255716399,True,43.92741520,-72.95844328,764.36,26.52
33,255716399,True,43.92743740,-72.95875780,771.96,16.71
34,255716399,True,43.92745965,-72.95907257,779.20,15.95
35,255716399,True,43.92748190,-72.95938735,782.76,8.00
36,255716399,True,43.92750415,-72.95970213,790.48,16.95
37,255716399,True,43.92752640,-72.96001690,801.66,23.82
38,255716399,True,43.92756490,-72.96056160,811.02,12.05
0,255716894,True,43.94009920,-72.95736950,555.10,0.00
1,255716894,True,43.94020280,-72.95683890,561.37,8.11
