,lift_id,for_display,lat,lon,elevation,slope
0,40016027,True,43.98573100,-121.67289950,2206.31,0.00
1,40016027,True,43.98561540,-121.67308920,2206.59,0.81
2,40016027,True,43.98540928,-121.67342763,2219.81,20.44
3,40016027,True,43.98520315,-121.67376605,2228.93,14.42
4,40016027,True,43.98499702,-121.67410448,2241.59,19.64
5,40016027,True,43.98479090,-121.67444290,2255.24,21.05
6,40016027,True,43.98461755,-121.67472753,2266.88,21.31
7,40016027,True,43.98444420,-121.67501215,2278.12,20.64
8,40016027,True,43.98427085,-121.67529677,2292.56,25.83
9,40016027,True,43.98409750,-121.67558140,2306.62,25.23
10,40016027,True,43.98391305,-121.67588505,2321.77,25.48
11,40016027,True,43.98372860,-121.67618870,2335.66,23.60
12,40016027,True,43.98353910,-121.67648475,2348.28,21.71
13,40016027,True,43.98334960,-121.67678080,2359.77,19.92
14,40016027,True,43.98311970,-121.67714210,2372.02,17.61
15,40016027,True,43.98288980,-121.67750340,2381.28,13.49
16,40016027,True,43.98271587,-121.67777673,2390.36,17.28
17,40016027,True,43.98254195,-121.67805005,2401.75,21.31
18,40016027,True,43.98236802,-121.67832337,2412.83,20.78
19,40016027,True,43.98219410,-121.67859670,2424.33,21.50
20,40016027,True,43.98198255,-121.67892910,2438.70,22.03
21,40016027,True,43.98177100,-121.67926150,2451.63,20.01
22,40016027,True,43.98172230,-121.67933800,2453.96,15.91
23,40016027,True,43.98150925,-121.67966695,2466.63,19.69
24,40016027,True,43.98129620,-121.67999590,2482.81,24.56
25,40016027,True,43.98102653,-121.68041225,2503.48,24.76
26,40016027,True,43.98075685,-121.68082860,2518.26,18.25
27,40016027,True,43.98048718,-121.68124495,2532.60,17.74
28,40016027,True,43.98021750,-121.68166130,2556.01,27.58
29,40016027,True,43.97993840,-121.68209215,2574.54,21.78
30,40016027,True,43.97965930,-121.68252300,2592.59,21.26
31,40016027,True,43.97937765,-121.68297590,2610.39,20.39
32,40016027,True,43.97909600,-121.68342880,2628.16,20.36
33,40016027,True,43.97891860,-121.68371405,2639.05,19.85
34,40016027,True,43.97874120,-121.68399930,2652.15,23.47
35,40016027,True,43.97845610,-121.68445770,2673.67,23.94
36,40016027,True,43.97843710,-121.68448820,2675.02,22.70
37,40016027,True,43.97825248,-121.68478505,2684.39,16.62
38,40016027,True,43.97806785,-121.68508190,2696.22,20.65
39,40016027,True,43.97788322,-121.68537875,2709.64,23.14
40,40016027,True,43.97769860,-121.68567560,2724.44,25.24
41,40016027,True,43.97757380,-121.68587400,2726.80,6.39
0,40016031,True,43.99231370,-121.66243410,1971.21,0.00
1,40016031,True,43.99223000,-121.66254410,1971.03,-0.81
2,40016031,True,43.99197545,-121.66287715,1978.53,10.92
3,40016031,True,43.99172090,-121.66321020,1989.03,15.12
4,40016031,True,43.99152170,-121.66347090,1993.04,7.51
5,40016031,True,43.99132250,-121.66373160,1997.22,7.82
6,40016031,True,43.99111835,-121.66399875,2003.43,11.26
7,40016031,True,43.99091420,-121.66426590,2008.00,8.34
8,40016031,True,43.99070645,-121.66453775,2011.89,6.99
9,40016031,True,43.99049870,-121.66480960,2014.69,5.04
10,40016031,True,43.99027170,-121.66510660,2018.75,6.68
11,40016031,True,43.99004470,-121.66540360,2026.40,12.44
12,40016031,True,43.98982118,-121.66569607,2032.08,9.45
13,40016031,True,43.98959765,-121.66598855,2040.87,14.44
14,40016031,True,43.98937412,-121.66628103,2049.62,14.38
15,40016031,True,43.98915060,-121.66657350,2064.61,23.71
16,40016031,True,43.98894260,-121.66684565,2072.66,14.22
17,40016031,True,43.98873460,-121.66711780,2080.83,14.42
18,40016031,True,43.98848615,-121.66744290,2089.03,12.19
19,40016031,True,43.98823770,-121.66776800,2102.18,19.11
20,40016031,True,43.98805490,-121.66801205,2113.54,21.95
21,40016031,True,43.98787210,-121.66825610,2124.97,22.07
22,40016031,True,43.98765760,-121.66854252,2125.63,1.14
23,40016031,True,43.98744310,-121.66882895,2130.67,8.66
24,40016031,True,43.98722860,-121.66911538,2134.07,5.87
25,40016031,True,43.98701410,-121.66940180,2139.20,8.82
26,40016031,True,43.98679575,-121.66969335,2145.83,11.14
27,40016031,True,43.98657740,-121.66998490,2153.12,12.22
28,40016031,True,43.98635905,-121.67027645,2164.74,19.04
29,40016031,True,43.98614070,-121.67056800,2178.41,22.10
30,40016031,True,43.98591930,-121.67086360,2187.03,14.17
31,40016031,True,43.98569790,-121.67115920,2196.20,15.04
32,40016031,True,43.98552430,-121.67139105,2201.48,11.16
33,40016031,True,43.98535070,-121.67162290,2208.07,13.83
34,40016031,True,43.98514020,-121.67190390,2209.33,2.22
35,40016031,True,43.98498480,-121.67211140,2217.29,18.38
0,40016034,True,44.00201760,-121.67880610,1941.53,0.00
1,40016034,True,44.00169745,-121.67900570,1947.21,8.28
2,40016034,True,44.00137730,-121.67920530,1956.96,14.03
