,lift_id,for_display,lat,lon,elevation,slope
0,127262425,True,47.38706430,-88.01998990,231.91,0.00
1,127262425,True,47.38734817,-88.01960210,239.56,10.09
2,127262425,True,47.38763204,-88.01921430,248.23,11.40
3,127262425,True,47.38791591,-88.01882650,259.24,14.36
4,127262425,True,47.38819978,-88.01843870,270.73,14.96
5,127262425,True,47.38848364,-88.01805090,281.41,13.95
6,127262425,True,47.38876751,-88.01766310,281.04,-0.49
7,127262425,True,47.38905138,-88.01727530,289.66,11.34
8,127262425,True,47.38933525,-88.01688750,308.17,23.29
9,127262425,True,47.38961912,-88.01649970,325.39,21.83
10,127262425,True,47.38990299,-88.01611190,341.09,20.06
11,127262425,True,47.39018686,-88.01572410,355.50,18.53
12,127262425,True,47.39047073,-88.01533630,375.21,24.63
13,127262425,True,47.39075459,-88.01494850,397.40,27.30
14,127262425,True,47.39103846,-88.01456070,417.12,24.64
15,127262425,True,47.39132233,-88.01417290,433.34,20.67
16,127262425,True,47.39160620,-88.01378510,443.11,12.80
0,127262427,True,47.38587840,-88.00836170,194.77,0.00
1,127262427,True,47.38623966,-88.00866229,214.23,22.88
2,127262427,True,47.38660091,-88.00896289,227.89,16.50
3,127262427,True,47.38696217,-88.00926348,247.29,22.82
4,127262427,True,47.38732343,-88.00956408,269.49,25.71
5,127262427,True,47.38768468,-88.00986467,294.01,28.01
6,127262427,True,47.38804594,-88.01016526,314.63,24.10
7,127262427,True,47.38840719,-88.01046586,331.96,20.60
8,127262427,True,47.38876845,-88.01076645,346.79,17.83
9,127262427,True,47.38912971,-88.01106704,357.52,13.10
10,127262427,True,47.38949096,-88.01136764,366.83,11.42
11,127262427,True,47.38985222,-88.01166823,381.57,17.73
12,127262427,True,47.39021347,-88.01196882,390.40,10.84
13,127262427,True,47.39057473,-88.01226942,402.37,14.55
14,127262427,True,47.39093599,-88.01257001,410.61,10.13
15,127262427,True,47.39129724,-88.01287061,419.91,11.40
16,127262427,True,47.39165850,-88.01317120,439.45,22.97
