lift_id,for_display,lat,lon,elevation,slope,index
143874598,True,42.97011550,-72.92089520,777.41,0.00,0
143874598,True,42.96981940,-72.92092080,778.80,2.41,1
143874598,True,42.96948660,-72.92094950,786.27,11.39,2
143874598,True,42.96914915,-72.92097865,791.97,8.62,3
143874598,True,42.96881170,-72.92100780,797.72,8.70,4
143874598,True,42.96848055,-72.92103640,803.30,8.60,5
143874598,True,42.96814940,-72.92106500,806.76,5.36,6
143874598,True,42.96773785,-72.92110055,816.89,12.46,7
143874598,True,42.96732630,-72.92113610,828.44,14.14,8
143874598,True,42.96691690,-72.92117145,840.65,14.99,9
143874598,True,42.96650750,-72.92120680,860.20,23.20,10
143874598,True,42.96615945,-72.92123685,876.16,22.37,11
143874598,True,42.96581140,-72.92126690,890.03,19.68,12
143874598,True,42.96555245,-72.92128925,898.81,16.93,13
143874598,True,42.96529350,-72.92131160,905.32,12.72,14
143874598,True,42.96506108,-72.92133168,909.53,9.23,15
143874598,True,42.96482865,-72.92135175,916.56,15.19,16
143874598,True,42.96459623,-72.92137182,922.19,12.27,17
143874598,True,42.96436380,-72.92139190,930.54,17.87,18
143874598,True,42.96391845,-72.92143035,946.10,17.41,19
143874598,True,42.96347310,-72.92146880,966.23,22.08,20
143874598,True,42.96303135,-72.92150695,978.50,14.00,21
143874598,True,42.96258960,-72.92154510,991.40,14.69,22
143874598,True,42.96234460,-72.92156625,1000.22,17.91,23
143874598,True,42.96209960,-72.92158740,1009.52,18.81,24
143874598,True,42.96185460,-72.92160855,1018.80,18.78,25
143874598,True,42.96160960,-72.92162970,1029.18,20.82,26
143874598,True,42.96116230,-72.92166830,1045.01,17.62,27
143874598,True,42.96071500,-72.92170690,1060.10,16.85,28
143874598,True,42.96038090,-72.92173580,1073.48,19.77,29
143874598,True,42.95997640,-72.92177070,1083.62,12.68,30
143874598,True,42.95984020,-72.92178240,1086.34,10.16,31
143874599,True,42.95844090,-72.89155180,601.48,0.00,0
143874599,True,42.95834330,-72.89185405,606.47,10.52,1
143874599,True,42.95824570,-72.89215630,612.54,12.72,2
143874599,True,42.95810715,-72.89258525,620.87,12.32,3
143874599,True,42.95796860,-72.89301420,629.68,13.00,4
143874599,True,42.95778950,-72.89356870,645.98,18.29,5
143874599,True,42.95761040,-72.89412320,669.37,25.37,6
143874599,True,42.95751340,-72.89442370,679.29,20.36,7
143874599,True,42.95741038,-72.89474270,680.75,2.95,8
143874599,True,42.95730735,-72.89506170,685.24,8.99,9
143874599,True,42.95720432,-72.89538070,691.16,11.78,10
143874599,True,42.95710130,-72.89569970,697.55,12.69,11
143874599,True,42.95695215,-72.89616150,706.18,11.86,12
143874599,True,42.95680300,-72.89662330,711.99,8.05,13
143874599,True,42.95664005,-72.89712775,716.63,5.90,14
143874599,True,42.95647710,-72.89763220,720.21,4.56,15
143874599,True,42.95638535,-72.89791635,721.49,2.90,16
143874599,True,42.95629360,-72.89820050,723.55,4.66,17
143874599,True,42.95620185,-72.89848465,725.28,3.92,18
143874599,True,42.95611010,-72.89876880,728.09,6.34,19
143874599,True,42.95592900,-72.89932940,733.08,5.71,20
143874599,True,42.95574790,-72.89989000,744.73,13.15,21
143874599,True,42.95564683,-72.90020297,749.97,10.66,22
143874599,True,42.95554575,-72.90051595,758.15,16.37,23
143874599,True,42.95544467,-72.90082892,767.08,17.78,24
143874599,True,42.95534360,-72.90114190,774.40,14.73,25
143874599,True,42.95525272,-72.90142325,779.29,11.06,26
143874599,True,42.95516185,-72.90170460,782.96,8.34,27
143874599,True,42.95507097,-72.90198595,786.91,8.97,28
143874599,True,42.95498010,-72.90226730,791.67,10.77,29
143874599,True,42.95487072,-72.90260595,796.74,9.55,30
143874599,True,42.95476135,-72.90294460,802.67,11.14,31
143874599,True,42.95465198,-72.90328325,810.53,14.62,32
143874599,True,42.95454260,-72.90362190,818.83,15.40,33
143874599,True,42.95444733,-72.90391690,825.16,13.56,34
143874599,True,42.95435205,-72.90421190,831.19,12.94,35
143874599,True,42.95425677,-72.90450690,839.58,17.73,36
143874599,True,42.95416150,-72.90480190,845.61,12.94,37
143874599,True,42.95406885,-72.90508875,851.18,12.31,38
143874599,True,42.95397620,-72.90537560,854.85,8.18,39
143874599,True,42.95388355,-72.90566245,858.60,8.36,40
143874599,True,42.95379090,-72.90594930,864.52,13.06,41
143874599,True,42.95361345,-72.90649875,874.92,12.01,42
143874599,True,42.95343600,-72.90704820,885.56,12.28,43
143874599,True,42.95328370,-72.90751970,891.56,8.14,44
143874599,True,42.95313140,-72.90799120,896.64,6.91,45
143874599,True,42.95306990,-72.90818150,902.71,19.72,46
143874600,True,42.96744630,-72.89526400,603.92,0.00,0
143874600,True,42.96730070,-72.89575995,604.70,1.03,1
143874600,True,42.96715510,-72.89625590,617.78,16.74,2
143874600,True,42.96704512,-72.89663060,621.00,5.60,3
143874600,True,42.96693515,-72.89700530,622.61,2.81,4
143874600,True,42.96682517,-72.89738000,630.16,12.94,5
143874600,True,42.96671520,-72.89775470,635.70,9.57,6
143874600,True,42.96662803,-72.89805172,641.19,11.91,7
143874600,True,42.96654085,-72.89834875,646.84,12.24,8
143874600,True,42.96645367,-72.89864578,655.26,17.92,9
143874600,True,42.96636650,-72.89894280,660.77,11.95,10
143874600,True,42.96626233,-72.89929765,668.32,13.64,11
143874600,True,42.96615815,-72.89965250,676.44,14.63,12
143874600,True,42.96605397,-72.90000735,686.54,17.99,13
143874600,True,42.96594980,-72.90036220,695.80,16.58,14
143874600,True,42.96585895,-72.90067165,702.62,14.11,15
143874600,True,42.96576810,-72.90098110,708.39,12.01,16
143874600,True,42.96566365,-72.90133695,714.41,10.92,17
143874600,True,42.96555920,-72.90169280,720.38,10.83,18
143874600,True,42.96544475,-72.90207475,721.10,1.23,19
143874600,True,42.96533030,-72.90245670,722.24,1.94,20
143874600,True,42.96521585,-72.90283865,735.64,21.75,21
143874600,True,42.96510140,-72.90322060,747.44,19.36,22
