,lift_id,for_display,lat,lon,elevation,slope
0,143791582,True,41.58262010,-72.92550800,62.85,0.00
1,143791582,True,41.58259670,-72.92585880,63.60,1.47
2,143791582,True,41.58257035,-72.92625370,67.41,6.59
3,143791582,True,41.58254400,-72.92664860,73.69,10.78
4,143791582,True,41.58251340,-72.92710710,82.32,12.70
5,143791582,True,41.58248280,-72.92756560,90.18,11.60
6,143791582,True,41.58245350,-72.92800440,102.87,19.10
7,143791582,True,41.58242420,-72.92844320,111.58,13.37
8,143791582,True,41.58240155,-72.92878275,116.09,9.04
9,143791582,True,41.58237890,-72.92912230,123.67,14.97
10,143791582,True,41.58235835,-72.92942955,128.11,9.82
11,143791582,True,41.58233780,-72.92973680,129.13,2.28
12,143791582,True,41.58230585,-72.93021555,130.42,1.85
13,143791582,True,41.58227390,-72.93069430,133.68,4.66
14,143791582,True,41.58223960,-72.93120920,138.20,6.00
15,143791582,True,41.58221810,-72.93153080,140.88,5.70
16,143791582,True,41.58219460,-72.93188340,143.22,4.54
17,143791582,True,41.58216230,-72.93236760,151.55,11.64
18,143791582,True,41.58215240,-72.93251610,154.28,12.42
19,143791582,True,41.58213820,-72.93272850,157.83,11.32
0,143791583,True,41.58124160,-72.92580410,64.51,0.00
1,143791583,True,41.58115145,-72.92613960,65.90,2.68
2,143791583,True,41.58106130,-72.92647510,68.51,5.03
0,143791584,True,41.58334410,-72.92551340,62.01,0.00
1,143791584,True,41.58334010,-72.92569850,62.88,3.23
0,143791586,True,41.58188140,-72.92538460,62.63,0.00
1,143791586,True,41.58184283,-72.92570498,63.42,1.68
2,143791586,True,41.58180425,-72.92602535,64.90,3.14
3,143791586,True,41.58176567,-72.92634573,67.46,5.42
4,143791586,True,41.58172710,-72.92666610,71.62,8.76
5,143791586,True,41.58168050,-72.92705265,77.80,10.75
6,143791586,True,41.58163390,-72.92743920,83.43,9.81
7,143791586,True,41.58158630,-72.92783470,90.69,12.29
8,143791586,True,41.58153870,-72.92823020,99.57,14.92
9,143791586,True,41.58149420,-72.92859975,105.86,11.42
10,143791586,True,41.58144970,-72.92896930,111.13,9.61
11,143791586,True,41.58141390,-72.92926635,114.64,7.98
12,143791586,True,41.58137810,-72.92956340,120.08,12.26
13,143791586,True,41.58133490,-72.92992170,122.10,3.83
14,143791586,True,41.58127580,-72.93041250,131.87,13.29
15,143791586,True,41.58121670,-72.93090330,142.82,14.83
16,143791586,True,41.58116490,-72.93133390,151.27,13.11
17,143791586,True,41.58111030,-72.93178720,152.95,2.52
18,143791586,True,41.58105570,-72.93224050,156.09,4.70
19,143791586,True,41.58101765,-72.93255620,160.02,8.41
20,143791586,True,41.58097960,-72.93287190,164.50,9.56
21,143791586,True,41.58096650,-72.93298070,165.90,8.68
0,143791587,True,41.58211010,-72.92549460,62.83,0.00
1,143791587,True,41.58207278,-72.92585350,63.50,1.27
2,143791587,True,41.58203545,-72.92621240,66.35,5.40
3,143791587,True,41.58199812,-72.92657130,71.49,9.68
4,143791587,True,41.58196080,-72.92693020,78.00,12.19
5,143791587,True,41.58190795,-72.92743870,85.70,10.22
6,143791587,True,41.58185510,-72.92794720,94.88,12.13
7,143791587,True,41.58180105,-72.92846685,104.76,12.76
8,143791587,True,41.58174700,-72.92898650,111.53,8.82
9,143791587,True,41.58170160,-72.92942295,120.22,13.34
10,143791587,True,41.58165620,-72.92985940,127.74,11.59
11,143791587,True,41.58161295,-72.93027530,128.36,1.02
12,143791587,True,41.58156970,-72.93069120,136.94,13.80
13,143791587,True,41.58153065,-72.93106705,144.71,13.83
14,143791587,True,41.58149160,-72.93144290,151.16,11.55
15,143791587,True,41.58145713,-72.93177438,154.76,7.37
16,143791587,True,41.58142265,-72.93210585,154.54,-0.45
17,143791587,True,41.58138818,-72.93243732,157.01,5.07
18,143791587,True,41.58135370,-72.93276880,160.56,7.27
0,143791590,True,41.58078600,-72.92542760,62.47,0.00
1,143791590,True,41.58065800,-72.92578140,64.07,2.80
2,143791590,True,41.58051480,-72.92617730,67.21,4.91
3,143791590,True,41.58040455,-72.92648210,69.41,4.47
4,143791590,True,41.58029430,-72.92678690,72.76,6.78
5,143791590,True,41.58019530,-72.92706065,77.09,9.72
6,143791590,True,41.58009630,-72.92733440,80.46,7.59
7,143791590,True,41.57996330,-72.92770210,85.85,9.02
0,255839086,True,41.58332370,-72.92605110,64.84,0.00
1,255839086,True,41.58333180,-72.92642235,68.26,6.32
2,255839086,True,41.58333990,-72.92679360,75.60,13.37
