,lift_id,for_display,lat,lon,elevation,slope
0,215697993,True,42.54444270,-71.44803300,59.81,0.00
1,215697993,True,42.54410360,-71.44807520,63.91,6.18
2,215697993,True,42.54406950,-71.44807950,64.32,6.15
3,215697993,True,42.54372640,-71.44812230,69.25,7.33
4,215697993,True,42.54328370,-71.44817740,76.87,8.76
5,215697993,True,42.54301100,-71.44821140,84.89,14.76
6,215697993,True,42.54273830,-71.44824540,92.58,14.17
7,215697993,True,42.54250780,-71.44827410,98.55,13.06
8,215697993,True,42.54227730,-71.44830280,104.73,13.50
9,215697993,True,42.54203858,-71.44833255,109.52,10.19
10,215697993,True,42.54179985,-71.44836230,113.80,9.12
11,215697993,True,42.54156113,-71.44839205,117.66,8.24
12,215697993,True,42.54132240,-71.44842180,121.78,8.79
13,215697993,True,42.54118200,-71.44843930,123.68,6.91
14,215697993,True,42.54099310,-71.44846280,125.96,6.17
15,215697993,True,42.54089460,-71.44847510,126.84,4.57
0,215697994,True,42.54126080,-71.44439170,59.68,0.00
1,215697994,True,42.54111970,-71.44487580,63.80,5.52
2,215697994,True,42.54111550,-71.44489040,64.02,9.72
3,215697994,True,42.54101995,-71.44521860,68.91,9.60
4,215697994,True,42.54092440,-71.44554680,74.81,11.53
5,215697994,True,42.54080085,-71.44597095,88.23,19.76
6,215697994,True,42.54067730,-71.44639510,100.87,18.69
7,215697994,True,42.54054140,-71.44686200,113.19,16.68
8,215697994,True,42.54039620,-71.44736050,122.36,11.79
9,215697994,True,42.54029910,-71.44769370,126.27,7.59
10,215697994,True,42.54027090,-71.44779070,127.26,6.61
0,215698001,True,42.54417490,-71.44685070,59.77,0.00
1,215698001,True,42.54406870,-71.44689380,60.14,1.72
2,215698001,True,42.54371410,-71.44703750,65.04,6.79
3,215698001,True,42.54343775,-71.44715275,69.49,7.88
4,215698001,True,42.54316140,-71.44726800,75.32,10.28
5,215698001,True,42.54293435,-71.44736275,81.41,12.98
6,215698001,True,42.54270730,-71.44745750,88.56,15.15
7,215698001,True,42.54241030,-71.44758135,96.14,12.37
8,215698001,True,42.54211330,-71.44770520,104.28,13.26
9,215698001,True,42.54185145,-71.44781445,110.61,11.74
10,215698001,True,42.54158960,-71.44792370,116.07,10.16
11,215698001,True,42.54126340,-71.44805980,122.58,9.73
12,215698001,True,42.54089170,-71.44821480,127.20,6.10
13,215698001,True,42.54082440,-71.44824290,128.02,5.98
0,215698003,True,42.54184890,-71.44495710,61.55,0.00
1,215698003,True,42.54172370,-71.44524530,63.89,4.88
2,215698003,True,42.54159900,-71.44553260,68.90,10.39
3,215698003,True,42.54146510,-71.44584090,75.51,12.70
4,215698003,True,42.54124810,-71.44634060,90.90,17.94
5,215698003,True,42.54104980,-71.44679740,107.04,20.38
6,215698003,True,42.54083800,-71.44728500,118.17,13.50
7,215698003,True,42.54069990,-71.44760310,125.39,13.42
8,215698003,True,42.54060650,-71.44781830,127.48,5.83
9,215698003,True,42.54054820,-71.44795250,128.67,5.33
0,267927780,True,42.54270310,-71.44546690,61.73,0.00
1,267927780,True,42.54245590,-71.44586480,66.48,6.36
0,255806957,True,42.54415930,-71.44745090,61.10,0.00
1,255806957,True,42.54390510,-71.44761720,64.98,7.05
0,255806958,True,42.54349860,-71.44592930,59.75,0.00
1,255806958,True,42.54319450,-71.44614040,63.70,5.94
2,255806958,True,42.54289040,-71.44635150,68.32,6.94
0,267927779,True,42.54300960,-71.44545090,60.54,0.00
1,267927779,True,42.54281435,-71.44579875,63.75,5.12
2,267927779,True,42.54261910,-71.44614660,68.47,7.51
0,267927778,True,42.54303490,-71.44547180,60.51,0.00
1,267927778,True,42.54284020,-71.44582490,63.82,5.23
2,267927778,True,42.54264550,-71.44617800,68.60,7.54
0,267927781,True,42.54238410,-71.44517140,60.78,0.00
1,267927781,True,42.54229320,-71.44539540,63.01,6.08
