,lift_id,for_display,lat,lon,elevation,slope
0,199880970,True,35.70279130,-83.55863610,817.59,0.00
1,199880970,True,35.70255930,-83.55879575,820.75,6.10
2,199880970,True,35.70232730,-83.55895540,827.29,12.48
3,199880970,True,35.70195810,-83.55920950,833.45,7.46
4,199880970,True,35.70174345,-83.55935720,839.69,12.86
5,199880970,True,35.70152880,-83.55950490,842.59,6.05
6,199880970,True,35.70132400,-83.55964585,851.61,19.07
7,199880970,True,35.70111920,-83.55978680,860.95,19.70
8,199880970,True,35.70094970,-83.55990340,867.94,17.94
0,199901606,True,35.70340220,-83.55931330,807.00,0.00
1,199901606,True,35.70296315,-83.55927905,819.82,14.69
2,199901606,True,35.70252410,-83.55924480,838.59,20.99
3,199901606,True,35.70219055,-83.55921900,838.30,-0.45
4,199901606,True,35.70185700,-83.55919320,834.74,-5.47
5,199901606,True,35.70149280,-83.55916440,842.69,11.08
6,199901606,True,35.70124770,-83.55914530,851.75,18.35
7,199901606,True,35.70100260,-83.55912620,861.59,19.82
8,199901606,True,35.70066130,-83.55909960,880.15,26.02
9,199901606,True,35.70032000,-83.55907300,898.34,25.56
10,199901606,True,35.69999140,-83.55904730,917.39,27.49
11,199901606,True,35.69976350,-83.55902955,926.97,20.67
12,199901606,True,35.69953560,-83.55901180,922.44,-10.12
13,199901606,True,35.69916460,-83.55898285,924.55,2.92
14,199901606,True,35.69879360,-83.55895390,946.60,28.08
15,199901606,True,35.69852520,-83.55893300,950.16,6.79
16,199901606,True,35.69825680,-83.55891210,958.76,16.04
17,199901606,True,35.69792570,-83.55888630,971.72,19.36
18,199901606,True,35.69776080,-83.55887340,975.81,12.55
0,199902541,True,35.70032260,-83.56768690,1052.92,0.00
1,199902541,True,35.70047020,-83.56729540,1041.90,-15.79
2,199902541,True,35.70062552,-83.56688333,1019.28,-28.87
3,199902541,True,35.70078085,-83.56647125,995.70,-29.89
4,199902541,True,35.70093617,-83.56605918,974.67,-27.14
5,199902541,True,35.70109150,-83.56564710,956.76,-23.59
6,199902541,True,35.70122815,-83.56528453,938.41,-26.95
7,199902541,True,35.70136480,-83.56492195,918.22,-29.22
8,199902541,True,35.70150145,-83.56455938,895.26,-32.46
9,199902541,True,35.70163810,-83.56419680,889.50,-9.07
10,199902541,True,35.70173882,-83.56392958,887.85,-3.55
11,199902541,True,35.70183955,-83.56366235,879.22,-17.97
12,199902541,True,35.70194027,-83.56339513,867.96,-22.94
13,199902541,True,35.70204100,-83.56312790,857.47,-21.52
14,199902541,True,35.70214172,-83.56286068,850.75,-14.18
15,199902541,True,35.70224245,-83.56259345,852.33,3.40
16,199902541,True,35.70234317,-83.56232623,854.12,3.85
17,199902541,True,35.70244390,-83.56205900,853.67,-0.97
18,199902541,True,35.70261663,-83.56160078,837.72,-19.27
19,199902541,True,35.70278935,-83.56114255,822.58,-18.36
20,199902541,True,35.70296208,-83.56068432,815.49,-8.83
21,199902541,True,35.70313480,-83.56022610,810.20,-6.61
22,199902541,True,35.70321120,-83.56002330,808.00,-6.22
23,199902541,True,35.70336640,-83.55961165,807.26,-1.03
24,199902541,True,35.70352160,-83.55920000,809.48,3.10
25,199902541,True,35.70365080,-83.55885710,815.38,9.81
0,199902737,True,35.70168450,-83.56432820,891.69,0.00
1,199902737,True,35.70179300,-83.56403910,888.97,-5.40
2,199902737,True,35.70195730,-83.56360155,871.01,-22.42
3,199902737,True,35.70212160,-83.56316400,856.36,-18.60
4,199902737,True,35.70228590,-83.56272645,855.76,-0.79
5,199902737,True,35.70245020,-83.56228890,857.88,2.79
6,199902737,True,35.70259510,-83.56190300,853.60,-6.36
7,199902737,True,35.70274640,-83.56150000,829.79,-30.71
8,199902737,True,35.70289705,-83.56109865,823.73,-8.63
9,199902737,True,35.70304770,-83.56069730,814.33,-13.25
10,199902737,True,35.70317320,-83.56036310,810.24,-7.01
11,199902737,True,35.70329870,-83.56002890,807.35,-4.97
12,199902737,True,35.70342130,-83.55970230,806.65,-1.23
0,256760979,True,35.70262730,-83.55830130,819.09,0.00
1,256760979,True,35.70238588,-83.55834110,820.60,3.19
2,256760979,True,35.70214445,-83.55838090,824.51,8.21
3,256760979,True,35.70190303,-83.55842070,827.92,7.18
4,256760979,True,35.70166160,-83.55846050,833.66,11.97
0,654582727,True,35.70349370,-83.55919260,810.03,0.00
1,654582727,True,35.70326500,-83.55917385,811.75,3.86
2,654582727,True,35.70303630,-83.55915510,816.18,9.86
