lift_id,for_display,lat,lon,elevation,slope,index
10477161,True,39.19680960,-120.23595590,1895.73,0.00,0
10477161,True,39.19679077,-120.23627576,1894.42,-2.71,1
10477161,True,39.19677193,-120.23659561,1894.62,0.41,2
10477161,True,39.19675310,-120.23691547,1895.28,1.37,3
10477161,True,39.19673426,-120.23723533,1894.56,-1.49,4
10477161,True,39.19671543,-120.23755518,1895.41,1.76,5
10477161,True,39.19669659,-120.23787504,1894.46,-1.97,6
10477161,True,39.19667776,-120.23819489,1895.57,2.30,7
10477161,True,39.19665893,-120.23851475,1896.07,1.04,8
10477161,True,39.19664009,-120.23883461,1897.09,2.11,9
10477161,True,39.19662126,-120.23915446,1896.06,-2.13,10
10477161,True,39.19660242,-120.23947432,1898.48,5.00,11
10477161,True,39.19658359,-120.23979417,1906.30,15.80,12
10477161,True,39.19656475,-120.24011403,1915.36,18.15,13
10477161,True,39.19654592,-120.24043389,1924.37,18.05,14
10477161,True,39.19652708,-120.24075374,1934.92,20.89,15
10477161,True,39.19650825,-120.24107360,1944.85,19.76,16
10477161,True,39.19648942,-120.24139346,1956.46,22.78,17
10477161,True,39.19647058,-120.24171331,1966.43,19.83,18
10477161,True,39.19645175,-120.24203317,1978.91,24.30,19
10477161,True,39.19643291,-120.24235302,1994.08,28.76,20
10477161,True,39.19641408,-120.24267288,2009.83,29.67,21
10477161,True,39.19639524,-120.24299274,2035.68,43.08,22
10477161,True,39.19637641,-120.24331259,2060.44,41.85,23
10477161,True,39.19635758,-120.24363245,2075.18,28.07,24
10477161,True,39.19633874,-120.24395231,2093.06,32.90,25
10477161,True,39.19631991,-120.24427216,2112.47,35.08,26
10477161,True,39.19630107,-120.24459202,2147.80,51.96,27
10477161,True,39.19628224,-120.24491188,2173.82,43.27,28
10477161,True,39.19626340,-120.24523173,2181.36,15.26,29
10477161,True,39.19624457,-120.24555159,2211.30,47.28,30
10477161,True,39.19622573,-120.24587144,2252.38,56.06,31
10477161,True,39.19620690,-120.24619130,2279.44,44.39,32
10477161,True,39.19618002,-120.24664504,2272.33,-10.28,33
10477161,True,39.19615314,-120.24709878,2266.61,-8.30,34
10477161,True,39.19612626,-120.24755251,2274.18,10.93,35
10477161,True,39.19609938,-120.24800625,2285.40,15.97,36
10477161,True,39.19607249,-120.24845999,2275.84,-13.70,37
10477161,True,39.19604561,-120.24891373,2281.37,8.03,38
