,lift_id,for_display,lat,lon,elevation,slope
0,202502880,True,43.16185930,-71.79663100,193.95,0.00
1,202502880,True,43.16152670,-71.79654518,198.79,7.33
2,202502880,True,43.16119410,-71.79645935,203.78,7.55
3,202502880,True,43.16086150,-71.79637352,209.34,8.40
4,202502880,True,43.16052890,-71.79628770,215.85,9.81
0,256051150,True,43.16325230,-71.79464620,182.98,0.00
1,256051150,True,43.16286790,-71.79464140,187.14,5.56
2,256051150,True,43.16262535,-71.79463835,190.17,6.41
3,256051150,True,43.16238280,-71.79463530,192.50,4.94
4,256051150,True,43.16212800,-71.79463210,194.42,3.88
5,256051150,True,43.16187320,-71.79462890,197.09,5.38
6,256051150,True,43.16153040,-71.79462460,201.15,6.08
7,256051150,True,43.16110230,-71.79461925,206.14,5.98
8,256051150,True,43.16067420,-71.79461390,211.62,6.57
9,256051150,True,43.16037635,-71.79461020,214.93,5.71
10,256051150,True,43.16007850,-71.79460650,220.73,9.93
11,256051150,True,43.15984155,-71.79460350,225.74,10.77
12,256051150,True,43.15960460,-71.79460050,229.46,8.04
13,256051150,True,43.15929820,-71.79459670,236.02,10.90
14,256051150,True,43.15899180,-71.79459290,243.12,11.77
15,256051150,True,43.15869950,-71.79458925,251.29,14.11
16,256051150,True,43.15840720,-71.79458560,261.40,17.28
17,256051150,True,43.15831730,-71.79458440,264.09,15.06
18,256051150,True,43.15796410,-71.79458000,276.66,17.75
19,256051150,True,43.15761090,-71.79457560,295.73,25.90
20,256051150,True,43.15725210,-71.79457110,313.67,24.21
21,256051150,True,43.15689330,-71.79456660,334.15,27.17
22,256051150,True,43.15648110,-71.79456140,357.30,26.80
23,256051150,True,43.15609130,-71.79455660,377.41,24.89
24,256051150,True,43.15590400,-71.79455420,384.30,18.30
25,256051150,True,43.15578320,-71.79455270,386.97,11.24
26,256051150,True,43.15566250,-71.79455120,389.52,10.76
0,202502882,True,43.16216460,-71.79565440,190.42,0.00
1,202502882,True,43.16182220,-71.79552835,194.83,6.38
2,202502882,True,43.16147980,-71.79540230,199.99,7.46
0,202503219,True,43.16279450,-71.79761780,183.10,0.00
