,lift_id,for_display,lat,lon,elevation,slope
0,136097905,True,42.06842230,-79.74071600,436.28,0.00
1,136097905,True,42.06827250,-79.74099010,439.70,6.94
2,136097905,True,42.06812270,-79.74126420,443.52,7.74
3,136097905,True,42.06797140,-79.74154095,449.46,11.83
4,136097905,True,42.06782010,-79.74181770,454.81,10.68
5,136097905,True,42.06766055,-79.74210960,461.37,12.37
6,136097905,True,42.06750100,-79.74240150,468.59,13.57
7,136097905,True,42.06734145,-79.74269340,475.91,13.75
8,136097905,True,42.06718190,-79.74298530,481.28,10.17
9,136097905,True,42.06699020,-79.74333610,486.67,8.53
10,136097905,True,42.06679850,-79.74368690,492.66,9.46
11,136097905,True,42.06656375,-79.74411630,496.50,4.99
12,136097905,True,42.06632900,-79.74454570,503.92,9.57
13,136097905,True,42.06612475,-79.74491940,510.83,10.23
14,136097905,True,42.06592050,-79.74529310,516.81,8.87
15,136097905,True,42.06575795,-79.74559050,521.27,8.32
16,136097905,True,42.06559540,-79.74588790,525.61,8.10
17,136097905,True,42.06542190,-79.74620530,530.60,8.72
0,136098718,True,42.06378210,-79.73658170,430.82,0.00
1,136098718,True,42.06366960,-79.73687450,432.85,4.27
2,136098718,True,42.06355710,-79.73716730,435.52,5.60
3,136098718,True,42.06339785,-79.73758165,439.39,5.74
4,136098718,True,42.06323860,-79.73799600,448.56,13.39
5,136098718,True,42.06312807,-79.73828360,457.91,19.28
6,136098718,True,42.06301755,-79.73857120,466.55,17.91
7,136098718,True,42.06290703,-79.73885880,474.22,16.01
8,136098718,True,42.06279650,-79.73914640,480.75,13.73
9,136098718,True,42.06264130,-79.73955025,486.99,9.44
10,136098718,True,42.06248610,-79.73995410,493.65,10.06
11,136098718,True,42.06232015,-79.74038595,497.74,5.82
12,136098718,True,42.06215420,-79.74081780,500.87,4.46
13,136098718,True,42.06198215,-79.74126555,505.03,5.71
14,136098718,True,42.06181010,-79.74171330,515.42,14.02
15,136098718,True,42.06161350,-79.74222480,525.29,11.73
16,136098718,True,42.06147220,-79.74259250,531.23,9.86
0,136098719,True,42.06552960,-79.73729360,432.67,0.00
1,136098719,True,42.06543120,-79.73785930,436.38,4.42
2,136098719,True,42.06536540,-79.73823750,440.20,6.79
3,136098719,True,42.06529960,-79.73861570,444.93,8.39
4,136098719,True,42.06523285,-79.73899935,449.86,8.62
5,136098719,True,42.06516610,-79.73938300,457.07,12.50
0,139931074,True,42.06091750,-79.73488790,432.35,0.00
1,139931074,True,42.06073480,-79.73541450,435.78,4.09
2,139931074,True,42.06058305,-79.73585190,443.39,10.81
3,139931074,True,42.06043130,-79.73628930,458.69,21.00
4,139931074,True,42.06031570,-79.73662250,466.61,14.62
5,139931074,True,42.06020010,-79.73695570,474.36,14.32
6,139931074,True,42.06002440,-79.73744280,483.49,11.54
7,139931074,True,42.05984870,-79.73792990,491.81,10.54
8,139931074,True,42.05969400,-79.73837010,499.81,11.25
9,139931074,True,42.05953930,-79.73881030,508.73,12.51
10,139931074,True,42.05944230,-79.73908645,512.60,8.72
11,139931074,True,42.05934530,-79.73936260,515.76,7.14
12,139931074,True,42.05922250,-79.73971200,519.78,7.18
0,139931075,True,42.06685210,-79.73896900,437.40,0.00
1,139931075,True,42.06665010,-79.73927040,442.27,8.27
2,139931075,True,42.06649010,-79.73950920,444.32,4.41
3,139931075,True,42.06633010,-79.73974800,446.77,5.27
4,139931075,True,42.06604295,-79.74017650,453.96,8.58
5,139931075,True,42.06575580,-79.74060500,464.99,13.03
6,139931075,True,42.06546865,-79.74103350,477.22,14.39
7,139931075,True,42.06518150,-79.74146200,485.48,9.83
8,139931075,True,42.06494325,-79.74181752,490.42,7.12
9,139931075,True,42.06470500,-79.74217305,496.37,8.56
10,139931075,True,42.06446675,-79.74252857,503.61,10.38
11,139931075,True,42.06422850,-79.74288410,510.34,9.66
12,139931075,True,42.06402852,-79.74318250,514.65,7.40
13,139931075,True,42.06382855,-79.74348090,520.29,9.65
14,139931075,True,42.06362857,-79.74377930,526.34,10.33
15,139931075,True,42.06342860,-79.74407770,530.69,7.47
16,139931075,True,42.06314050,-79.74450760,536.98,7.50
0,256601335,True,42.06837770,-79.74065230,436.24,0.00
1,256601335,True,42.06822360,-79.74093460,439.55,6.53
2,256601335,True,42.06806950,-79.74121690,443.58,7.93
3,256601335,True,42.06791545,-79.74149925,449.60,11.76
4,256601335,True,42.06776140,-79.74178160,455.36,11.26
5,256601335,True,42.06760425,-79.74206950,462.24,13.13
6,256601335,True,42.06744710,-79.74235740,469.41,13.66
7,256601335,True,42.06728995,-79.74264530,476.58,13.66
8,256601335,True,42.06713280,-79.74293320,481.81,10.05
9,256601335,True,42.06693910,-79.74328815,486.61,7.52
10,256601335,True,42.06674540,-79.74364310,492.90,9.81
11,256601335,True,42.06651300,-79.74406890,496.69,4.97
12,256601335,True,42.06628060,-79.74449470,504.12,9.67
13,256601335,True,42.06607480,-79.74487180,510.94,10.01
14,256601335,True,42.06586900,-79.74524890,516.87,8.73
15,256601335,True,42.06570865,-79.74554265,521.27,8.32
16,256601335,True,42.06554830,-79.74583640,525.62,8.22
17,256601335,True,42.06537980,-79.74614510,530.41,8.61
0,256601646,True,42.06632310,-79.73783150,433.24,0.00
1,256601646,True,42.06621340,-79.73810312,434.82,3.54
2,256601646,True,42.06610370,-79.73837475,437.44,5.86
3,256601646,True,42.06599400,-79.73864638,440.66,7.19
4,256601646,True,42.06588430,-79.73891800,444.91,9.45
0,256601647,True,42.06546250,-79.73726750,432.67,0.00
1,256601647,True,42.06536790,-79.73782340,436.44,4.58
2,256601647,True,42.06530300,-79.73820510,440.22,6.67
3,256601647,True,42.06523810,-79.73858680,445.02,8.45
4,256601647,True,42.06517750,-79.73894280,450.13,9.62
0,256602110,True,42.06510580,-79.73705320,432.92,0.00
1,256602110,True,42.06504690,-79.73727680,434.24,3.86
0,256602111,True,42.06372470,-79.73654570,430.87,0.00
1,256602111,True,42.06361285,-79.73683710,432.73,3.93
2,256602111,True,42.06350100,-79.73712850,435.24,5.30
3,256602111,True,42.06334100,-79.73754555,439.08,5.66
4,256602111,True,42.06318100,-79.73796260,448.73,13.98
5,256602111,True,42.06307110,-79.73824898,458.11,19.42
6,256602111,True,42.06296120,-79.73853535,466.52,17.54
7,256602111,True,42.06285130,-79.73882173,474.32,16.34
8,256602111,True,42.06274140,-79.73910810,480.53,13.13
9,256602111,True,42.06258810,-79.73950755,486.69,9.42
10,256602111,True,42.06243480,-79.73990700,493.30,10.10
11,256602111,True,42.06226945,-79.74033795,497.51,6.00
12,256602111,True,42.06210410,-79.74076890,500.64,4.47
13,256602111,True,42.06192935,-79.74122430,505.09,6.00
14,256602111,True,42.06175460,-79.74167970,515.47,13.78
15,256602111,True,42.06156100,-79.74218400,525.42,11.99
16,256602111,True,42.06141730,-79.74255850,531.40,9.75
