,lift_id,for_display,lat,lon,elevation,slope
0,153641293,True,40.10941860,-76.92975590,282.83,0.00
1,153641293,True,40.10898140,-76.92980460,285.34,2.94
2,153641293,True,40.10863835,-76.92984275,290.53,7.72
3,153641293,True,40.10829530,-76.92988090,296.88,9.42
4,153641293,True,40.10794655,-76.92991975,302.72,8.53
5,153641293,True,40.10759780,-76.92995860,308.44,8.36
6,153641293,True,40.10723070,-76.92999945,315.66,10.00
7,153641293,True,40.10686360,-76.93004030,322.41,9.36
8,153641293,True,40.10657100,-76.93007285,330.28,13.55
9,153641293,True,40.10627840,-76.93010540,337.46,12.40
10,153641293,True,40.10613050,-76.93012190,341.46,13.62
0,153641294,True,40.10787380,-76.92194660,245.58,0.00
1,153641294,True,40.10767880,-76.92217450,246.51,1.83
2,153641294,True,40.10748380,-76.92240240,249.79,6.43
3,153641294,True,40.10717070,-76.92276820,262.13,14.80
4,153641294,True,40.10687640,-76.92311210,274.88,16.20
5,153641294,True,40.10669835,-76.92332015,284.19,19.32
6,153641294,True,40.10652030,-76.92352820,293.89,20.07
7,153641294,True,40.10629165,-76.92379540,303.19,15.25
8,153641294,True,40.10606300,-76.92406260,312.51,15.29
9,153641294,True,40.10582235,-76.92434375,323.27,16.69
10,153641294,True,40.10558170,-76.92462490,334.47,17.33
11,153641294,True,40.10529270,-76.92496260,347.91,17.32
12,153641294,True,40.10500370,-76.92530030,367.57,24.52
13,153641294,True,40.10476490,-76.92557940,378.20,16.62
0,153641297,True,40.10709840,-76.92089900,234.69,0.00
1,153641297,True,40.10683500,-76.92121310,240.90,8.90
2,153641297,True,40.10664460,-76.92144015,245.98,10.05
3,153641297,True,40.10645420,-76.92166720,251.26,10.44
4,153641297,True,40.10624645,-76.92191490,257.52,11.32
5,153641297,True,40.10603870,-76.92216260,266.58,16.16
6,153641297,True,40.10578905,-76.92246030,278.22,17.21
7,153641297,True,40.10553940,-76.92275800,291.65,19.67
8,153641297,True,40.10529420,-76.92305035,303.46,17.75
9,153641297,True,40.10504900,-76.92334270,317.88,21.34
10,153641297,True,40.10480635,-76.92363205,327.91,15.36
11,153641297,True,40.10456370,-76.92392140,338.29,15.87
12,153641297,True,40.10434585,-76.92418120,345.20,11.90
13,153641297,True,40.10412800,-76.92444100,354.95,16.56
14,153641297,True,40.10381695,-76.92481190,370.82,18.73
15,153641297,True,40.10350590,-76.92518280,397.90,30.05
16,153641297,True,40.10325950,-76.92547660,410.23,18.39
0,153641300,True,40.10957350,-76.92658970,272.69,0.00
1,153641300,True,40.10931240,-76.92659755,273.50,1.60
2,153641300,True,40.10905130,-76.92660540,275.91,4.74
3,153641300,True,40.10871260,-76.92661555,281.72,8.77
4,153641300,True,40.10837390,-76.92662570,288.45,10.13
5,153641300,True,40.10802475,-76.92663615,295.85,10.79
6,153641300,True,40.10767560,-76.92664660,304.22,12.16
7,153641300,True,40.10730945,-76.92665760,315.29,15.21
8,153641300,True,40.10694330,-76.92666860,324.14,12.26
9,153641300,True,40.10664865,-76.92667745,332.62,14.51
10,153641300,True,40.10635400,-76.92668630,341.26,14.77
11,153641300,True,40.10594890,-76.92669845,349.66,10.56
12,153641300,True,40.10554380,-76.92671060,360.76,13.84
13,153641300,True,40.10511750,-76.92672340,372.53,13.94
14,153641300,True,40.10469120,-76.92673620,388.86,19.00
15,153641300,True,40.10431820,-76.92674740,403.26,19.14
16,153641300,True,40.10413020,-76.92675300,408.96,15.25
0,153641302,True,40.10886260,-76.92812420,286.73,0.00
1,153641302,True,40.10846460,-76.92821620,293.87,9.03
2,153641302,True,40.10813505,-76.92829235,298.92,7.73
3,153641302,True,40.10780550,-76.92836850,306.40,11.37
4,153641302,True,40.10756592,-76.92842388,311.15,9.96
5,153641302,True,40.10732635,-76.92847925,316.22,10.62
6,153641302,True,40.10708677,-76.92853462,321.03,10.08
7,153641302,True,40.10684720,-76.92859000,326.61,11.65
8,153641302,True,40.10645180,-76.92868140,336.34,12.29
9,153641302,True,40.10605640,-76.92877280,347.06,13.50
10,153641302,True,40.10589620,-76.92880980,352.17,15.77
0,256717306,True,40.10853400,-76.92198970,247.74,0.00
1,256717306,True,40.10851532,-76.92253547,250.69,3.63
2,256717306,True,40.10849665,-76.92308125,254.82,5.08
3,256717306,True,40.10847797,-76.92362703,261.59,8.29
4,256717306,True,40.10845930,-76.92417280,268.62,8.60
0,256717307,True,40.10891020,-76.92694550,282.82,0.00
1,256717307,True,40.10865678,-76.92700140,285.67,5.70
2,256717307,True,40.10840335,-76.92705730,290.70,9.98
3,256717307,True,40.10814993,-76.92711320,295.88,10.27
4,256717307,True,40.10789650,-76.92716910,301.01,10.18
0,256717308,True,40.10889150,-76.92822610,287.85,0.00
1,256717308,True,40.10849350,-76.92827890,293.77,7.58
0,256717309,True,40.10948230,-76.92936440,283.55,0.00
1,256717309,True,40.10923045,-76.92931360,285.25,3.43
2,256717309,True,40.10897860,-76.92926280,287.88,5.30
