lift_id,for_display,lat,lon,elevation,slope,index
183043544,True,44.94090040,-70.51431720,925.14,0.00,0
183043544,True,44.94054800,-70.51401520,936.29,13.67,1
183043544,True,44.94029425,-70.51379770,945.88,16.20,2
183043544,True,44.94004050,-70.51358020,959.14,21.89,3
183043544,True,44.93974570,-70.51332755,974.30,21.57,4
183043544,True,44.93945090,-70.51307490,988.05,19.73,5
183043544,True,44.93913170,-70.51280135,1001.67,18.16,6
183043544,True,44.93881250,-70.51252780,1017.48,20.85,7
183043544,True,44.93853910,-70.51229350,1029.77,19.07,8
183043544,True,44.93826570,-70.51205920,1042.44,19.61,9
183043544,True,44.93803180,-70.51185870,1055.86,23.80,10
183043544,True,44.93779790,-70.51165820,1069.14,23.58,11
183043544,True,44.93750445,-70.51140675,1086.85,24.89,12
183043544,True,44.93721100,-70.51115530,1102.17,21.87,13
183043544,True,44.93700343,-70.51097740,1112.18,20.34,14
183043544,True,44.93679585,-70.51079950,1122.58,21.07,15
183043544,True,44.93658827,-70.51062160,1134.76,24.28,16
183043544,True,44.93638070,-70.51044370,1147.18,24.71,17
183043544,True,44.93603900,-70.51015090,1167.90,25.00,18
183043544,True,44.93569730,-70.50985810,1187.73,24.05,19
183043544,True,44.93535565,-70.50956530,1203.30,19.31,20
183043544,True,44.93501400,-70.50927250,1218.43,18.80,21
183043547,True,44.95230600,-70.53188700,653.12,0.00,0
183043547,True,44.95196060,-70.53153990,657.96,5.86,1
183043547,True,44.95163185,-70.53120965,662.06,5.22,2
183043547,True,44.95130310,-70.53087940,666.52,5.68,3
183043547,True,44.95094555,-70.53052020,671.22,5.50,4
183043547,True,44.95058800,-70.53016100,676.20,5.83,5
183043547,True,44.95040210,-70.52997423,678.92,6.12,6
183043547,True,44.95021620,-70.52978745,681.84,6.57,7
183043547,True,44.95003030,-70.52960067,684.90,6.88,8
183043547,True,44.94984440,-70.52941390,687.75,6.41,9
183043547,True,44.94965150,-70.52922010,691.03,7.10,10
183043547,True,44.94945860,-70.52902630,694.31,7.10,11
183043547,True,44.94926570,-70.52883250,697.41,6.72,12
183043547,True,44.94907280,-70.52863870,700.58,6.87,13
183043547,True,44.94887743,-70.52844243,704.03,7.37,14
183043547,True,44.94868205,-70.52824615,707.72,7.88,15
183043547,True,44.94848667,-70.52804987,711.17,7.37,16
183043547,True,44.94829130,-70.52785360,714.50,7.12,17
183043547,True,44.94809330,-70.52765468,718.29,7.99,18
183043547,True,44.94789530,-70.52745575,721.96,7.74,19
183043547,True,44.94769730,-70.52725682,725.61,7.69,20
183043547,True,44.94749930,-70.52705790,728.85,6.84,21
183043547,True,44.94728780,-70.52684543,732.67,7.54,22
183043547,True,44.94707630,-70.52663295,736.17,6.92,23
183043547,True,44.94686480,-70.52642047,740.47,8.48,24
183043547,True,44.94665330,-70.52620800,744.88,8.69,25
183043547,True,44.94642290,-70.52597655,749.19,7.81,26
183043547,True,44.94619250,-70.52574510,752.62,6.23,27
183043547,True,44.94601810,-70.52556990,756.97,10.36,28
838841697,True,44.94692870,-70.52610790,741.51,0.00,0
838841697,True,44.94674285,-70.52592315,743.54,4.59,1
838841697,True,44.94655700,-70.52573840,748.73,11.61,2
838841697,True,44.94636105,-70.52554360,752.57,8.20,3
838841697,True,44.94616510,-70.52534880,755.56,6.40,4
838841697,True,44.94589585,-70.52513365,759.67,6.81,5
838841697,True,44.94562660,-70.52491850,765.43,9.51,6
838841697,True,44.94531910,-70.52466000,771.13,8.15,7
838841697,True,44.94501160,-70.52440150,777.28,8.79,8
838841697,True,44.94479808,-70.52423533,781.14,8.10,9
838841697,True,44.94458455,-70.52406915,785.60,9.34,10
838841697,True,44.94437103,-70.52390297,789.97,9.16,11
838841697,True,44.94415750,-70.52373680,794.24,8.95,12
838841697,True,44.94395293,-70.52356175,798.24,8.55,13
838841697,True,44.94374835,-70.52338670,803.50,11.19,14
838841697,True,44.94354377,-70.52321165,807.76,9.10,15
838841697,True,44.94333920,-70.52303660,813.86,12.92,16
838841697,True,44.94300855,-70.52273245,821.30,9.62,17
838841697,True,44.94267790,-70.52242830,830.54,11.89,18
838841697,True,44.94244100,-70.52222330,835.96,9.95,19
838841697,True,44.94211965,-70.52194590,847.80,15.79,20
838841697,True,44.94179830,-70.52166850,862.92,19.85,21
838841697,True,44.94153195,-70.52144925,873.78,17.58,22
838841697,True,44.94126560,-70.52123000,884.40,17.21,23
838841697,True,44.94103668,-70.52104153,893.10,16.45,24
838841697,True,44.94080775,-70.52085305,901.79,16.43,25
838841697,True,44.94057883,-70.52066457,910.16,15.86,26
838841697,True,44.94034990,-70.52047610,919.95,18.38,27
838841697,True,44.93997610,-70.52016830,935.52,17.93,28
838841697,True,44.93977595,-70.52000350,948.48,26.71,29
838841697,True,44.93957580,-70.51983870,961.03,25.97,30
838841697,True,44.93931430,-70.51962350,973.83,20.83,31
838841697,True,44.93902605,-70.51938615,980.74,10.55,32
838841697,True,44.93873780,-70.51914880,989.57,13.39,33
838841697,True,44.93852175,-70.51897092,997.66,16.22,34
838841697,True,44.93830570,-70.51879305,1006.72,18.05,35
838841697,True,44.93808965,-70.51861518,1020.73,26.74,36
838841697,True,44.93787360,-70.51843730,1031.23,20.69,37
838841697,True,44.93763415,-70.51824020,1040.82,17.29,38
838841697,True,44.93739470,-70.51804310,1049.89,16.40,39
838841697,True,44.93719193,-70.51787615,1056.86,14.95,40
838841697,True,44.93698915,-70.51770920,1064.96,17.24,41
838841697,True,44.93678637,-70.51754225,1074.62,20.31,42
838841697,True,44.93658360,-70.51737530,1084.03,19.83,43
838841697,True,44.93634500,-70.51717890,1091.99,14.53,44
838841697,True,44.93610640,-70.51698250,1096.99,9.25,45
963216868,True,44.94249060,-70.52662220,807.59,0.00,0
963216868,True,44.94218255,-70.52627083,815.08,9.66,1
963216868,True,44.94187450,-70.52591946,824.90,12.57,2
963216868,True,44.94156645,-70.52556809,836.76,15.08,3
963216868,True,44.94125840,-70.52521673,849.74,16.43,4
963216868,True,44.94095035,-70.52486536,862.63,16.32,5
963216868,True,44.94064230,-70.52451399,875.75,16.59,6
963216868,True,44.94033425,-70.52416262,888.25,15.85,7
963216868,True,44.94002620,-70.52381125,900.80,15.91,8
963216868,True,44.93971815,-70.52345988,912.41,14.77,9
963216868,True,44.93941010,-70.52310851,924.91,15.85,10
963216868,True,44.93910205,-70.52275714,937.09,15.46,11
963216868,True,44.93879400,-70.52240577,951.97,18.67,12
963216868,True,44.93848595,-70.52205441,968.33,20.39,13
963216868,True,44.93817790,-70.52170304,984.44,20.10,14
963216868,True,44.93786985,-70.52135167,997.06,16.00,15
963216868,True,44.93756180,-70.52100030,1001.78,6.12,16
