,lift_id,for_display,lat,lon,elevation,slope
0,11388583,True,44.05898220,-70.81682870,165.80,0.00
1,11388583,True,44.05874580,-70.81729160,169.64,4.84
2,11388583,True,44.05856105,-70.81765330,172.89,5.24
3,11388583,True,44.05837630,-70.81801500,176.91,6.47
4,11388583,True,44.05819425,-70.81837140,183.20,10.21
5,11388583,True,44.05801220,-70.81872780,187.32,6.72
6,11388583,True,44.05779780,-70.81914750,194.41,9.78
7,11388583,True,44.05758340,-70.81956720,201.38,9.61
8,11388583,True,44.05733850,-70.82004670,210.79,11.32
0,11388584,True,44.05876410,-70.81637530,166.33,0.00
1,11388584,True,44.05844560,-70.81653460,170.94,6.98
2,11388584,True,44.05822725,-70.81664380,173.84,6.41
3,11388584,True,44.05800890,-70.81675300,177.97,9.09
4,11388584,True,44.05765240,-70.81693125,185.79,10.52
5,11388584,True,44.05729590,-70.81710950,199.84,18.45
6,11388584,True,44.05700800,-70.81725345,209.40,15.70
7,11388584,True,44.05672010,-70.81739740,218.14,14.41
8,11388584,True,44.05640615,-70.81755440,227.95,14.81
9,11388584,True,44.05609220,-70.81771140,238.09,15.29
10,11388584,True,44.05580220,-70.81785645,247.74,15.73
11,11388584,True,44.05551220,-70.81800150,258.54,17.49
12,11388584,True,44.05525360,-70.81813080,268.00,17.20
13,11388584,True,44.05499500,-70.81826010,276.87,16.19
14,11388584,True,44.05467915,-70.81841805,286.56,14.56
15,11388584,True,44.05436330,-70.81857600,297.02,15.66
16,11388584,True,44.05407375,-70.81872075,304.79,12.80
17,11388584,True,44.05378420,-70.81886550,314.52,15.88
18,11388584,True,44.05339690,-70.81905920,325.24,13.18
19,11388584,True,44.05315905,-70.81917815,330.87,11.33
20,11388584,True,44.05292120,-70.81929710,339.77,17.57
0,11388586,True,44.05793580,-70.81471340,164.88,0.00
1,11388586,True,44.05769175,-70.81485747,170.97,11.67
2,11388586,True,44.05744770,-70.81500155,178.42,14.18
3,11388586,True,44.05720365,-70.81514562,185.13,12.82
4,11388586,True,44.05695960,-70.81528970,192.68,14.37
5,11388586,True,44.05661505,-70.81549310,203.06,14.00
6,11388586,True,44.05627050,-70.81569650,215.56,16.72
7,11388586,True,44.05604955,-70.81582692,223.25,16.07
8,11388586,True,44.05582860,-70.81595735,230.27,14.74
9,11388586,True,44.05560765,-70.81608777,237.69,15.54
10,11388586,True,44.05538670,-70.81621820,245.23,15.78
11,11388586,True,44.05516615,-70.81634837,253.00,16.26
12,11388586,True,44.05494560,-70.81647855,261.94,18.55
13,11388586,True,44.05472505,-70.81660873,269.86,16.56
14,11388586,True,44.05450450,-70.81673890,278.71,18.38
15,11388586,True,44.05421015,-70.81691265,291.11,19.23
16,11388586,True,44.05391580,-70.81708640,304.31,20.37
17,11388586,True,44.05362145,-70.81726015,318.99,22.44
18,11388586,True,44.05332710,-70.81743390,330.12,17.38
19,11388586,True,44.05310873,-70.81756280,338.61,17.84
20,11388586,True,44.05289035,-70.81769170,345.69,15.02
21,11388586,True,44.05267197,-70.81782060,354.82,19.09
22,11388586,True,44.05245360,-70.81794950,364.08,19.34
23,11388586,True,44.05211960,-70.81814665,375.86,16.28
24,11388586,True,44.05178560,-70.81834380,388.92,17.94
25,11388586,True,44.05151995,-70.81850065,400.25,19.45
26,11388586,True,44.05125430,-70.81865750,414.61,24.11
27,11388586,True,44.05119990,-70.81868960,416.54,16.37
28,11388586,True,44.05113730,-70.81872650,418.60,15.24
29,11388586,True,44.05107480,-70.81876340,419.64,7.84
30,11388586,True,44.05072560,-70.81897010,422.96,4.50
31,11388586,True,44.05051205,-70.81909655,428.99,13.15
32,11388586,True,44.05029850,-70.81922300,435.85,14.89
33,11388586,True,44.05008495,-70.81934945,446.07,21.60
34,11388586,True,44.04987140,-70.81947590,452.72,14.45
35,11388586,True,44.04964857,-70.81960782,461.79,18.62
36,11388586,True,44.04942575,-70.81973975,468.36,13.71
37,11388586,True,44.04920293,-70.81987168,479.93,23.25
38,11388586,True,44.04898010,-70.82000360,489.98,20.47
39,11388586,True,44.04868945,-70.82017570,500.37,16.48
40,11388586,True,44.04839880,-70.82034780,511.25,17.21
41,11388586,True,44.04814560,-70.82049770,523.35,21.58
42,11388586,True,44.04789240,-70.82064760,530.07,12.39
43,11388586,True,44.04776300,-70.82072420,534.29,15.10
44,11388586,True,44.04752590,-70.82086460,536.70,4.81
0,11388587,True,44.04718650,-70.82109330,538.84,0.00
1,11388587,True,44.04722440,-70.82071700,533.95,-9.15
2,11388587,True,44.04726340,-70.82033060,527.88,-11.01
3,11388587,True,44.04733970,-70.81972730,515.80,-13.86
4,11388587,True,44.04741600,-70.81912400,506.89,-10.31
5,11388587,True,44.04744960,-70.81884950,500.52,-15.97
6,11388587,True,44.04751105,-70.81834735,486.33,-19.22
7,11388587,True,44.04757250,-70.81784520,474.01,-16.84
8,11388587,True,44.04762245,-70.81743690,460.17,-22.69
9,11388587,True,44.04767240,-70.81702860,445.95,-23.25
10,11388587,True,44.04771480,-70.81668180,432.80,-25.07
11,11388587,True,44.04775720,-70.81633500,420.56,-23.53
12,11388587,True,44.04782010,-70.81582090,402.81,-23.07
13,11388587,True,44.04788300,-70.81530680,386.53,-21.34
14,11388587,True,44.04793260,-70.81490130,372.05,-23.77
15,11388587,True,44.04798220,-70.81449580,356.90,-24.74
16,11388587,True,44.04803180,-70.81409035,341.75,-24.74
17,11388587,True,44.04808140,-70.81368490,327.13,-23.98
18,11388587,True,44.04814940,-70.81312910,308.83,-22.10
19,11388587,True,44.04815880,-70.81305190,306.70,-18.80
20,11388587,True,44.04820015,-70.81271410,297.99,-17.64
21,11388587,True,44.04824150,-70.81237630,289.19,-17.81
22,11388587,True,44.04829570,-70.81193325,277.54,-17.97
23,11388587,True,44.04834990,-70.81149020,266.87,-16.54
24,11388587,True,44.04841800,-70.81093335,250.51,-19.92
25,11388587,True,44.04848610,-70.81037650,237.95,-15.55
26,11388587,True,44.04852805,-70.81003375,231.15,-13.75
27,11388587,True,44.04857000,-70.80969100,222.58,-17.14
28,11388587,True,44.04862570,-70.80923565,210.93,-17.51
29,11388587,True,44.04868140,-70.80878030,199.63,-17.02
30,11388587,True,44.04874525,-70.80825820,187.22,-16.34
31,11388587,True,44.04880910,-70.80773610,179.53,-10.30
32,11388587,True,44.04887295,-70.80721400,172.05,-10.02
33,11388587,True,44.04893680,-70.80669190,164.42,-10.22
34,11388587,True,44.04898065,-70.80633360,159.69,-9.25
35,11388587,True,44.04902450,-70.80597530,158.43,-2.48
0,199805875,True,44.05881440,-70.81624040,166.07,0.00
1,199805875,True,44.05855615,-70.81638795,168.76,4.95
2,199805875,True,44.05829790,-70.81653550,172.60,7.05
