lift_id,for_display,lat,lon,elevation,slope,index
38798940,True,38.80087930,-120.07923200,2213.21,0.00,0
38798940,True,38.80075880,-120.07884990,2215.06,2.96,1
38798940,True,38.80063785,-120.07846640,2216.56,2.40,2
38798940,True,38.80051690,-120.07808290,2217.10,0.86,3
38798940,True,38.80037580,-120.07763550,2223.53,8.74,4
38798940,True,38.80023470,-120.07718810,2241.79,23.59,5
38798940,True,38.80011540,-120.07680980,2255.54,21.25,6
38798940,True,38.79999610,-120.07643150,2271.97,24.92,7
38798940,True,38.79989785,-120.07611995,2287.69,28.36,8
38798940,True,38.79979960,-120.07580840,2297.99,19.48,9
38798940,True,38.79969280,-120.07546970,2307.56,16.82,10
38798940,True,38.79958600,-120.07513100,2318.06,18.35,11
38798940,True,38.79944325,-120.07467830,2322.87,6.48,12
38798940,True,38.79930050,-120.07422560,2328.22,7.20,13
38798940,True,38.79917230,-120.07381915,2336.12,11.74,14
38798940,True,38.79904410,-120.07341270,2345.60,14.01,15
38798940,True,38.79888935,-120.07292195,2359.24,16.56,16
38798940,True,38.79873460,-120.07243120,2373.81,17.62,17
38798940,True,38.79859170,-120.07197820,2389.94,20.85,18
38798940,True,38.79844880,-120.07152520,2399.94,13.29,19
38798940,True,38.79834892,-120.07120842,2406.78,13.01,20
38798940,True,38.79824905,-120.07089165,2416.18,17.61,21
38798940,True,38.79814918,-120.07057488,2426.14,18.59,22
38798940,True,38.79804930,-120.07025810,2439.16,23.73,23
38798940,True,38.79795405,-120.06995615,2451.41,23.46,24
38798940,True,38.79785880,-120.06965420,2462.18,20.88,25
38798940,True,38.79774145,-120.06928205,2477.50,23.77,26
38798940,True,38.79762410,-120.06890990,2493.73,25.01,27
38798940,True,38.79746315,-120.06839955,2509.83,18.65,28
38798940,True,38.79730220,-120.06788920,2523.22,15.68,29
38798940,True,38.79721200,-120.06760330,2530.35,14.94,30
38798940,True,38.79712180,-120.06731740,2537.53,15.04,31
38798940,True,38.79702303,-120.06700417,2543.40,11.34,32
38798940,True,38.79692425,-120.06669095,2548.80,10.45,33
38798940,True,38.79682548,-120.06637772,2561.05,22.70,34
38798940,True,38.79672670,-120.06606450,2579.13,31.69,35
38798940,True,38.79658310,-120.06560915,2607.07,33.28,36
38798940,True,38.79643950,-120.06515380,2631.11,29.45,37
38798940,True,38.79633485,-120.06482200,2646.07,25.75,38
38798940,True,38.79623020,-120.06449020,2664.51,30.73,39
38798940,True,38.79608320,-120.06402410,2685.04,25.23,40
38798940,True,38.79601900,-120.06382050,2689.52,13.24,41
38798940,True,38.79585650,-120.06330510,2696.34,8.06,42
38798940,True,38.79573310,-120.06291400,2697.48,1.79,43
38798941,True,38.80058460,-120.07902500,2216.26,0.00,0
38798941,True,38.80043880,-120.07857650,2218.25,2.71,1
38798941,True,38.80033340,-120.07825230,2219.47,2.30,2
38798941,True,38.80022800,-120.07792810,2220.84,2.58,3
38798941,True,38.80012435,-120.07760920,2229.02,15.28,4
38798941,True,38.80002070,-120.07729030,2238.79,18.07,5
38798941,True,38.79990755,-120.07694235,2251.38,21.07,6
38798941,True,38.79979440,-120.07659440,2267.34,26.03,7
38798941,True,38.79964115,-120.07612285,2291.06,28.18,8
38798941,True,38.79948790,-120.07565130,2306.03,18.68,9
