,lift_id,for_display,lat,lon,elevation,slope
0,143792868,True,42.30167070,-71.68215960,107.25,0.00
1,143792868,True,42.30128913,-71.68199623,112.97,7.32
2,143792868,True,42.30090755,-71.68183285,119.49,8.33
3,143792868,True,42.30052597,-71.68166948,127.16,9.78
4,143792868,True,42.30014440,-71.68150610,134.89,9.85
5,143792868,True,42.29976283,-71.68134273,142.39,9.57
6,143792868,True,42.29938125,-71.68117935,149.53,9.11
7,143792868,True,42.29899967,-71.68101598,154.66,6.58
8,143792868,True,42.29861810,-71.68085260,160.83,7.89
0,143792869,True,42.30111880,-71.68285160,107.53,0.00
1,143792869,True,42.30075490,-71.68259000,112.34,5.99
2,143792869,True,42.30046790,-71.68238370,119.33,10.95
3,143792869,True,42.30018090,-71.68217740,126.35,10.99
4,143792869,True,42.29992565,-71.68199385,132.50,10.83
5,143792869,True,42.29967040,-71.68181030,138.94,11.33
6,143792869,True,42.29942010,-71.68163040,144.76,10.46
7,143792869,True,42.29916980,-71.68145050,151.08,11.34
8,143792869,True,42.29884320,-71.68121570,157.42,8.76
9,143792869,True,42.29860530,-71.68104470,160.05,5.02
0,208645239,True,42.30187170,-71.68134940,107.82,0.00
1,208645239,True,42.30153475,-71.68128555,113.03,7.84
2,208645239,True,42.30119780,-71.68122170,118.38,8.05
3,208645239,True,42.30086085,-71.68115785,124.57,9.29
4,208645239,True,42.30052390,-71.68109400,130.28,8.58
0,208645240,True,42.30213750,-71.68085480,106.06,0.00
1,208645240,True,42.30179398,-71.68071580,110.28,6.04
2,208645240,True,42.30145045,-71.68057680,114.84,6.52
3,208645240,True,42.30110692,-71.68043780,119.89,7.22
4,208645240,True,42.30076340,-71.68029880,125.43,7.91
0,255820276,True,42.30216690,-71.68072740,105.77,0.00
1,255820276,True,42.30182338,-71.68058973,110.13,6.25
2,255820276,True,42.30147985,-71.68045205,114.46,6.20
3,255820276,True,42.30113633,-71.68031437,119.15,6.71
4,255820276,True,42.30079280,-71.68017670,124.32,7.39
0,255820277,True,42.30181060,-71.68137620,108.41,0.00
1,255820277,True,42.30154915,-71.68132765,112.70,8.32
2,255820277,True,42.30128770,-71.68127910,117.00,8.34
