lift_id,for_display,lat,lon,elevation,slope,index
10124737,True,40.57777010,-111.66750280,2403.94,0.00,0
10124737,True,40.57745120,-111.66721960,2406.25,3.09,1
10124737,True,40.57711720,-111.66692300,2420.92,18.13,2
10124737,True,40.57685490,-111.66669005,2431.12,16.17,3
10124737,True,40.57659260,-111.66645710,2441.62,16.62,4
10124737,True,40.57627100,-111.66617150,2456.83,19.42,5
10124737,True,40.57594940,-111.66588590,2473.30,20.90,6
10124737,True,40.57566200,-111.66563070,2489.95,23.36,7
10124737,True,40.57537460,-111.66537550,2511.50,29.21,8
10124737,True,40.57501680,-111.66505770,2526.95,17.84,9
10124737,True,40.57472025,-111.66479435,2533.51,9.37,10
10124737,True,40.57442370,-111.66453100,2541.54,11.41,11
10124737,True,40.57408880,-111.66423360,2546.26,6.00,12
10124737,True,40.57387085,-111.66404005,2546.61,0.69,13
10124737,True,40.57365290,-111.66384650,2546.63,0.04,14
10124737,True,40.57343495,-111.66365295,2548.30,3.27,15
10124737,True,40.57321700,-111.66345940,2550.13,3.58,16
10124737,True,40.57286305,-111.66314510,2554.52,5.28,17
10124737,True,40.57250910,-111.66283080,2565.04,12.49,18
10124737,True,40.57228750,-111.66263385,2571.74,12.70,19
10124737,True,40.57206590,-111.66243690,2580.93,17.18,20
10124737,True,40.57184430,-111.66223995,2593.84,23.47,21
10124737,True,40.57162270,-111.66204300,2606.67,23.34,22
10124737,True,40.57155390,-111.66198260,2609.86,19.13,23
10124737,True,40.57143770,-111.66187940,2615.72,20.60,24
10124737,True,40.57121940,-111.66168520,2634.48,32.63,25
10124737,True,40.57102300,-111.66151090,2653.44,35.75,26
10124737,True,40.57082660,-111.66133660,2671.63,34.63,27
10124737,True,40.57063020,-111.66116230,2692.47,38.35,28
10124737,True,40.57043380,-111.66098800,2720.96,47.25,29
10124737,True,40.57032510,-111.66089150,2728.08,26.03,30
10124737,True,40.56995880,-111.66056620,2751.86,25.83,31
10124737,True,40.56961580,-111.66026160,2767.56,18.84,32
10124737,True,40.56941790,-111.66008585,2773.51,12.63,33
10124737,True,40.56922000,-111.65991010,2778.27,10.17,34
10124737,True,40.56898035,-111.65969735,2783.33,8.95,35
10124737,True,40.56874070,-111.65948460,2785.21,3.35,36
10124737,True,40.56847190,-111.65924592,2784.43,-1.24,37
10124737,True,40.56820310,-111.65900725,2785.08,1.03,38
10124737,True,40.56793430,-111.65876858,2789.19,6.50,39
10124737,True,40.56766550,-111.65852990,2796.17,10.96,40
10124737,True,40.56739412,-111.65828892,2799.04,4.51,41
10124737,True,40.56712275,-111.65804795,2802.11,4.82,42
10124737,True,40.56685137,-111.65780697,2807.94,9.10,43
10124737,True,40.56658000,-111.65756600,2816.42,13.11,44
10124737,True,40.56636775,-111.65737755,2831.80,28.38,45
10124737,True,40.56615550,-111.65718910,2849.42,31.76,46
10124737,True,40.56590238,-111.65696435,2857.71,13.72,47
10124737,True,40.56564925,-111.65673960,2868.35,17.40,48
10124737,True,40.56539612,-111.65651485,2884.54,25.49,49
10124737,True,40.56514300,-111.65629010,2906.12,32.44,50
10124737,True,40.56486075,-111.65603950,2916.06,14.71,51
