,lift_id,for_display,lat,lon,elevation,slope
0,17117578,True,39.20698340,-106.98096980,2513.49,0.00
1,17117578,True,39.20660080,-106.98080910,2518.54,6.44
2,17117578,True,39.20621162,-106.98064650,2524.60,7.59
3,17117578,True,39.20582245,-106.98048390,2543.94,23.03
4,17117578,True,39.20543328,-106.98032130,2568.79,28.65
5,17117578,True,39.20504410,-106.98015870,2594.10,29.09
6,17117578,True,39.20461660,-106.97998010,2609.66,17.30
7,17117578,True,39.20418910,-106.97980150,2629.33,21.49
8,17117578,True,39.20397040,-106.97971012,2636.22,15.09
9,17117578,True,39.20375170,-106.97961875,2644.98,18.92
10,17117578,True,39.20353300,-106.97952738,2654.88,21.17
11,17117578,True,39.20331430,-106.97943600,2664.08,19.79
12,17117578,True,39.20296265,-106.97928910,2678.02,18.74
13,17117578,True,39.20261100,-106.97914220,2692.02,18.81
14,17117578,True,39.20231255,-106.97901752,2697.12,8.32
15,17117578,True,39.20201410,-106.97889285,2706.03,14.33
16,17117578,True,39.20171565,-106.97876817,2718.20,19.23
17,17117578,True,39.20141720,-106.97864350,2732.59,22.42
18,17117578,True,39.20116575,-106.97853845,2746.88,25.93
19,17117578,True,39.20091430,-106.97843340,2762.70,28.29
20,17117578,True,39.20066285,-106.97832835,2774.53,21.93
21,17117578,True,39.20041140,-106.97822330,2792.64,31.64
22,17117578,True,39.20004480,-106.97807010,2811.75,24.04
23,17117578,True,39.19967820,-106.97791690,2824.47,16.53
24,17117578,True,39.19936290,-106.97778520,2836.21,17.67
25,17117578,True,39.19904760,-106.97765350,2847.57,17.13
26,17117578,True,39.19878862,-106.97754530,2856.20,15.91
27,17117578,True,39.19852965,-106.97743710,2864.90,16.04
28,17117578,True,39.19827068,-106.97732890,2873.02,15.02
29,17117578,True,39.19801170,-106.97722070,2880.70,14.24
30,17117578,True,39.19763390,-106.97706290,2890.42,12.41
31,17117578,True,39.19725610,-106.97690510,2901.27,13.81
32,17117578,True,39.19696713,-106.97678437,2909.85,14.25
33,17117578,True,39.19667815,-106.97666365,2918.01,13.58
34,17117578,True,39.19638917,-106.97654293,2923.33,8.95
35,17117578,True,39.19610020,-106.97642220,2928.67,8.98
36,17117578,True,39.19572610,-106.97626590,2936.65,10.34
37,17117578,True,39.19536250,-106.97611470,2949.20,16.46
0,17117775,True,39.18966160,-106.96199730,3006.28,0.00
1,17117775,True,39.18936555,-106.96212965,3010.48,6.87
2,17117775,True,39.18906950,-106.96226200,3014.04,5.83
3,17117775,True,39.18867100,-106.96244035,3019.10,6.16
4,17117775,True,39.18827250,-106.96261870,3025.03,7.21
5,17117775,True,39.18803160,-106.96272650,3026.72,3.41
6,17117775,True,39.18779070,-106.96283430,3028.24,3.07
7,17117775,True,39.18739680,-106.96301060,3035.69,9.13
8,17117775,True,39.18716360,-106.96311495,3043.33,15.56
9,17117775,True,39.18693040,-106.96321930,3055.27,23.51
10,17117775,True,39.18669112,-106.96332640,3065.98,20.82
11,17117775,True,39.18645185,-106.96343350,3074.25,16.37
12,17117775,True,39.18621257,-106.96354060,3087.05,24.44
13,17117775,True,39.18597330,-106.96364770,3098.42,21.99
14,17117775,True,39.18555260,-106.96383595,3112.95,16.35
15,17117775,True,39.18513190,-106.96402420,3130.67,19.69
16,17117775,True,39.18491695,-106.96412040,3139.07,18.37
17,17117775,True,39.18470200,-106.96421660,3149.93,23.23
