,lift_id,for_display,lat,lon,elevation,slope
0,58996544,True,43.67033350,-114.36795410,1754.86,0.00
1,58996544,True,43.67017870,-114.36836115,1757.64,4.30
2,58996544,True,43.67002390,-114.36876820,1764.13,9.95
3,58996544,True,43.66990300,-114.36908620,1771.06,13.49
4,58996544,True,43.66978210,-114.36940420,1780.38,17.88
5,58996544,True,43.66966992,-114.36969919,1791.34,22.24
6,58996544,True,43.66955775,-114.36999418,1799.00,15.95
7,58996544,True,43.66944557,-114.37028916,1800.71,3.65
8,58996544,True,43.66933340,-114.37058415,1802.27,3.33
9,58996544,True,43.66922123,-114.37087914,1807.81,11.68
10,58996544,True,43.66910905,-114.37117412,1819.52,23.60
11,58996544,True,43.66899688,-114.37146911,1832.82,26.39
12,58996544,True,43.66888470,-114.37176410,1845.48,25.28
13,58996544,True,43.66869400,-114.37226555,1861.41,19.27
14,58996544,True,43.66850330,-114.37276700,1878.84,20.93
15,58996544,True,43.66831410,-114.37326465,1895.69,20.44
16,58996544,True,43.66812490,-114.37376230,1900.56,6.15
17,58996544,True,43.66799880,-114.37409390,1897.22,-6.33
18,58996544,True,43.66787270,-114.37442550,1891.51,-10.73
19,58996544,True,43.66774660,-114.37475710,1890.30,-2.30
20,58996544,True,43.66762050,-114.37508870,1902.47,21.99
21,58996544,True,43.66749440,-114.37542030,1921.52,32.30
22,58996544,True,43.66736830,-114.37575190,1940.63,32.38
23,58996544,True,43.66724220,-114.37608350,1955.86,26.81
24,58996544,True,43.66711610,-114.37641510,1968.30,22.43
25,58996544,True,43.66696575,-114.37681045,1979.54,17.37
26,58996544,True,43.66681540,-114.37720580,1986.16,10.44
27,58996544,True,43.66666830,-114.37759265,1998.41,19.21
28,58996544,True,43.66652120,-114.37797950,2017.59,28.62
29,58996544,True,43.66637410,-114.37836635,2038.48,30.72
30,58996544,True,43.66622700,-114.37875320,2057.43,28.33
31,58996544,True,43.66607845,-114.37914380,2075.93,27.53
32,58996544,True,43.66592990,-114.37953440,2095.57,28.96
33,58996544,True,43.66579832,-114.37988043,2112.42,28.19
34,58996544,True,43.66566675,-114.38022645,2128.33,26.84
35,58996544,True,43.66553518,-114.38057248,2144.16,26.72
36,58996544,True,43.66540360,-114.38091850,2157.02,22.24
37,58996544,True,43.66525262,-114.38131548,2170.29,20.20
38,58996544,True,43.66510165,-114.38171245,2181.49,17.25
39,58996544,True,43.66495068,-114.38210943,2192.68,17.23
40,58996544,True,43.66479970,-114.38250640,2202.64,15.43
41,58996544,True,43.66461797,-114.38298430,2207.46,6.33
42,58996544,True,43.66443625,-114.38346220,2218.60,14.39
43,58996544,True,43.66425453,-114.38394010,2240.71,26.98
44,58996544,True,43.66407280,-114.38441800,2253.89,16.88
45,58996544,True,43.66395941,-114.38471615,2253.78,-0.23
46,58996544,True,43.66384602,-114.38501430,2254.50,1.52
47,58996544,True,43.66373264,-114.38531245,2262.15,15.77
48,58996544,True,43.66361925,-114.38561060,2271.87,19.73
49,58996544,True,43.66350586,-114.38590875,2282.27,21.00
50,58996544,True,43.66339247,-114.38620690,2292.01,19.77
51,58996544,True,43.66327909,-114.38650505,2301.12,18.58
52,58996544,True,43.66316570,-114.38680320,2310.20,18.53
53,58996544,True,43.66305000,-114.38710740,2321.44,22.13
54,58996544,True,43.66293430,-114.38741160,2331.58,20.14
55,58996544,True,43.66277800,-114.38782270,2338.99,11.22
56,58996544,True,43.66267580,-114.38809140,2341.03,4.78
57,58996544,True,43.66250480,-114.38854140,2341.76,1.02
0,58996545,True,43.68360270,-114.40176200,1788.41,0.00
1,58996545,True,43.68326110,-114.40180760,1791.67,4.88
2,58996545,True,43.68291610,-114.40185355,1798.22,9.65
3,58996545,True,43.68257110,-114.40189950,1806.38,11.95
4,58996545,True,43.68233120,-114.40193150,1814.88,17.60
5,58996545,True,43.68209130,-114.40196350,1826.35,23.17
6,58996545,True,43.68185140,-114.40199550,1838.87,25.04
7,58996545,True,43.68161150,-114.40202750,1849.04,20.78
8,58996545,True,43.68132430,-114.40206580,1858.29,16.08
9,58996545,True,43.68103710,-114.40210410,1866.48,14.32
10,58996545,True,43.68079575,-114.40213625,1872.06,11.69
11,58996545,True,43.68055440,-114.40216840,1877.06,10.51
12,58996545,True,43.68032933,-114.40219842,1881.44,9.88
13,58996545,True,43.68010425,-114.40222845,1885.42,8.99
14,58996545,True,43.67987917,-114.40225847,1889.79,9.86
15,58996545,True,43.67965410,-114.40228850,1896.62,15.20
16,58996545,True,43.67922440,-114.40234575,1916.92,22.92
17,58996545,True,43.67879470,-114.40240300,1939.52,25.21
18,58996545,True,43.67851695,-114.40244005,1954.75,26.14
19,58996545,True,43.67823920,-114.40247710,1967.54,22.40
20,58996545,True,43.67783415,-114.40253110,1984.04,20.03
21,58996545,True,43.67742910,-114.40258510,2001.61,21.22
22,58996545,True,43.67715750,-114.40262132,2014.84,23.56
23,58996545,True,43.67688590,-114.40265755,2028.19,23.75
24,58996545,True,43.67661430,-114.40269378,2040.94,22.79
25,58996545,True,43.67634270,-114.40273000,2054.40,23.92
26,58996545,True,43.67610630,-114.40276150,2066.74,25.05
27,58996545,True,43.67586990,-114.40279300,2078.03,23.15
28,58996545,True,43.67563350,-114.40282450,2088.49,21.61
29,58996545,True,43.67539710,-114.40285600,2099.40,22.45
30,58996545,True,43.67513092,-114.40289150,2112.51,23.79
31,58996545,True,43.67486475,-114.40292700,2125.80,24.08
32,58996545,True,43.67459857,-114.40296250,2139.26,24.35
33,58996545,True,43.67433240,-114.40299800,2152.26,23.62
34,58996545,True,43.67389005,-114.40305695,2173.73,23.48
35,58996545,True,43.67344770,-114.40311590,2192.06,20.35
36,58996545,True,43.67306440,-114.40316700,2207.99,20.41
37,58996545,True,43.67272825,-114.40321180,2221.33,19.56
38,58996545,True,43.67239210,-114.40325660,2233.73,18.27
39,58996545,True,43.67205595,-114.40330140,2243.96,15.24
40,58996545,True,43.67171980,-114.40334620,2253.05,13.61
41,58996545,True,43.67139430,-114.40338960,2259.76,10.46
42,58996545,True,43.67106880,-114.40343300,2264.47,7.38
43,58996545,True,43.67074330,-114.40347640,2275.67,17.12
44,58996545,True,43.67041780,-114.40351980,2294.26,27.08
45,58996545,True,43.67009410,-114.40356295,2314.02,28.65
46,58996545,True,43.66977040,-114.40360610,2334.26,29.24
47,58996545,True,43.66944670,-114.40364925,2354.56,29.31
48,58996545,True,43.66912300,-114.40369240,2373.56,27.72
49,58996545,True,43.66887142,-114.40372595,2387.12,25.76
50,58996545,True,43.66861985,-114.40375950,2403.25,29.85
51,58996545,True,43.66836827,-114.40379305,2419.31,29.75
52,58996545,True,43.66811670,-114.40382660,2432.86,25.74
53,58996545,True,43.66787722,-114.40385850,2445.77,25.76
54,58996545,True,43.66763775,-114.40389040,2459.31,26.85
55,58996545,True,43.66739827,-114.40392230,2472.78,26.73
56,58996545,True,43.66715880,-114.40395420,2486.63,27.37
57,58996545,True,43.66689498,-114.40398938,2501.37,26.57
58,58996545,True,43.66663115,-114.40402455,2516.19,26.70
59,58996545,True,43.66636732,-114.40405972,2530.01,25.12
60,58996545,True,43.66610350,-114.40409490,2542.17,22.42
61,58996545,True,43.66585127,-114.40412853,2553.36,21.66
62,58996545,True,43.66559905,-114.40416215,2564.71,21.94
63,58996545,True,43.66534683,-114.40419578,2576.45,22.62
64,58996545,True,43.66509460,-114.40422940,2588.12,22.50
65,58996545,True,43.66482960,-114.40426473,2600.09,22.02
66,58996545,True,43.66456460,-114.40430005,2612.53,22.79
67,58996545,True,43.66429960,-114.40433538,2625.21,23.19
68,58996545,True,43.66403460,-114.40437070,2636.92,21.58
69,58996545,True,43.66378513,-114.40440395,2648.07,21.81
70,58996545,True,43.66353565,-114.40443720,2659.72,22.69
71,58996545,True,43.66328617,-114.40447045,2671.18,22.35
72,58996545,True,43.66303670,-114.40450370,2681.96,21.15
73,58996545,True,43.66264260,-114.40455625,2697.05,18.92
74,58996545,True,43.66224850,-114.40460880,2709.74,16.08
75,58996545,True,43.66188880,-114.40465670,2719.47,13.61
76,58996545,True,43.66152910,-114.40470460,2728.39,12.52
77,58996545,True,43.66125560,-114.40474105,2735.37,12.87
78,58996545,True,43.66098210,-114.40477750,2741.04,10.51
79,58996545,True,43.66069360,-114.40481660,2741.98,1.67
0,58996546,True,43.68300140,-114.40216940,1794.07,0.00
1,58996546,True,43.68274595,-114.40220370,1797.93,7.70
2,58996546,True,43.68249050,-114.40223800,1803.71,11.45
3,58996546,True,43.68211145,-114.40228915,1818.89,19.72
4,58996546,True,43.68173240,-114.40234030,1839.72,26.19
5,58996546,True,43.68141513,-114.40238313,1852.16,19.34
6,58996546,True,43.68109785,-114.40242595,1862.02,15.54
7,58996546,True,43.68078057,-114.40246878,1868.37,10.16
8,58996546,True,43.68046330,-114.40251160,1873.47,8.19
9,58996546,True,43.68022872,-114.40254327,1877.12,7.93
10,58996546,True,43.67999415,-114.40257495,1881.54,9.57
11,58996546,True,43.67975957,-114.40260663,1888.05,13.95
12,58996546,True,43.67952500,-114.40263830,1897.37,19.58
13,58996546,True,43.67913410,-114.40269105,1915.37,22.40
14,58996546,True,43.67874320,-114.40274380,1934.58,23.74
15,58996546,True,43.67844050,-114.40278465,1949.56,23.89
16,58996546,True,43.67813780,-114.40282550,1962.43,20.83
17,58996546,True,43.67790511,-114.40285691,1971.77,19.76
18,58996546,True,43.67767242,-114.40288833,1980.73,19.02
19,58996546,True,43.67743974,-114.40291974,1990.21,20.04
20,58996546,True,43.67720705,-114.40295115,2001.16,22.84
21,58996546,True,43.67697436,-114.40298256,2012.90,24.30
22,58996546,True,43.67674168,-114.40301397,2023.96,23.05
23,58996546,True,43.67650899,-114.40304539,2034.71,22.47
24,58996546,True,43.67627630,-114.40307680,2046.88,25.09
25,58996546,True,43.67603830,-114.40310892,2059.31,25.05
26,58996546,True,43.67580030,-114.40314105,2071.30,24.27
27,58996546,True,43.67556230,-114.40317317,2082.86,23.50
28,58996546,True,43.67532430,-114.40320530,2094.08,22.88
29,58996546,True,43.67505850,-114.40324118,2107.53,24.37
30,58996546,True,43.67479270,-114.40327705,2121.81,25.68
31,58996546,True,43.67452690,-114.40331292,2136.18,25.82
32,58996546,True,43.67426110,-114.40334880,2150.90,26.37
33,58996546,True,43.67400242,-114.40338370,2165.82,27.31
34,58996546,True,43.67374375,-114.40341860,2179.21,24.86
35,58996546,True,43.67348508,-114.40345350,2191.53,23.09
36,58996546,True,43.67322640,-114.40348840,2203.95,23.26
37,58996546,True,43.67287230,-114.40353635,2220.88,23.17
38,58996546,True,43.67251820,-114.40358430,2237.21,22.43
0,205816768,True,43.65418790,-114.39531290,2246.32,0.00
1,205816768,True,43.65384830,-114.39547620,2247.69,1.96
2,205816768,True,43.65346550,-114.39566125,2262.49,18.17
3,205816768,True,43.65308270,-114.39584630,2277.52,18.43
4,205816768,True,43.65273100,-114.39601633,2294.97,22.84
5,205816768,True,43.65237930,-114.39618635,2312.20,22.58
6,205816768,True,43.65202760,-114.39635637,2327.59,20.38
7,205816768,True,43.65167590,-114.39652640,2343.52,21.03
8,205816768,True,43.65125685,-114.39672895,2363.14,21.68
9,205816768,True,43.65083780,-114.39693150,2382.16,21.07
10,205816768,True,43.65061295,-114.39704020,2392.04,20.46
11,205816768,True,43.65038810,-114.39714890,2401.53,19.71
12,205816768,True,43.65016325,-114.39725760,2411.36,20.36
13,205816768,True,43.64993840,-114.39736630,2420.32,18.69
14,205816768,True,43.64972067,-114.39747155,2428.59,17.87
15,205816768,True,43.64950295,-114.39757680,2437.22,18.60
16,205816768,True,43.64928522,-114.39768205,2445.47,17.83
17,205816768,True,43.64906750,-114.39778730,2454.25,18.90
18,205816768,True,43.64884065,-114.39789698,2464.77,21.49
19,205816768,True,43.64861380,-114.39800665,2476.18,23.12
20,205816768,True,43.64838695,-114.39811632,2488.42,24.61
21,205816768,True,43.64816010,-114.39822600,2499.72,22.92
22,205816768,True,43.64794008,-114.39833235,2510.13,21.88
23,205816768,True,43.64772005,-114.39843870,2520.85,22.47
24,205816768,True,43.64750002,-114.39854505,2531.31,21.98
25,205816768,True,43.64728000,-114.39865140,2541.90,22.22
26,205816768,True,43.64694775,-114.39881200,2557.52,21.76
27,205816768,True,43.64661550,-114.39897260,2571.54,19.71
