,lift_id,for_display,lat,lon,elevation,slope
0,257183858,True,44.67061510,-116.12433490,1515.48,0.00
1,257183858,True,44.67052210,-116.12478320,1518.17,4.17
2,257183858,True,44.67042910,-116.12523150,1521.76,5.55
0,257183859,True,44.67111660,-116.12365770,1510.14,0.00
1,257183859,True,44.67099380,-116.12421220,1513.26,3.89
2,257183859,True,44.67089160,-116.12467390,1516.78,5.26
3,257183859,True,44.67078940,-116.12513560,1519.94,4.72
4,257183859,True,44.67067255,-116.12566385,1525.44,7.17
5,257183859,True,44.67055570,-116.12619210,1529.93,5.86
6,257183859,True,44.67048870,-116.12649505,1532.80,6.53
7,257183859,True,44.67042170,-116.12679800,1535.59,6.35
8,257183859,True,44.67037260,-116.12702010,1537.03,4.48
0,257183860,True,44.66720250,-116.12514680,1510.62,0.00
1,257183860,True,44.66754180,-116.12529901,1512.53,2.76
2,257183860,True,44.66788110,-116.12545123,1514.12,2.30
3,257183860,True,44.66822040,-116.12560344,1516.32,3.18
4,257183860,True,44.66855970,-116.12575565,1518.87,3.68
5,257183860,True,44.66889900,-116.12590786,1521.61,3.96
6,257183860,True,44.66923830,-116.12606007,1524.98,4.86
7,257183860,True,44.66957760,-116.12621229,1527.26,3.30
8,257183860,True,44.66991690,-116.12636450,1529.57,3.34
0,257183861,True,44.67318720,-116.12224090,1492.05,0.00
1,257183861,True,44.67329735,-116.12256540,1493.07,2.05
2,257183861,True,44.67340750,-116.12288990,1493.77,1.41
3,257183861,True,44.67357225,-116.12337610,1496.61,3.82
4,257183861,True,44.67373700,-116.12386230,1501.46,6.50
5,257183861,True,44.67389500,-116.12432840,1511.39,13.67
6,257183861,True,44.67405300,-116.12479450,1520.56,12.66
7,257183861,True,44.67423415,-116.12532910,1529.19,10.44
8,257183861,True,44.67441530,-116.12586370,1534.26,6.18
9,257183861,True,44.67454600,-116.12624925,1539.76,9.25
10,257183861,True,44.67467670,-116.12663480,1546.11,10.65
11,257183861,True,44.67480740,-116.12702035,1553.65,12.59
12,257183861,True,44.67493810,-116.12740590,1561.81,13.58
13,257183861,True,44.67505855,-116.12776145,1571.95,18.04
14,257183861,True,44.67517900,-116.12811700,1581.63,17.27
15,257183861,True,44.67533650,-116.12858160,1590.18,11.86
16,257183861,True,44.67549400,-116.12904620,1596.51,8.84
17,257183861,True,44.67562267,-116.12942590,1601.72,8.90
18,257183861,True,44.67575135,-116.12980560,1607.41,9.71
19,257183861,True,44.67588002,-116.13018530,1612.61,8.89
20,257183861,True,44.67600870,-116.13056500,1618.30,9.71
21,257183861,True,44.67614090,-116.13095510,1623.64,8.88
22,257183861,True,44.67627310,-116.13134520,1626.73,5.17
23,257183861,True,44.67640530,-116.13173530,1630.08,5.60
24,257183861,True,44.67653750,-116.13212540,1634.80,7.86
25,257183861,True,44.67666815,-116.13251080,1645.02,16.84
26,257183861,True,44.67679880,-116.13289620,1649.78,8.03
27,257183861,True,44.67692687,-116.13327410,1655.50,9.80
28,257183861,True,44.67705495,-116.13365200,1661.56,10.37
29,257183861,True,44.67718302,-116.13402990,1670.62,15.31
30,257183861,True,44.67731110,-116.13440780,1682.55,19.82
31,257183861,True,44.67745412,-116.13482982,1692.97,15.74
32,257183861,True,44.67759715,-116.13525185,1707.34,21.24
33,257183861,True,44.67774017,-116.13567388,1726.81,27.78
34,257183861,True,44.67788320,-116.13609590,1746.26,27.75
35,257183861,True,44.67802865,-116.13652515,1743.50,-4.20
36,257183861,True,44.67817410,-116.13695440,1748.66,7.81
37,257183861,True,44.67831955,-116.13738365,1760.89,18.02
38,257183861,True,44.67846500,-116.13781290,1773.52,18.57
39,257183861,True,44.67856603,-116.13811095,1779.92,13.77
40,257183861,True,44.67866705,-116.13840900,1784.35,9.63
41,257183861,True,44.67876808,-116.13870705,1789.50,11.16
42,257183861,True,44.67886910,-116.13900510,1796.29,14.58
43,257183861,True,44.67905715,-116.13956010,1814.88,20.93
44,257183861,True,44.67924520,-116.14011510,1833.79,21.26
45,257183861,True,44.67941630,-116.14061985,1846.69,16.27
46,257183861,True,44.67958740,-116.14112460,1857.15,13.31
47,257183861,True,44.67971750,-116.14150850,1865.04,13.21
48,257183861,True,44.67984760,-116.14189240,1871.03,10.10
49,257183861,True,44.67997770,-116.14227630,1878.42,12.40
50,257183861,True,44.68010780,-116.14266020,1886.04,12.77
51,257183861,True,44.68025330,-116.14308958,1897.50,16.95
52,257183861,True,44.68039880,-116.14351895,1910.89,19.60
53,257183861,True,44.68054430,-116.14394832,1924.21,19.50
54,257183861,True,44.68068980,-116.14437770,1935.04,16.07
55,257183861,True,44.68079915,-116.14470038,1944.26,18.07
56,257183861,True,44.68090850,-116.14502305,1955.15,21.07
57,257183861,True,44.68101785,-116.14534572,1966.12,21.21
58,257183861,True,44.68112720,-116.14566840,1975.28,17.96
59,257183861,True,44.68130945,-116.14620625,1988.07,15.19
60,257183861,True,44.68149170,-116.14674410,2003.06,17.65
61,257183861,True,44.68164460,-116.14719525,2010.14,10.16
62,257183861,True,44.68179750,-116.14764640,2018.58,12.06
63,257183861,True,44.68195925,-116.14812375,2028.88,13.84
64,257183861,True,44.68212100,-116.14860110,2038.66,13.17
65,257183861,True,44.68226260,-116.14901890,2041.61,4.61
66,257183861,True,44.68239920,-116.14942240,2044.72,5.03
0,257183862,True,44.68090020,-116.14870890,2023.26,0.00
1,257183862,True,44.68087820,-116.14905565,2024.66,2.91
2,257183862,True,44.68085620,-116.14940240,2029.15,9.27
3,257183862,True,44.68083540,-116.14973058,2033.22,8.88
4,257183862,True,44.68081460,-116.15005875,2036.76,7.74
5,257183862,True,44.68079380,-116.15038692,2042.29,11.99
6,257183862,True,44.68077300,-116.15071510,2048.60,13.62
7,257183862,True,44.68073320,-116.15134300,2062.85,15.96
8,257183862,True,44.68069340,-116.15197090,2081.31,20.32
9,257183862,True,44.68067058,-116.15233095,2090.19,17.26
10,257183862,True,44.68064775,-116.15269100,2100.77,20.31
11,257183862,True,44.68062493,-116.15305105,2112.44,22.21
12,257183862,True,44.68060210,-116.15341110,2122.84,20.00
13,257183862,True,44.68056300,-116.15402750,2134.34,13.23
14,257183862,True,44.68054037,-116.15438467,2140.28,11.83
15,257183862,True,44.68051775,-116.15474185,2146.06,11.52
16,257183862,True,44.68049513,-116.15509902,2151.25,10.37
17,257183862,True,44.68047250,-116.15545620,2157.53,12.49
18,257183862,True,44.68044635,-116.15586855,2162.15,8.03
19,257183862,True,44.68042020,-116.15628090,2168.68,11.28
20,257183862,True,44.68039405,-116.15669325,2178.92,17.37
21,257183862,True,44.68036790,-116.15710560,2189.43,17.80
22,257183862,True,44.68032980,-116.15770715,2203.34,16.24
23,257183862,True,44.68029170,-116.15830870,2216.15,15.02
24,257183862,True,44.68027002,-116.15865060,2222.66,13.49
25,257183862,True,44.68024835,-116.15899250,2228.00,11.13
26,257183862,True,44.68022668,-116.15933440,2233.41,11.27
27,257183862,True,44.68020500,-116.15967630,2240.97,15.57
28,257183862,True,44.68016880,-116.16024750,2257.53,20.06
29,257183862,True,44.68013260,-116.16081870,2279.84,26.20
30,257183862,True,44.68010470,-116.16125860,2294.45,22.70
31,257183862,True,44.68007680,-116.16169850,2310.34,24.47
32,257183862,True,44.68006230,-116.16192800,2319.05,25.55
33,257183862,True,44.68004200,-116.16224870,2328.66,20.68
0,257183863,True,44.67916500,-116.12087480,1519.93,0.00
1,257183863,True,44.67909932,-116.12143375,1524.82,6.23
2,257183863,True,44.67903365,-116.12199270,1529.42,5.86
3,257183863,True,44.67896797,-116.12255165,1536.66,9.18
4,257183863,True,44.67890230,-116.12311060,1544.19,9.54
5,257183863,True,44.67883663,-116.12366955,1548.90,6.00
6,257183863,True,44.67877095,-116.12422850,1557.02,10.27
7,257183863,True,44.67870527,-116.12478745,1561.43,5.62
8,257183863,True,44.67863960,-116.12534640,1566.97,7.05
9,257183863,True,44.67857392,-116.12590535,1572.45,6.97
10,257183863,True,44.67850825,-116.12646430,1577.31,6.19
11,257183863,True,44.67844258,-116.12702325,1582.75,6.92
12,257183863,True,44.67837690,-116.12758220,1586.96,5.37
13,257183863,True,44.67831123,-116.12814115,1593.91,8.82
14,257183863,True,44.67824555,-116.12870010,1598.93,6.39
15,257183863,True,44.67817987,-116.12925905,1603.75,6.14
16,257183863,True,44.67811420,-116.12981800,1609.50,7.31
0,776095153,True,44.69766420,-116.13317010,1581.68,0.00
1,776095153,True,44.69748565,-116.13352030,1574.84,-11.35
2,776095153,True,44.69730710,-116.13387050,1576.13,2.17
3,776095153,True,44.69711380,-116.13424970,1590.85,21.76
4,776095153,True,44.69692050,-116.13462890,1600.32,14.40
5,776095153,True,44.69673570,-116.13499130,1608.61,13.23
6,776095153,True,44.69655090,-116.13535370,1617.56,14.25
7,776095153,True,44.69640745,-116.13563512,1622.95,11.14
8,776095153,True,44.69626400,-116.13591655,1628.53,11.52
9,776095153,True,44.69612055,-116.13619797,1637.23,17.63
10,776095153,True,44.69597710,-116.13647940,1645.57,16.95
11,776095153,True,44.69582592,-116.13677592,1653.41,15.21
12,776095153,True,44.69567475,-116.13707245,1660.62,14.03
13,776095153,True,44.69552357,-116.13736898,1669.26,16.68
14,776095153,True,44.69537240,-116.13766550,1680.41,21.14
15,776095153,True,44.69512190,-116.13815675,1695.90,17.96
16,776095153,True,44.69487140,-116.13864800,1714.35,21.11
17,776095153,True,44.69473887,-116.13890793,1721.87,16.56
18,776095153,True,44.69460635,-116.13916785,1728.54,14.78
19,776095153,True,44.69447383,-116.13942778,1735.31,14.99
20,776095153,True,44.69434130,-116.13968770,1743.09,17.10
21,776095153,True,44.69410280,-116.14015560,1765.32,26.03
22,776095153,True,44.69386430,-116.14062350,1782.89,21.11
23,776095153,True,44.69361280,-116.14111690,1800.73,20.39
24,776095153,True,44.69336130,-116.14161030,1819.04,20.88
25,776095153,True,44.69316150,-116.14200220,1833.80,21.17
26,776095153,True,44.69296170,-116.14239410,1848.39,20.94
27,776095153,True,44.69278850,-116.14273390,1858.10,16.37
28,776095153,True,44.69261530,-116.14307370,1867.04,15.14
29,776095153,True,44.69244210,-116.14341350,1880.70,22.46
30,776095153,True,44.69226890,-116.14375330,1890.48,16.48
31,776095153,True,44.69210688,-116.14407110,1901.34,19.36
32,776095153,True,44.69194485,-116.14438890,1909.90,15.48
33,776095153,True,44.69178283,-116.14470670,1918.76,15.99
34,776095153,True,44.69162080,-116.14502450,1928.40,17.32
35,776095153,True,44.69146610,-116.14532790,1938.65,19.15
36,776095153,True,44.69131140,-116.14563130,1948.48,18.42
37,776095153,True,44.69115670,-116.14593470,1959.42,20.34
38,776095153,True,44.69100200,-116.14623810,1970.20,20.06
39,776095153,True,44.69082778,-116.14657980,1980.28,16.87
40,776095153,True,44.69065355,-116.14692150,1990.72,17.44
41,776095153,True,44.69047932,-116.14726320,2004.46,22.46
42,776095153,True,44.69030510,-116.14760490,2018.67,23.15
43,776095153,True,44.69005100,-116.14810325,2041.16,24.89
44,776095153,True,44.68979690,-116.14860160,2055.87,16.88
45,776095153,True,44.68965020,-116.14888955,2065.36,18.72
46,776095153,True,44.68950350,-116.14917750,2076.85,22.31
