,lift_id,for_display,lat,lon,elevation,slope
0,256608942,True,41.50862190,-73.58412560,149.52,0.00
1,256608942,True,41.50899750,-73.58428120,151.90,3.12
0,256609665,True,41.50847330,-73.58473980,149.09,0.00
1,256609665,True,41.50847975,-73.58443410,148.86,-0.52
2,256609665,True,41.50848620,-73.58412840,150.63,3.98
3,256609665,True,41.50849385,-73.58376625,154.86,7.98
4,256609665,True,41.50850150,-73.58340410,161.24,11.94
5,256609665,True,41.50850970,-73.58301320,165.06,6.69
6,256609665,True,41.50851790,-73.58262230,173.95,15.27
7,256609665,True,41.50853060,-73.58202340,198.82,26.50
8,256609665,True,41.50853960,-73.58159220,207.65,13.81
9,256609665,True,41.50855210,-73.58100100,211.37,4.32
10,256609665,True,41.50856090,-73.58058260,211.83,0.76
11,256609665,True,41.50856970,-73.58016420,211.87,0.07
12,256609665,True,41.50857750,-73.57979595,211.71,-0.30
13,256609665,True,41.50858530,-73.57942770,210.29,-2.65
14,256609665,True,41.50859255,-73.57908280,215.53,10.34
15,256609665,True,41.50859980,-73.57873790,222.58,13.79
16,256609665,True,41.50860795,-73.57835210,225.85,5.81
17,256609665,True,41.50861610,-73.57796630,226.65,1.43
18,256609665,True,41.50862100,-73.57773420,226.18,-1.39
19,256609665,True,41.50863050,-73.57728165,227.42,1.88
20,256609665,True,41.50864000,-73.57682910,238.38,16.21
21,256609665,True,41.50864705,-73.57649560,250.40,23.40
22,256609665,True,41.50865410,-73.57616210,260.22,19.47
0,256609666,True,41.50839370,-73.58475330,148.76,0.00
1,256609666,True,41.50840590,-73.58449310,148.77,0.03
0,256609667,True,41.50817910,-73.58428780,151.82,0.00
1,256609667,True,41.50828260,-73.58392190,154.74,5.12
0,256609668,True,41.50785330,-73.58483460,148.92,0.00
1,256609668,True,41.50780780,-73.58427540,152.68,4.59
2,256609668,True,41.50777795,-73.58390795,156.96,7.92
3,256609668,True,41.50774810,-73.58354050,161.33,8.08
4,256609668,True,41.50770010,-73.58294990,171.96,12.13
5,256609668,True,41.50767260,-73.58261210,181.62,18.85
6,256609668,True,41.50763805,-73.58218700,203.13,31.14
7,256609668,True,41.50760350,-73.58176190,216.96,21.23
8,256609668,True,41.50757820,-73.58145060,225.37,17.88
9,256609668,True,41.50753060,-73.58086510,230.40,5.86
10,256609668,True,41.50751690,-73.58069590,233.03,10.51
0,256609669,True,41.50757780,-73.58429180,152.29,0.00
1,256609669,True,41.50761015,-73.58390457,156.82,7.95
2,256609669,True,41.50764250,-73.58351735,161.65,8.47
3,256609669,True,41.50767485,-73.58313012,167.39,10.03
4,256609669,True,41.50770720,-73.58274290,177.94,18.01
5,256609669,True,41.50773955,-73.58235568,193.26,25.28
6,256609669,True,41.50777190,-73.58196845,209.99,27.28
7,256609669,True,41.50780425,-73.58158123,219.11,15.70
8,256609669,True,41.50783660,-73.58119400,222.34,5.69
0,256609670,True,41.50679970,-73.58479900,144.50,0.00
1,256609670,True,41.50680830,-73.58467490,148.40,20.60
2,256609670,True,41.50683380,-73.58430830,150.28,3.51
3,256609670,True,41.50685650,-73.58398255,153.32,6.37
4,256609670,True,41.50687920,-73.58365680,157.67,9.07
5,256609670,True,41.50691100,-73.58319930,165.88,12.11
