,lift_id,for_display,lat,lon,elevation,slope
0,5275472,True,45.31524690,-121.71144510,1523.40,0.00
1,5275472,True,45.31548950,-121.71144815,1523.92,1.10
2,5275472,True,45.31573210,-121.71145120,1526.97,6.45
3,5275472,True,45.31616405,-121.71145670,1542.50,17.92
4,5275472,True,45.31659600,-121.71146220,1566.15,26.21
5,5275472,True,45.31686412,-121.71146563,1573.19,13.29
6,5275472,True,45.31713225,-121.71146905,1579.04,11.10
7,5275472,True,45.31740038,-121.71147247,1585.47,12.17
8,5275472,True,45.31766850,-121.71147590,1591.56,11.54
9,5275472,True,45.31795100,-121.71147950,1596.87,9.59
10,5275472,True,45.31823350,-121.71148310,1600.84,7.20
11,5275472,True,45.31846295,-121.71148605,1602.40,3.50
12,5275472,True,45.31869240,-121.71148900,1603.54,2.56
13,5275472,True,45.31904465,-121.71149350,1602.04,-2.19
14,5275472,True,45.31939690,-121.71149800,1603.78,2.54
15,5275472,True,45.31980820,-121.71150325,1609.57,7.21
16,5275472,True,45.32021950,-121.71150850,1624.20,17.74
17,5275472,True,45.32063010,-121.71151375,1628.51,5.39
18,5275472,True,45.32104070,-121.71151900,1635.79,9.06
19,5275472,True,45.32142325,-121.71152385,1641.69,7.90
20,5275472,True,45.32180580,-121.71152870,1646.98,7.09
21,5275472,True,45.32213022,-121.71153285,1652.88,9.29
22,5275472,True,45.32245465,-121.71153700,1657.71,7.63
23,5275472,True,45.32277907,-121.71154115,1664.27,10.31
24,5275472,True,45.32310350,-121.71154530,1679.31,22.63
25,5275472,True,45.32349950,-121.71155040,1689.83,13.44
26,5275472,True,45.32374487,-121.71155352,1695.41,11.56
27,5275472,True,45.32399025,-121.71155665,1699.35,8.22
28,5275472,True,45.32423563,-121.71155978,1706.57,14.82
29,5275472,True,45.32448100,-121.71156290,1714.71,16.61
30,5275472,True,45.32469550,-121.71156560,1720.22,13.01
31,5275472,True,45.32509890,-121.71157075,1726.07,7.43
32,5275472,True,45.32550230,-121.71157590,1736.24,12.77
33,5275472,True,45.32576030,-121.71157920,1739.17,5.83
34,5275472,True,45.32601830,-121.71158250,1741.57,4.78
35,5275472,True,45.32641360,-121.71158760,1742.45,1.15
36,5275472,True,45.32669495,-121.71159117,1742.96,0.93
37,5275472,True,45.32697630,-121.71159475,1744.07,2.03
38,5275472,True,45.32725765,-121.71159833,1745.62,2.84
39,5275472,True,45.32753900,-121.71160190,1749.06,6.27
40,5275472,True,45.32779965,-121.71160525,1752.57,6.90
41,5275472,True,45.32806030,-121.71160860,1756.88,8.46
42,5275472,True,45.32832095,-121.71161195,1761.91,9.85
43,5275472,True,45.32858160,-121.71161530,1768.99,13.73
44,5275472,True,45.32879690,-121.71161810,1772.63,8.64
0,5275481,True,45.32182200,-121.71465340,1631.39,0.00
1,5275481,True,45.32218620,-121.71456340,1632.16,1.07
2,5275481,True,45.32253785,-121.71447690,1636.59,6.37
3,5275481,True,45.32288950,-121.71439040,1642.22,8.08
4,5275481,True,45.32326205,-121.71429875,1648.22,8.12
5,5275481,True,45.32363460,-121.71420710,1651.26,4.14
6,5275481,True,45.32401825,-121.71411270,1655.66,5.80
7,5275481,True,45.32440190,-121.71401830,1660.40,6.25
8,5275481,True,45.32481650,-121.71391635,1671.05,12.82
9,5275481,True,45.32523110,-121.71381440,1688.84,20.82
10,5275481,True,45.32556765,-121.71373160,1696.25,11.04
11,5275481,True,45.32590420,-121.71364880,1700.61,6.55
12,5275481,True,45.32624075,-121.71356600,1705.33,7.08
13,5275481,True,45.32657730,-121.71348320,1711.63,9.42
14,5275481,True,45.32680707,-121.71342667,1716.62,10.89
15,5275481,True,45.32703685,-121.71337015,1722.86,13.53
16,5275481,True,45.32726663,-121.71331363,1729.29,13.93
17,5275481,True,45.32749640,-121.71325710,1735.01,12.44
18,5275481,True,45.32785565,-121.71316870,1742.75,10.81
19,5275481,True,45.32821490,-121.71308030,1752.14,13.04
20,5275481,True,45.32857190,-121.71299245,1761.15,12.61
21,5275481,True,45.32892890,-121.71290460,1767.28,8.65
22,5275481,True,45.32917828,-121.71284325,1771.09,7.71
23,5275481,True,45.32942765,-121.71278190,1777.00,11.86
24,5275481,True,45.32967702,-121.71272055,1782.78,11.61
25,5275481,True,45.32992640,-121.71265920,1787.96,10.43
26,5275481,True,45.33014812,-121.71260480,1791.48,8.01
27,5275481,True,45.33036985,-121.71255040,1795.33,8.75
28,5275481,True,45.33059157,-121.71249600,1799.65,9.80
29,5275481,True,45.33081330,-121.71244160,1804.92,11.89
0,5280949,True,45.32578950,-121.72260760,1665.14,0.00
1,5280949,True,45.32614000,-121.72242030,1666.93,2.46
2,5280949,True,45.32635335,-121.72230665,1670.69,8.44
3,5280949,True,45.32656670,-121.72219300,1673.39,6.08
4,5280949,True,45.32688790,-121.72202195,1680.41,10.43
5,5280949,True,45.32720910,-121.72185090,1689.04,12.75
6,5280949,True,45.32752595,-121.72168215,1696.65,11.44
7,5280949,True,45.32784280,-121.72151340,1704.38,11.61
8,5280949,True,45.32815780,-121.72134560,1714.91,15.72
9,5280949,True,45.32857390,-121.72112390,1723.97,10.39
10,5280949,True,45.32889780,-121.72095135,1728.64,6.92
11,5280949,True,45.32922170,-121.72077880,1735.18,9.65
12,5280949,True,45.32945165,-121.72065635,1740.95,11.93
13,5280949,True,45.32968160,-121.72053390,1743.99,6.35
14,5280949,True,45.33000105,-121.72036370,1748.37,6.59
15,5280949,True,45.33032050,-121.72019350,1754.79,9.61
16,5280949,True,45.33055360,-121.72006935,1758.43,7.49
17,5280949,True,45.33078670,-121.71994520,1761.67,6.68
18,5280949,True,45.33105490,-121.71980235,1767.20,9.85
19,5280949,True,45.33132310,-121.71965950,1772.12,8.78
20,5280949,True,45.33159360,-121.71951540,1778.82,11.78
21,5280949,True,45.33186410,-121.71937130,1786.22,12.97
22,5280949,True,45.33222430,-121.71917950,1795.61,12.38
23,5280949,True,45.33254385,-121.71900925,1801.78,9.24
24,5280949,True,45.33286340,-121.71883900,1807.95,9.24
25,5280949,True,45.33307720,-121.71872510,1812.54,10.25
26,5280949,True,45.33329100,-121.71861120,1818.77,13.79
27,5280949,True,45.33362660,-121.71843245,1823.30,6.49
28,5280949,True,45.33396220,-121.71825370,1833.98,15.00
29,5280949,True,45.33422585,-121.71811325,1839.87,10.66
30,5280949,True,45.33448950,-121.71797280,1846.87,12.60
31,5280949,True,45.33480130,-121.71780670,1853.44,10.06
32,5280949,True,45.33511310,-121.71764060,1861.11,11.70
33,5280949,True,45.33539220,-121.71749190,1866.19,8.72
34,5280949,True,45.33567130,-121.71734320,1872.66,11.05
35,5280949,True,45.33595675,-121.71719115,1879.64,11.64
36,5280949,True,45.33624220,-121.71703910,1887.32,12.77
37,5280949,True,45.33646330,-121.71692130,1892.43,11.01
38,5280949,True,45.33668440,-121.71680350,1896.07,7.89
39,5280949,True,45.33687490,-121.71670250,1904.11,19.58
0,5282193,True,45.33095980,-121.71356410,1803.54,0.00
1,5282193,True,45.33140250,-121.71351300,1808.56,5.80
2,5282193,True,45.33173330,-121.71347490,1817.97,14.30
3,5282193,True,45.33200340,-121.71344380,1824.49,12.21
4,5282193,True,45.33227350,-121.71341270,1831.18,12.52
5,5282193,True,45.33252730,-121.71338345,1837.75,13.06
6,5282193,True,45.33278110,-121.71335420,1844.75,13.89
7,5282193,True,45.33309040,-121.71331860,1851.29,10.73
8,5282193,True,45.33339970,-121.71328300,1857.52,10.23
9,5282193,True,45.33379960,-121.71323690,1863.50,7.63
10,5282193,True,45.33416220,-121.71319515,1869.99,9.11
11,5282193,True,45.33452480,-121.71315340,1876.34,8.92
12,5282193,True,45.33495523,-121.71310380,1882.97,7.86
13,5282193,True,45.33538565,-121.71305420,1889.55,7.80
14,5282193,True,45.33581607,-121.71300460,1895.20,6.71
15,5282193,True,45.33624650,-121.71295500,1901.54,7.52
16,5282193,True,45.33650100,-121.71292570,1906.37,9.65
17,5282193,True,45.33675550,-121.71289640,1910.02,7.33
18,5282193,True,45.33699360,-121.71286898,1912.77,5.91
19,5282193,True,45.33723170,-121.71284155,1915.59,6.06
20,5282193,True,45.33746980,-121.71281412,1920.43,10.33
21,5282193,True,45.33770790,-121.71278670,1927.58,15.07
22,5282193,True,45.33811935,-121.71273930,1939.87,14.99
23,5282193,True,45.33853080,-121.71269190,1951.12,13.77
24,5282193,True,45.33894225,-121.71264450,1960.33,11.35
25,5282193,True,45.33935370,-121.71259710,1971.64,13.84
26,5282193,True,45.33960235,-121.71256845,1976.07,9.07
27,5282193,True,45.33985100,-121.71253980,1983.76,15.49
28,5282193,True,45.34009965,-121.71251115,1991.63,15.84
29,5282193,True,45.34034830,-121.71248250,1997.40,11.75
30,5282193,True,45.34059378,-121.71245422,2003.85,13.25
31,5282193,True,45.34083925,-121.71242595,2010.68,14.00
32,5282193,True,45.34108473,-121.71239768,2020.23,19.22
33,5282193,True,45.34133020,-121.71236940,2026.96,13.81
34,5282193,True,45.34156573,-121.71234225,2030.58,7.84
35,5282193,True,45.34180125,-121.71231510,2034.58,8.66
36,5282193,True,45.34203677,-121.71228795,2039.39,10.37
37,5282193,True,45.34227230,-121.71226080,2045.51,13.11
38,5282193,True,45.34251135,-121.71223327,2050.77,11.16
39,5282193,True,45.34275040,-121.71220575,2057.44,14.04
40,5282193,True,45.34298945,-121.71217823,2063.45,12.70
41,5282193,True,45.34322850,-121.71215070,2070.77,15.35
42,5282193,True,45.34345440,-121.71212467,2077.71,15.40
43,5282193,True,45.34368030,-121.71209865,2084.21,14.46
44,5282193,True,45.34390620,-121.71207262,2090.26,13.50
45,5282193,True,45.34413210,-121.71204660,2096.65,14.23
46,5282193,True,45.34457980,-121.71199500,2108.55,13.40
47,5282193,True,45.34502750,-121.71194340,2121.31,14.33
48,5282193,True,45.34508980,-121.71193620,2122.93,13.12
49,5282193,True,45.34543040,-121.71189770,2132.33,13.90
0,44164310,True,45.34474610,-121.71145500,2118.04,0.00
1,44164310,True,45.34517165,-121.71127255,2124.07,6.96
2,44164310,True,45.34559720,-121.71109010,2135.13,12.61
3,44164310,True,45.34565000,-121.71106740,2136.48,12.41
4,44164310,True,45.34591475,-121.71095388,2142.14,10.43
5,44164310,True,45.34617950,-121.71084035,2145.41,6.07
6,44164310,True,45.34644425,-121.71072683,2154.40,16.30
7,44164310,True,45.34670900,-121.71061330,2163.99,17.32
8,44164310,True,45.34702920,-121.71047605,2172.51,12.91
9,44164310,True,45.34734940,-121.71033880,2182.34,14.81
10,44164310,True,45.34776305,-121.71016140,2192.49,11.93
11,44164310,True,45.34817670,-121.70998400,2206.90,16.70
12,44164310,True,45.34858220,-121.70981010,2221.21,16.90
13,44164310,True,45.34895295,-121.70965115,2230.85,12.62
14,44164310,True,45.34932370,-121.70949220,2242.12,14.67
15,44164310,True,45.34967875,-121.70933995,2250.15,11.02
16,44164310,True,45.35003380,-121.70918770,2265.69,20.65
17,44164310,True,45.35041780,-121.70902305,2278.41,15.92
18,44164310,True,45.35080180,-121.70885840,2291.82,16.74
19,44164310,True,45.35122170,-121.70867835,2310.26,20.71
20,44164310,True,45.35164160,-121.70849830,2322.86,14.49
21,44164310,True,45.35187525,-121.70839810,2330.72,16.15
22,44164310,True,45.35210890,-121.70829790,2341.27,21.25
23,44164310,True,45.35227890,-121.70822540,2349.79,23.35
24,44164310,True,45.35260020,-121.70808745,2354.98,7.92
25,44164310,True,45.35292150,-121.70794950,2368.20,19.51
26,44164310,True,45.35327440,-121.70779820,2382.94,19.78
27,44164310,True,45.35367450,-121.70762665,2399.86,20.01
28,44164310,True,45.35407460,-121.70745510,2416.97,20.22
29,44164310,True,45.35430530,-121.70735620,2424.73,16.15
30,44164310,True,45.35453600,-121.70725730,2432.96,17.08
31,44164310,True,45.35489540,-121.70710325,2444.82,15.86
32,44164310,True,45.35525480,-121.70694920,2457.95,17.46
33,44164310,True,45.35553080,-121.70683085,2468.36,17.99
34,44164310,True,45.35580680,-121.70671250,2479.37,18.96
35,44164310,True,45.35603170,-121.70661607,2487.75,17.79
36,44164310,True,45.35625660,-121.70651965,2496.82,19.15
37,44164310,True,45.35648150,-121.70642322,2505.73,18.84
38,44164310,True,45.35670640,-121.70632680,2514.86,19.27
39,44164310,True,45.35707690,-121.70616795,2529.15,18.37
40,44164310,True,45.35744740,-121.70600910,2544.20,19.28
41,44164310,True,45.35772320,-121.70589080,2553.53,16.24
42,44164310,True,45.35799900,-121.70577250,2563.92,17.97
43,44164310,True,45.35834140,-121.70562570,2578.47,20.10
44,44164310,True,45.35840900,-121.70559680,2581.26,19.57
45,44164310,True,45.35855070,-121.70553610,2585.78,15.36
0,45230418,True,45.30330500,-121.74589060,1214.48,0.00
1,45230418,True,45.30349580,-121.74569160,1215.16,1.48
2,45230418,True,45.30381190,-121.74536310,1221.49,8.27
3,45230418,True,45.30404080,-121.74512510,1227.00,9.91
4,45230418,True,45.30424430,-121.74491360,1232.27,10.65
5,45230418,True,45.30444780,-121.74470210,1238.48,12.49
6,45230418,True,45.30468690,-121.74445360,1244.32,10.06
7,45230418,True,45.30495035,-121.74417970,1248.16,6.04
8,45230418,True,45.30521380,-121.74390580,1252.43,6.71
9,45230418,True,45.30557420,-121.74353110,1263.74,12.83
10,45230418,True,45.30587470,-121.74321880,1268.56,6.64
11,45230418,True,45.30609790,-121.74298675,1271.86,6.13
12,45230418,True,45.30632110,-121.74275470,1274.51,4.93
13,45230418,True,45.30657650,-121.74248925,1279.37,7.87
14,45230418,True,45.30683190,-121.74222380,1285.58,10.01
15,45230418,True,45.30703470,-121.74201290,1287.97,4.89
16,45230418,True,45.30723540,-121.74180430,1290.03,4.26
17,45230418,True,45.30743610,-121.74159570,1291.66,3.37
18,45230418,True,45.30767985,-121.74134230,1295.02,5.71
19,45230418,True,45.30792360,-121.74108890,1299.77,8.05
20,45230418,True,45.30812740,-121.74087700,1302.40,5.35
21,45230418,True,45.30836790,-121.74062780,1307.35,8.51
0,48948146,True,45.31611460,-121.72357440,1476.15,0.00
1,48948146,True,45.31643990,-121.72338090,1478.23,3.04
2,48948146,True,45.31668650,-121.72323447,1480.54,4.45
3,48948146,True,45.31693310,-121.72308805,1488.12,14.31
4,48948146,True,45.31717970,-121.72294163,1494.43,11.99
5,48948146,True,45.31742630,-121.72279520,1502.15,14.56
6,48948146,True,45.31783060,-121.72255510,1517.90,17.92
7,48948146,True,45.31823490,-121.72231500,1539.21,23.63
8,48948146,True,45.31855530,-121.72212480,1545.22,8.85
9,48948146,True,45.31883570,-121.72195830,1548.37,5.33
10,48948146,True,45.31911610,-121.72179180,1550.64,3.84
11,48948146,True,45.31939650,-121.72162530,1554.66,6.79
12,48948146,True,45.31967690,-121.72145880,1557.46,4.74
13,48948146,True,45.31997435,-121.72128217,1562.68,8.29
14,48948146,True,45.32027180,-121.72110555,1567.50,7.66
15,48948146,True,45.32056925,-121.72092893,1572.31,7.64
16,48948146,True,45.32086670,-121.72075230,1579.09,10.71
17,48948146,True,45.32114628,-121.72058628,1585.46,10.71
18,48948146,True,45.32142585,-121.72042025,1595.30,16.28
19,48948146,True,45.32170542,-121.72025423,1604.23,14.85
20,48948146,True,45.32198500,-121.72008820,1614.48,16.92
21,48948146,True,45.32228430,-121.71991050,1628.44,21.16
22,48948146,True,45.32258360,-121.71973280,1641.14,19.40
23,48948146,True,45.32274820,-121.71963500,1645.17,11.48
24,48948146,True,45.32303705,-121.71946325,1646.18,1.66
25,48948146,True,45.32332590,-121.71929150,1647.38,1.97
26,48948146,True,45.32361475,-121.71911975,1653.06,9.27
27,48948146,True,45.32390360,-121.71894800,1659.38,10.29
28,48948146,True,45.32422060,-121.71875975,1660.06,1.02
29,48948146,True,45.32453760,-121.71857150,1665.12,7.55
30,48948146,True,45.32485460,-121.71838325,1672.03,10.25
31,48948146,True,45.32517160,-121.71819500,1678.31,9.34
32,48948146,True,45.32546333,-121.71802180,1683.31,8.10
33,48948146,True,45.32575505,-121.71784860,1688.05,7.68
34,48948146,True,45.32604677,-121.71767540,1696.58,13.64
35,48948146,True,45.32633850,-121.71750220,1705.19,13.76
36,48948146,True,45.32659345,-121.71735083,1710.35,9.53
37,48948146,True,45.32684840,-121.71719945,1714.63,7.93
38,48948146,True,45.32710335,-121.71704808,1720.89,11.52
39,48948146,True,45.32735830,-121.71689670,1725.56,8.64
40,48948146,True,45.32770197,-121.71669265,1728.89,4.60
41,48948146,True,45.32804565,-121.71648860,1732.75,5.33
42,48948146,True,45.32838933,-121.71628455,1737.53,6.58
43,48948146,True,45.32873300,-121.71608050,1741.94,6.08
44,48948146,True,45.32908642,-121.71587065,1748.59,8.88
45,48948146,True,45.32943985,-121.71566080,1753.82,7.00
46,48948146,True,45.32979328,-121.71545095,1765.97,15.92
47,48948146,True,45.33014670,-121.71524110,1778.19,16.01
48,48948146,True,45.33042543,-121.71507558,1785.19,11.77
49,48948146,True,45.33070415,-121.71491005,1793.37,13.69
50,48948146,True,45.33098288,-121.71474453,1799.86,10.94
