lift_id,for_display,lat,lon,elevation,slope,index
18836420,True,43.96536560,-71.52878660,577.14,0.00,0
18836420,True,43.96528190,-71.52907855,579.77,5.97,1
18836420,True,43.96519820,-71.52937050,583.13,7.61,2
18836420,True,43.96510350,-71.52970095,587.10,7.94,3
18836420,True,43.96500880,-71.53003140,592.33,10.41,4
18836420,True,43.96488515,-71.53046285,599.81,11.38,5
18836420,True,43.96476150,-71.53089430,606.39,10.04,6
18836420,True,43.96462140,-71.53138295,615.56,12.29,7
18836420,True,43.96448130,-71.53187160,625.42,13.18,8
18836420,True,43.96432580,-71.53241410,633.68,10.02,9
18836420,True,43.96417030,-71.53295660,649.93,19.17,10
18836420,True,43.96403470,-71.53342980,662.39,17.00,11
18836420,True,43.96391120,-71.53386050,673.24,16.30,12
18836420,True,43.96378770,-71.53429120,682.91,14.61,13
18836420,True,43.96362315,-71.53486535,694.62,13.32,14
18836420,True,43.96345860,-71.53543950,712.53,19.91,15
18836420,True,43.96333110,-71.53588425,726.31,19.78,16
18836420,True,43.96320360,-71.53632900,739.61,19.14,17
18836420,True,43.96305375,-71.53685180,759.36,23.68,18
18836420,True,43.96290390,-71.53737460,775.88,20.14,19
18836420,True,43.96280100,-71.53773355,784.66,15.85,20
18836420,True,43.96269810,-71.53809250,796.18,20.43,21
18836420,True,43.96258160,-71.53849890,814.78,27.98,22
18836420,True,43.96249090,-71.53881535,825.62,21.68,23
18836420,True,43.96240020,-71.53913180,833.87,16.84,24
18836420,True,43.96227655,-71.53956315,845.18,16.93,25
18836420,True,43.96215290,-71.53999450,856.65,17.15,26
18836420,True,43.96202325,-71.54048705,865.89,12.41,27
18836420,True,43.96189360,-71.54097960,875.07,12.34,28
18836420,True,43.96176880,-71.54145150,883.65,12.04,29
18836420,True,43.96164400,-71.54192340,892.04,11.78,30
18836420,True,43.96150670,-71.54244245,901.18,11.67,31
18836420,True,43.96136940,-71.54296150,913.50,15.55,32
18836420,True,43.96123180,-71.54348183,927.79,17.85,33
18836420,True,43.96109420,-71.54400215,941.21,16.83,34
18836420,True,43.96095660,-71.54452248,956.36,18.85,35
18836420,True,43.96081900,-71.54504280,976.09,23.97,36
18836420,True,43.96067580,-71.54558415,991.02,17.92,37
18836420,True,43.96053260,-71.54612550,1006.87,18.95,38
18836420,True,43.96044973,-71.54643885,1016.89,20.56,39
18836420,True,43.96036685,-71.54675220,1027.01,20.74,40
18836420,True,43.96028397,-71.54706555,1036.58,19.71,41
18836420,True,43.96020110,-71.54737890,1041.78,11.01,42
18836420,True,43.96016010,-71.54753400,1044.12,10.03,43
18836420,True,43.96011910,-71.54768920,1046.59,10.57,44
18836420,True,43.96000070,-71.54813680,1050.65,6.07,45
18836422,True,43.95712860,-71.53975290,779.38,0.00,0
18836422,True,43.95728160,-71.53952710,776.01,-7.73,1
18836422,True,43.95752920,-71.53916160,770.76,-7.45,2
18836422,True,43.95772775,-71.53886855,765.74,-8.86,3
18836422,True,43.95792630,-71.53857550,760.53,-9.19,4
18836422,True,43.95820935,-71.53815765,752.23,-10.24,5
18836422,True,43.95849240,-71.53773980,744.13,-10.00,6
18836422,True,43.95876970,-71.53733045,739.06,-6.43,7
18836422,True,43.95904700,-71.53692110,732.75,-7.98,8
18836422,True,43.95926020,-71.53660640,728.47,-7.05,9
18836422,True,43.95947340,-71.53629170,722.94,-9.08,10
18836422,True,43.95968130,-71.53598485,718.43,-7.62,11
18836422,True,43.95988920,-71.53567800,713.01,-9.13,12
18836422,True,43.96007900,-71.53539785,706.61,-11.74,13
18836422,True,43.96026880,-71.53511770,700.20,-11.76,14
18836422,True,43.96045280,-71.53484610,693.41,-12.81,15
18836422,True,43.96063680,-71.53457450,685.36,-15.09,16
18836422,True,43.96089560,-71.53419250,675.83,-12.79,17
18836422,True,43.96115440,-71.53381050,666.59,-12.41,18
18836422,True,43.96138470,-71.53347050,659.37,-10.94,19
