,lift_id,for_display,lat,lon,elevation,slope
0,142847479,True,43.29233980,-73.73059290,149.13,0.00
1,142847479,True,43.29220560,-73.73108450,152.85,5.00
2,142847479,True,43.29209345,-73.73149550,159.06,9.92
3,142847479,True,43.29198130,-73.73190650,165.33,10.01
4,142847479,True,43.29186310,-73.73233965,173.85,12.82
5,142847479,True,43.29174490,-73.73277280,183.56,14.54
6,142847479,True,43.29161055,-73.73326500,191.78,10.94
7,142847479,True,43.29147620,-73.73375720,203.77,15.74
8,142847479,True,43.29137120,-73.73414185,211.07,12.38
9,142847479,True,43.29126620,-73.73452650,220.62,16.03
10,142847479,True,43.29116580,-73.73489440,230.04,16.50
11,142847479,True,43.29106540,-73.73526230,239.77,17.01
12,142847479,True,43.29090930,-73.73583440,252.43,14.36
13,142847479,True,43.29079015,-73.73627085,263.48,16.32
14,142847479,True,43.29067100,-73.73670730,275.13,17.16
15,142847479,True,43.29053760,-73.73719620,286.24,14.73
16,142847479,True,43.29041995,-73.73762730,294.93,13.13
17,142847479,True,43.29030230,-73.73805840,303.37,12.76
18,142847479,True,43.29022150,-73.73835442,310.66,15.90
19,142847479,True,43.29014070,-73.73865045,318.19,16.40
20,142847479,True,43.29005990,-73.73894648,326.49,17.97
21,142847479,True,43.28997910,-73.73924250,336.47,21.31
22,142847479,True,43.28982840,-73.73979470,353.39,19.52
23,142847479,True,43.28967770,-73.74034690,372.35,21.66
24,142847479,True,43.28952590,-73.74090330,389.82,19.96
25,142847479,True,43.28943570,-73.74123365,399.77,19.21
26,142847479,True,43.28934550,-73.74156400,411.92,23.05
27,142847479,True,43.28930340,-73.74171830,415.60,15.42
28,142847479,True,43.28920980,-73.74206130,421.44,11.14
29,142847479,True,43.28911620,-73.74240430,428.65,13.67
30,142847479,True,43.28905740,-73.74261950,432.44,11.51
0,142852174,True,43.28598310,-73.72613770,130.12,0.00
1,142852174,True,43.28593480,-73.72664880,134.00,5.31
2,142852174,True,43.28588740,-73.72715105,140.43,8.91
3,142852174,True,43.28584000,-73.72765330,151.22,14.75
4,142852174,True,43.28578945,-73.72818820,163.51,15.72
5,142852174,True,43.28573890,-73.72872310,176.42,16.47
6,142852174,True,43.28568680,-73.72927505,186.06,12.08
7,142852174,True,43.28563470,-73.72982700,198.21,15.09
8,142852174,True,43.28559300,-73.73026875,206.96,13.64
9,142852174,True,43.28555130,-73.73071050,217.92,16.91
10,142852174,True,43.28552360,-73.73100380,223.72,13.62
11,142852174,True,43.28546890,-73.73158285,239.60,18.57
12,142852174,True,43.28541420,-73.73216190,257.51,20.75
13,142852174,True,43.28537705,-73.73255500,273.26,26.14
14,142852174,True,43.28533990,-73.73294810,287.58,24.05
15,142852174,True,43.28529360,-73.73343840,296.02,11.91
16,142852174,True,43.28523580,-73.73405045,303.57,8.59
17,142852174,True,43.28517800,-73.73466250,318.00,16.11
18,142852174,True,43.28515410,-73.73491620,320.79,7.67
19,142852174,True,43.28511280,-73.73535350,331.61,16.86
20,142852174,True,43.28507150,-73.73579080,339.05,11.77
21,142852174,True,43.28503808,-73.73614478,342.56,6.93
22,142852174,True,43.28500465,-73.73649875,352.00,18.09
23,142852174,True,43.28497123,-73.73685273,365.42,24.91
24,142852174,True,43.28493780,-73.73720670,379.69,26.29
25,142852174,True,43.28489645,-73.73764435,393.80,21.55
26,142852174,True,43.28485510,-73.73808200,401.47,12.12
27,142852174,True,43.28480785,-73.73858230,413.46,16.36
28,142852174,True,43.28476060,-73.73908260,428.61,20.35
29,142852174,True,43.28472420,-73.73946790,432.63,7.28
30,142852174,True,43.28470300,-73.73969240,436.70,12.52
0,142852176,True,43.28560880,-73.72602520,131.37,0.00
1,142852176,True,43.28558680,-73.72636715,132.49,2.31
2,142852176,True,43.28556480,-73.72670910,136.68,8.58
3,142852176,True,43.28553460,-73.72717925,144.74,11.91
4,142852176,True,43.28550440,-73.72764940,153.55,12.99
5,142852176,True,43.28548015,-73.72802610,162.78,16.78
6,142852176,True,43.28545590,-73.72840280,171.37,15.68
7,142852176,True,43.28542280,-73.72891825,181.42,13.49
8,142852176,True,43.28538970,-73.72943370,192.70,15.07
9,142852176,True,43.28535480,-73.72997665,202.71,12.78
10,142852176,True,43.28531990,-73.73051960,214.58,15.06
11,142852176,True,43.28530380,-73.73076940,221.77,19.50
0,142855036,True,43.28723260,-73.72694030,134.09,0.00
1,142855036,True,43.28717210,-73.72735870,138.25,6.87
2,142855036,True,43.28711160,-73.72777710,144.94,10.97
0,142855037,True,43.28683040,-73.72674180,133.25,0.00
1,142855037,True,43.28677770,-73.72732115,139.35,7.35
2,142855037,True,43.28672500,-73.72790050,150.26,13.00
0,256443056,True,43.28522050,-73.72610180,131.08,0.00
1,256443056,True,43.28518082,-73.72651122,137.07,10.16
2,256443056,True,43.28514115,-73.72692065,144.61,12.71
3,256443056,True,43.28510148,-73.72733007,153.00,14.09
4,256443056,True,43.28506180,-73.72773950,162.60,16.02
