,lift_id,for_display,lat,lon,elevation,slope
0,18835574,True,44.26396960,-71.23788050,588.84,0.00
1,18835574,True,44.26370700,-71.23766140,593.00,6.97
2,18835574,True,44.26344440,-71.23744230,597.89,8.18
3,18835574,True,44.26306475,-71.23712555,616.40,20.63
4,18835574,True,44.26268510,-71.23680880,633.37,19.04
5,18835574,True,44.26234325,-71.23650000,647.60,17.45
6,18835574,True,44.26200140,-71.23619120,661.96,17.60
7,18835574,True,44.26168975,-71.23590970,673.27,15.32
8,18835574,True,44.26137810,-71.23562820,681.95,11.88
9,18835574,True,44.26115700,-71.23542847,689.20,13.91
10,18835574,True,44.26093590,-71.23522875,695.55,12.24
11,18835574,True,44.26071480,-71.23502903,702.67,13.67
12,18835574,True,44.26049370,-71.23482930,708.53,11.32
13,18835574,True,44.26028945,-71.23464477,714.33,12.10
14,18835574,True,44.26008520,-71.23446025,721.96,15.75
15,18835574,True,44.25988095,-71.23427573,730.81,18.12
16,18835574,True,44.25967670,-71.23409120,739.10,17.04
17,18835574,True,44.25945517,-71.23389110,746.54,14.23
18,18835574,True,44.25923365,-71.23369100,755.06,16.19
19,18835574,True,44.25901212,-71.23349090,762.27,13.81
20,18835574,True,44.25879060,-71.23329080,770.28,15.27
21,18835574,True,44.25841855,-71.23295475,788.70,20.50
22,18835574,True,44.25804650,-71.23261870,801.10,14.13
23,18835574,True,44.25773600,-71.23234520,807.46,8.86
24,18835574,True,44.25750695,-71.23214340,823.11,27.46
25,18835574,True,44.25727790,-71.23194160,835.01,21.56
26,18835574,True,44.25702650,-71.23172010,843.13,13.80
27,18835574,True,44.25677510,-71.23149860,856.45,21.95
28,18835574,True,44.25658460,-71.23133078,866.63,22.12
29,18835574,True,44.25639410,-71.23116295,882.81,32.86
30,18835574,True,44.25620360,-71.23099512,897.91,31.08
31,18835574,True,44.25601310,-71.23082730,910.12,25.99
32,18835574,True,44.25563830,-71.23049715,927.16,19.08
33,18835574,True,44.25526350,-71.23016700,947.09,22.02
34,18835574,True,44.25490240,-71.22984885,965.66,21.36
35,18835574,True,44.25454130,-71.22953070,982.20,19.21
36,18835574,True,44.25430340,-71.22932115,989.79,13.64
37,18835574,True,44.25406550,-71.22911160,1002.66,22.37
