lift_id,for_display,lat,lon,elevation,slope,index
139165762,True,42.29791150,-74.25804290,518.35,0.00,0
139165762,True,42.29764140,-74.25816730,519.86,2.72,1
139165762,True,42.29732940,-74.25831100,523.24,5.27,2
139165762,True,42.29697080,-74.25847610,528.34,6.90,3
139165762,True,42.29674880,-74.25857835,531.54,7.00,4
139165762,True,42.29652680,-74.25868060,535.30,8.20,5
139165762,True,42.29627560,-74.25879630,541.13,11.18,6
139165762,True,42.29602440,-74.25891200,547.68,12.51,7
139165762,True,42.29575155,-74.25903765,553.60,10.46,8
139165762,True,42.29547870,-74.25916330,559.66,10.71,9
139165762,True,42.29520755,-74.25928815,565.12,9.73,10
139165762,True,42.29493640,-74.25941300,571.91,12.03,11
139165762,True,42.29464470,-74.25954735,586.75,23.42,12
139165762,True,42.29435300,-74.25968170,607.88,31.66,13
139165762,True,42.29408880,-74.25980335,620.62,22.32,14
139165762,True,42.29382460,-74.25992500,624.94,7.92,15
139165762,True,42.29351635,-74.26006695,625.23,0.46,16
139165762,True,42.29320810,-74.26020890,628.45,5.08,17
139165762,True,42.29282110,-74.26038715,636.41,9.93,18
139165762,True,42.29243410,-74.26056540,646.44,12.44,19
139165762,True,42.29203600,-74.26074870,658.78,14.78,20
139165762,True,42.29163790,-74.26093200,670.85,14.47,21
139165762,True,42.29124975,-74.26111075,680.30,11.71,22
139165762,True,42.29086160,-74.26128950,690.29,12.36,23
139165762,True,42.29045875,-74.26147500,701.87,13.75,24
139165762,True,42.29005590,-74.26166050,714.61,15.07,25
139165762,True,42.28963610,-74.26185380,722.93,9.58,26
139165762,True,42.28921630,-74.26204710,738.36,17.37,27
139165762,True,42.28879530,-74.26224100,761.53,25.10,28
139165762,True,42.28837430,-74.26243490,777.93,18.35,29
139165762,True,42.28801865,-74.26259865,791.98,18.59,30
139165762,True,42.28766300,-74.26276240,807.54,20.43,31
139165762,True,42.28728005,-74.26293870,820.42,15.98,32
139165762,True,42.28689710,-74.26311500,838.71,22.13,33
139165762,True,42.28661195,-74.26324630,850.01,18.64,34
139165762,True,42.28632680,-74.26337760,862.49,20.43,35
139165762,True,42.28604165,-74.26350890,876.05,22.04,36
139165762,True,42.28575650,-74.26364020,890.38,23.16,37
139165762,True,42.28551510,-74.26375140,900.01,18.76,38
139165762,True,42.28520790,-74.26389280,912.91,19.67,39
