lift_id,for_display,lat,lon,elevation,slope,index
48452715,True,35.94596270,-82.51592570,1242.16,0.00,0
48452715,True,35.94606900,-82.51564850,1242.59,0.89,1
48452715,True,35.94620375,-82.51529690,1245.32,4.46,2
48452715,True,35.94633850,-82.51494530,1249.85,7.37,3
48452715,True,35.94649775,-82.51453000,1256.47,9.09,4
48452715,True,35.94665700,-82.51411470,1263.54,9.70,5
48452715,True,35.94680785,-82.51372110,1272.85,13.36,6
48452715,True,35.94695870,-82.51332750,1281.60,12.58,7
48452715,True,35.94714385,-82.51284460,1293.44,13.83,8
48452715,True,35.94732900,-82.51236170,1308.10,16.95,9
48452715,True,35.94749170,-82.51193720,1321.94,18.13,10
48452715,True,35.94755650,-82.51176820,1324.00,6.98,11
48452716,True,35.95424300,-82.50870330,1208.65,0.00,0
48452716,True,35.95391880,-82.50869050,1207.55,-1.75,1
48452716,True,35.95366305,-82.50868035,1208.49,1.89,2
48452716,True,35.95340730,-82.50867020,1221.70,24.90,3
48452716,True,35.95309655,-82.50865790,1236.81,23.61,4
48452716,True,35.95278580,-82.50864560,1249.47,20.11,5
48452716,True,35.95248315,-82.50863360,1255.00,9.33,6
48452716,True,35.95218050,-82.50862160,1263.64,14.39,7
48452716,True,35.95192115,-82.50861130,1271.86,15.90,8
48452716,True,35.95166180,-82.50860100,1278.65,13.24,9
48452716,True,35.95126960,-82.50858550,1286.88,10.68,10
48452716,True,35.95084505,-82.50856870,1290.42,4.29,11
48452716,True,35.95042050,-82.50855190,1304.57,16.68,12
48452716,True,35.95035350,-82.50854920,1304.36,-1.61,13
48452716,True,35.95005595,-82.50853535,1314.51,17.04,14
48452716,True,35.94975840,-82.50852150,1330.16,25.30,15
48452716,True,35.94949815,-82.50850940,1342.59,23.23,16
48452716,True,35.94923790,-82.50849730,1354.60,22.52,17
48452716,True,35.94898535,-82.50848560,1367.19,24.13,18
48452716,True,35.94873280,-82.50847390,1379.16,23.07,19
48452716,True,35.94847955,-82.50846210,1390.51,21.94,20
48452716,True,35.94822630,-82.50845030,1397.74,14.39,21
48525698,True,35.95376240,-82.50880680,1206.11,0.00,0
48525698,True,35.95355830,-82.50853325,1210.99,8.29,1
48525698,True,35.95335420,-82.50825970,1215.78,8.14,2
48525705,True,35.95414660,-82.50846040,1209.16,0.00,0
48525705,True,35.95390590,-82.50833790,1209.87,1.41,1
48525705,True,35.95350825,-82.50813560,1214.87,5.97,2
48525705,True,35.95311060,-82.50793330,1220.75,7.01,3
48525705,True,35.95286325,-82.50780745,1225.92,9.86,4
48525705,True,35.95261590,-82.50768160,1229.61,7.07,5
48525705,True,35.95227965,-82.50751050,1233.48,5.47,6
48525705,True,35.95194340,-82.50733940,1241.06,10.62,7
48525705,True,35.95161835,-82.50717405,1246.72,8.24,8
48525705,True,35.95129330,-82.50700870,1257.47,15.38,9
48525705,True,35.95093130,-82.50682450,1265.46,10.40,10
48525705,True,35.95086330,-82.50679520,1267.36,13.35,11
48525705,True,35.95064170,-82.50669965,1272.35,10.82,12
48525705,True,35.95042010,-82.50660410,1279.01,14.32,13
48525705,True,35.95017957,-82.50650042,1285.12,12.17,14
48525705,True,35.94993905,-82.50639675,1289.19,8.18,15
48525705,True,35.94969853,-82.50629308,1294.96,11.51,16
48525705,True,35.94945800,-82.50618940,1304.88,19.30,17
48525705,True,35.94920570,-82.50608063,1313.23,15.70,18
48525705,True,35.94895340,-82.50597185,1321.29,15.18,19
48525705,True,35.94870110,-82.50586308,1330.64,17.47,20
48525705,True,35.94844880,-82.50575430,1340.44,18.25,21
48525705,True,35.94818630,-82.50564120,1349.21,15.84,22
48525705,True,35.94806390,-82.50558840,1352.51,12.89,23
93135069,True,35.94893090,-82.50962240,1348.61,0.00,0
93135069,True,35.94870090,-82.51000360,1342.37,-8.30,1
93135069,True,35.94850025,-82.51033615,1338.72,-5.58,2
93135069,True,35.94829960,-82.51066870,1336.17,-3.91,3
93135069,True,35.94813500,-82.51094160,1334.23,-3.62,4
93135069,True,35.94797040,-82.51121450,1331.45,-5.19,5
93135069,True,35.94776310,-82.51155810,1326.59,-7.18,6
