name,id
Arrow Bahn Express Lift (17),37378012
Bachelor Gulch Express Lift (16),37378013
Centennial Express Lift (6),37378014
Cinch Express Lift (8),37378016
Grouse Mountain Express Lift (10),37378017
Upper Beaver Creek Mountain Express Lift (18),101010732
Strawberry Park Express Lift (12),101010733
Lower Beaver Creek Mountain Express Lift (15),101010734
Buckaroo Express Gondola (1),148521788
Red Buffalo Express Lift (5),148521789
Larkspur Express Lift (11),148521791
Rose Bowl Express Lift (4),198994137
Highlands Lift (2),198994139
Elkhorn Lift (14),238615475
Riverfront Express Gondola (7),238752119
 _0,258698684
 _1,258698685
 _2,258698686
 _3,258698687
Birds of Prey Express Lift (9),258698688
 _4,258699167
 _5,258699702
(24),258699703
Reunion,842879767
Mccoy Park Express,842879768
