name,id
5-Chair,17144390
Colorado SuperChair,23259944
Independence SuperChair,23259945
Peak 8 SuperConnect,23259946
Mercury SuperChair,23259960
Falcon SuperChair,23259961
C-Chair,23259987
Beaver Run SuperChair,23259988
Imperial Express SuperChair,23260004
6-Chair,23260005
Horseshoe Bowl T-Bar,23260006
QuickSilver SuperChair,23260007
E-Chair,23260016
Snowflake,225585481
Rip's Ride,31535691
BreckConnect Gondola,31535782
A-Chair,128943483
Rocky Mountain SuperChair,129449255
 _26,258686272
 _27,258686273
 _28,258687189
 _29,258687190
Trygve's Platter,258687507
 _30,258689562
 _31,258689777
 _32,258689778
Zendo Chair,268511248
Kensho SuperChair,268512446
Freedom Superchair,842876947
