name,id
Sterling Express,36742290
Silver Lake Express,36742291
Carpenter Express,36743744
Wasatch Express,36744562
Sultan Express,36744563
Empire Express,36927943
Ruby Express,36927944
Red Cloud,36927945
Quincy Express,36927946
Northside Express,36927947
Silver Strike Express,36927948
Burns,104083424
Snowflake,104083425
Viking,104085879
Homestake,104085882
Judge,104085884
Mountaineer Express,104087778
Jordanelle Express Gondola,104087780
Crown Point,104094233
Lady Morgan Express,104094234
Mayflower,104096266
