name,id
Sunrise Village Triple,32959270
Skyeship Express Gondola Stage 1,32959286
Skyeship Express Gondola Stage 2,32959391
K-1 Express Gondola,32959705
Ramshead Express Quad,32959813
North Ridge Quad,32959881
Skye Peak Express Quad,32959913
Snowshed Express Quad,33101830
Snowdon Six,33280742
Needle's Eye Express Quad,96906470
Canyon Quad,143877545
Bear Mountain Quad,143877547
Snowshed Double,203680469
Learn To Snowboard Carpet,203680470
Snowplay Carpet II,203680471
Snowplay Carpet I,203680472
Superstar Express Quad,203680474
Snowdon Triple,203680475
Northbrook Quad,203680476
South Ridge Quad,749970317
Alpine Training Venue Poma,751412809
