name,id
#10 Outpost,143874598
#2 Nitro Express,143874599
#17 Bluebird Express,143874600
#12 Ego Alley,143874601
#7 Sundance,143874604
#11 Grand Summit Express,143874607
#19 Sunbrook,143874608
#1 Grommet,143874609
#14 Bear Trap,143874613
#18 Challenger,143874614
#9 Canyon Express,143874617
#3 Heavy Metal,143874619
#8 Tumbleweed,143874620
#16 Seasons,255718224
#4 Covered Bridge,255719023
#24 Voyager,255724675
#27 Apollo,255724676
#25 Gemini,255724677
#28 Discovery Shuttle,255724678
#5 Mercury,255724704
