name,id
Solitude Express Quad,44077715
Morning Star Triple,44077716
Quantum Six,44077717
Coleman Brook Express Quad,44077718
Glades Peak Quad,44077722
Sunburst Six,44077724
South Face Express Quad,52460237
South Ridge Quad B,52460238
South Ridge Quad A,52460239
Sachem Quad,255727372
F-10 Carpet,255727417
Snow Star Carpet,255727473
Evergreen Express,255728267
Black Ridge Triple,255728268
The Pull,255728269
Starlight Carpet,255728270
Stargazer Carpet,255728271
Orion's Belt Carpet,255728272
Sunshine Quad,562232716
