name,id
Aerial Tram,10477161
KT22 Express,10478713
Wa She Shu,10479063
Exhibition,10479303
Far East Express,10479835
Summit Six,10481191
Roundhouse,10481193
Alpine Bowl,10481195
Lakeview,10481199
Sherwood Express,10481200
Headwall Express,29414861
Siberia Express,29414891
Red Dog,29414899
Gold Coast Funitel,30423428
Resort Chair,30614612
Gold Coast Express,30786685
Emigrant,249112993
Shirley Lake Express,30786805
Granite Chief,30786856
Yellow,31484135
Kangaroo,31484607
Scott,31484763
Solitude,73493900
Olympic Lady,81605214
Broken Arrow,137866890
Big Blue Express,137868215
Belmont,137868569
Bailey's Beach,137868673
Silverado,137869442
Subway,187210721
Meadow,187210722
 _3,258143191
 _4,258143192
Tucker,258145803
First Venture,258145804
Boone,258146201
Wylee,258146202
The Pulley,258148745
Murphy,551282914
Snow Venture Carpet,551292289
Mountain Meadow,553033650
Treeline Cirque,680635078
