name,id
Town Lift,10159691
Super Condor Express,10160849
Orange Bubble Express,10160855
Cabriolet,31560006
Red Pine Gondola,31560012
Sun Peak Express,31560103
Saddleback Express,31560107
High Meadow Express,31560114
Ninety-Nine 90 Express,31770502
Peak 5,31772860
Dreamcatcher,31772909
Dreamscape,31772920
First Time Lift,31773201
Payday Hi-Speed Six-Pack,31773248
Bonanza Hi-Speed Six-Pack,31773295
King Con Express,31773314
Timberline,32205939
Day Break,32216019
Tombstone Express,32217157
Motherlode Express,52175653
Silver Star Lift,52175654
Eagle Lift,52179167
3 Kings Lift,52179176
Crescent Hi-Speed Quad,52181953
Pioneer Lift,52186623
McConkey's Hi-Speed Six-Pack,52186624
Thaynes Lift,52187804
Jupiter Lift,52187810
Iron Mountain Express,149841122
Silverlode Hi-Speed Six-Pack,168077031
Sunrise,844809431
Short Cut,257815623
Flatiron,257816729
Eagle Lift_41,257820569
Frostwood Gondola,258163806
Quicksilver Gondola,398430290
Over and Out,771111351
Ripcord,906390972
