name,id
Burgess Creek,17136815
Thunderhead Express,17136817
Christie III,17136828
Storm Peak Express,17137132
Steamboat Gondola,17138113
Bashor,144866397
Sundown Express,17139208
Christie Peak Express,51722270
Preview,975247600
Wrangler,51722272
Morningside Lift,51722274
South Peak,51722275
Elkhead,51722277
Bar UE,51722278
Four Points,51722279
Pony Express,51722357
Buckaroo,144863541
Sunshine Express,144863542
Sundance,144863543
Easy Rider,144863544
Desperado,144863547
Rough Rider,144863885
Wildhorse Gondola,237694598
