,trail_id,for_display,lat,lon,elevation,slope
0,313023271,True,45.85005110,-95.63027870,443.09,0.00
1,313023271,True,45.85012910,-95.63030485,442.83,-1.67
2,313023271,True,45.85020710,-95.63033100,442.11,-4.62
3,313023271,True,45.85028510,-95.63035715,441.29,-5.26
4,313023271,True,45.85036310,-95.63038330,440.45,-5.39
5,313023271,True,45.85044110,-95.63040945,439.67,-5.00
6,313023271,True,45.85051910,-95.63043560,438.91,-4.88
7,313023271,True,45.85059710,-95.63046175,438.44,-3.02
8,313023271,True,45.85067510,-95.63048790,438.36,-0.51
0,313023274,True,45.85018570,-95.63009360,441.90,0.00
1,313023274,True,45.85031232,-95.63011697,441.26,-2.58
2,313023274,True,45.85043895,-95.63014035,440.19,-4.31
3,313023274,True,45.85056557,-95.63016373,439.12,-4.31
4,313023274,True,45.85069220,-95.63018710,438.73,-1.57
0,313025380,True,45.84972960,-95.62966750,451.13,0.00
1,313025380,True,45.84980805,-95.62972250,448.96,-12.60
2,313025380,True,45.84988650,-95.62977750,447.08,-10.96
3,313025380,True,45.84997750,-95.62982560,445.27,-9.53
4,313025380,True,45.85009460,-95.62987500,443.42,-7.76
5,313025380,True,45.85015995,-95.62990055,442.60,-6.21
6,313025380,True,45.85022530,-95.62992610,442.20,-3.04
7,313025380,True,45.85033915,-95.62995720,441.45,-3.33
8,313025380,True,45.85045300,-95.62998830,440.33,-4.97
9,313025380,True,45.85056570,-95.63000200,439.30,-4.68
10,313025380,True,45.85065000,-95.63000675,439.11,-1.16
11,313025380,True,45.85073430,-95.63001150,438.99,-0.73
0,313025381,True,45.84972960,-95.62966750,451.13,0.00
1,313025381,True,45.84980450,-95.62977710,448.61,-11.96
2,313025381,True,45.84985500,-95.62991120,446.59,-9.71
3,313025381,True,45.84988860,-95.63004260,444.85,-9.12
4,313025381,True,45.84990075,-95.63014320,443.69,-8.35
5,313025381,True,45.84991290,-95.63024380,442.63,-7.63
6,313025381,True,45.84993340,-95.63036990,441.27,-7.72
7,313025381,True,45.84996710,-95.63045840,440.84,-3.15
8,313025381,True,45.85001430,-95.63052420,440.42,-3.29
9,313025381,True,45.85009220,-95.63058180,439.88,-3.17
10,313025381,True,45.85017260,-95.63061930,439.37,-3.11
0,313025382,True,45.84854720,-95.62892410,490.31,0.00
1,313025382,True,45.84860510,-95.62904220,490.77,2.35
2,313025382,True,45.84866490,-95.62911190,491.39,4.14
3,313025382,True,45.84876760,-95.62917360,490.75,-2.96
4,313025382,True,45.84883760,-95.62919930,487.73,-20.60
5,313025382,True,45.84890760,-95.62922500,484.03,-24.73
6,313025382,True,45.84899175,-95.62924755,480.87,-18.37
7,313025382,True,45.84907590,-95.62927010,478.31,-15.05
8,313025382,True,45.84914690,-95.62929560,475.80,-17.14
9,313025382,True,45.84921790,-95.62932110,473.05,-18.67
10,313025382,True,45.84929450,-95.62936270,469.19,-22.97
11,313025382,True,45.84937110,-95.62940430,465.44,-22.38
12,313025382,True,45.84944770,-95.62945660,462.22,-18.85
13,313025382,True,45.84952430,-95.62950890,459.06,-18.52
14,313025382,True,45.84962695,-95.62958820,454.90,-17.79
15,313025382,True,45.84972960,-95.62966750,451.13,-16.22
0,313025995,True,45.84862750,-95.62920580,487.12,0.00
1,313025995,True,45.84859570,-95.62930230,483.25,-25.08
2,313025995,True,45.84855630,-95.62939930,480.14,-19.68
3,313025995,True,45.84847800,-95.62953030,476.12,-16.73
4,313025995,True,45.84842200,-95.62961620,473.83,-14.11
5,313025995,True,45.84837150,-95.62970730,472.04,-11.23
6,313025995,True,45.84834350,-95.62979050,470.56,-11.68
7,313025995,True,45.84833230,-95.62986560,469.24,-12.51
8,313025995,True,45.84833040,-95.62993000,468.04,-13.52
9,313025995,True,45.84833600,-95.62997830,467.34,-10.46
10,313025995,True,45.84834310,-95.63002470,466.80,-8.35
11,313025995,True,45.84841805,-95.63008595,465.26,-9.12
12,313025995,True,45.84849300,-95.63014720,463.75,-8.95
13,313025995,True,45.84856160,-95.63021638,462.36,-8.48
14,313025995,True,45.84863020,-95.63028555,461.03,-8.12
15,313025995,True,45.84869880,-95.63035472,459.45,-9.62
16,313025995,True,45.84876740,-95.63042390,457.93,-9.26
17,313025995,True,45.84883680,-95.63052810,456.23,-8.66
18,313025995,True,45.84891690,-95.63061170,454.88,-6.99
19,313025995,True,45.84899070,-95.63066800,453.87,-6.20
20,313025995,True,45.84906450,-95.63072430,452.69,-7.24
