,trail_id,for_display,lat,lon,elevation,slope
0,564151653,True,43.35725450,-72.33171790,304.21,0.00
1,564151653,True,43.35735335,-72.33174930,303.58,-3.20
2,564151653,True,43.35745220,-72.33178070,302.22,-6.87
3,564151653,True,43.35753335,-72.33190270,298.53,-15.43
4,564151653,True,43.35761450,-72.33202470,296.15,-10.09
5,564151653,True,43.35772350,-72.33210490,293.57,-10.63
6,564151653,True,43.35783250,-72.33218510,291.72,-7.67
7,564151653,True,43.35789460,-72.33222868,290.29,-10.45
8,564151653,True,43.35795670,-72.33227225,287.56,-19.40
9,564151653,True,43.35801880,-72.33231582,285.24,-16.66
10,564151653,True,43.35808090,-72.33235940,283.24,-14.47
11,564151653,True,43.35819745,-72.33240125,278.84,-18.19
12,564151653,True,43.35831400,-72.33244310,274.74,-17.02
13,564151653,True,43.35834445,-72.33260695,272.16,-10.69
14,564151653,True,43.35837490,-72.33277080,268.83,-13.69
15,564151653,True,43.35840025,-72.33286492,266.90,-13.38
16,564151653,True,43.35842560,-72.33295905,265.28,-11.29
17,564151653,True,43.35845095,-72.33305318,263.56,-11.97
18,564151653,True,43.35847630,-72.33314730,262.12,-10.06
19,564151653,True,43.35857135,-72.33316647,259.36,-14.49
20,564151653,True,43.35866640,-72.33318565,256.35,-15.74
21,564151653,True,43.35876145,-72.33320482,254.11,-11.84
22,564151653,True,43.35885650,-72.33322400,251.55,-13.48
23,564151653,True,43.35897182,-72.33316473,249.10,-10.15
24,564151653,True,43.35908715,-72.33310545,246.56,-10.51
25,564151653,True,43.35920248,-72.33304617,244.37,-9.09
26,564151653,True,43.35931780,-72.33298690,242.69,-7.00
27,564151653,True,43.35941665,-72.33297905,241.10,-8.22
28,564151653,True,43.35951550,-72.33297120,239.56,-7.96
29,564151653,True,43.35961435,-72.33296335,237.88,-8.68
30,564151653,True,43.35971320,-72.33295550,236.52,-7.04
0,564151655,True,43.35769830,-72.33300370,289.92,0.00
1,564151655,True,43.35778485,-72.33294225,287.28,-13.70
2,564151655,True,43.35787140,-72.33288080,284.82,-12.80
3,564151655,True,43.35794680,-72.33281940,282.36,-14.17
4,564151655,True,43.35802220,-72.33275800,280.15,-12.78
5,564151655,True,43.35810035,-72.33273110,277.74,-15.06
6,564151655,True,43.35817850,-72.33270420,275.43,-14.46
7,564151655,True,43.35824830,-72.33275410,272.72,-17.21
8,564151655,True,43.35831810,-72.33280400,270.09,-16.73
0,564151658,True,43.35732420,-72.33189790,301.83,0.00
1,564151658,True,43.35735770,-72.33203610,300.43,-6.78
2,564151658,True,43.35739120,-72.33217430,299.46,-4.71
3,564151658,True,43.35742053,-72.33228182,299.32,-0.86
4,564151658,True,43.35744985,-72.33238935,299.20,-0.74
5,564151658,True,43.35747918,-72.33249688,299.23,0.19
6,564151658,True,43.35750850,-72.33260440,298.78,-2.77
7,564151658,True,43.35752385,-72.33269848,298.57,-1.54
8,564151658,True,43.35753920,-72.33279255,297.60,-7.09
9,564151658,True,43.35755455,-72.33288662,296.09,-10.96
10,564151658,True,43.35756990,-72.33298070,294.38,-12.37
11,564151658,True,43.35762015,-72.33310740,292.25,-10.35
12,564151658,True,43.35767040,-72.33323410,290.36,-9.20
13,564151658,True,43.35776810,-72.33332240,287.11,-14.04
14,564151658,True,43.35786580,-72.33341070,283.51,-15.48
15,564151658,True,43.35794955,-72.33347600,281.05,-12.94
16,564151658,True,43.35803330,-72.33354130,278.97,-11.00
17,564151658,True,43.35816455,-72.33351440,274.28,-17.63
18,564151658,True,43.35829580,-72.33348750,268.71,-20.68
19,564151658,True,43.35836590,-72.33339245,265.61,-15.81
20,564151658,True,43.35843600,-72.33329740,263.05,-13.16
0,564151660,True,43.35971320,-72.33295550,236.52,0.00
1,564151660,True,43.35982275,-72.33297730,233.91,-11.97
2,564151660,True,43.35993230,-72.33299910,231.02,-13.21
3,564151660,True,43.36003725,-72.33299310,228.91,-10.24
4,564151660,True,43.36014220,-72.33298710,226.55,-11.42
5,564151660,True,43.36025590,-72.33302615,222.87,-15.77
6,564151660,True,43.36036960,-72.33306520,218.47,-18.66
