trail_id,for_display,lat,lon,elevation,slope,index
76859920,True,42.21561520,-71.11758360,107.94,0.00,0
76859920,True,42.21561215,-71.11771755,106.55,-7.18,1
76859920,True,42.21560910,-71.11785150,104.19,-12.07,2
76859920,True,42.21559670,-71.11794470,101.81,-16.97,3
76859920,True,42.21558430,-71.11803790,99.22,-18.37,4
76859920,True,42.21556365,-71.11818240,94.51,-21.24,5
76859920,True,42.21554300,-71.11832690,89.90,-20.83,6
76859920,True,42.21554300,-71.11843735,87.89,-12.46,7
76859920,True,42.21554300,-71.11854780,86.64,-7.82,8
76859920,True,42.21552620,-71.11864440,85.97,-4.69,9
76859920,True,42.21548775,-71.11874380,85.32,-4.03,10
76859920,True,42.21544930,-71.11884320,84.48,-5.20,11
76859921,True,42.21284160,-71.11566990,175.89,0.00,0
76859921,True,42.21282110,-71.11563250,176.26,5.52,1
76859921,True,42.21281180,-71.11560390,176.33,1.56,2
76859921,True,42.21281470,-71.11558300,176.16,-5.54,3
76859921,True,42.21282830,-71.11556580,175.94,-6.06,4
76859921,True,42.21285000,-71.11555130,175.54,-8.45,5
76859921,True,42.21287490,-71.11554380,175.17,-7.43,6
76859921,True,42.21290050,-71.11553680,174.81,-7.07,7
76859921,True,42.21293560,-71.11552940,174.32,-7.07,8
76859921,True,42.21298460,-71.11551870,173.73,-6.10,9
76859921,True,42.21303880,-71.11550220,173.33,-3.70,10
76859921,True,42.21308320,-71.11548740,173.16,-1.91,11
76859921,True,42.21311120,-71.11547610,173.12,-0.71,12
76859921,True,42.21315820,-71.11557850,171.99,-6.50,13
76859921,True,42.21320200,-71.11565660,170.90,-7.69,14
76859921,True,42.21327870,-71.11577130,168.77,-9.50,15
76859921,True,42.21337140,-71.11589325,166.12,-10.43,16
76859921,True,42.21346410,-71.11601520,163.32,-11.01,17
76859921,True,42.21355680,-71.11613715,159.96,-13.14,18
76859921,True,42.21364950,-71.11625910,156.08,-15.09,19
76859921,True,42.21370711,-71.11635389,153.49,-14.38,20
76859921,True,42.21376473,-71.11644867,150.78,-15.02,21
76859921,True,42.21382234,-71.11654346,147.70,-16.96,22
76859921,True,42.21387995,-71.11663825,144.21,-19.07,23
76859921,True,42.21393756,-71.11673304,140.58,-19.77,24
76859921,True,42.21399518,-71.11682783,136.69,-21.07,25
76859921,True,42.21405279,-71.11692261,133.05,-19.82,26
76859921,True,42.21411040,-71.11701740,129.22,-20.77,27
76859921,True,42.21415815,-71.11710480,126.12,-19.12,28
76859921,True,42.21420590,-71.11719220,123.35,-17.21,29
76859921,True,42.21425195,-71.11727646,120.87,-16.04,30
76859921,True,42.21429800,-71.11736072,118.56,-15.00,31
76859921,True,42.21434405,-71.11744499,116.22,-15.18,32
76859921,True,42.21439010,-71.11752925,113.63,-16.72,33
76859921,True,42.21443615,-71.11761351,110.99,-17.02,34
76859921,True,42.21448220,-71.11769778,108.28,-17.44,35
76859921,True,42.21452825,-71.11778204,105.58,-17.38,36
76859921,True,42.21457430,-71.11786630,102.97,-16.84,37
76859921,True,42.21464758,-71.11801157,99.65,-12.92,38
76859921,True,42.21472085,-71.11815685,97.28,-9.30,39
76859921,True,42.21479413,-71.11830212,95.05,-8.76,40
76859921,True,42.21486740,-71.11844740,92.24,-10.99,41
76859921,True,42.21492095,-71.11855192,89.80,-13.12,42
76859921,True,42.21497450,-71.11865645,87.63,-11.71,43
76859921,True,42.21502805,-71.11876098,86.06,-8.53,44
76859921,True,42.21508160,-71.11886550,84.71,-7.35,45
76859921,True,42.21514790,-71.11901790,83.17,-6.04,46
76859925,True,42.21311120,-71.11547610,173.12,0.00,0
76859925,True,42.21317400,-71.11544210,173.29,1.29,1
76859925,True,42.21320870,-71.11542280,173.45,2.20,2
76859925,True,42.21325910,-71.11539250,173.70,2.33,3
76859925,True,42.21329450,-71.11536470,173.81,1.38,4
76859925,True,42.21332680,-71.11533580,173.84,0.40,5
76859925,True,42.21336040,-71.11531380,173.83,-0.14,6
76859925,True,42.21340030,-71.11529520,173.67,-1.95,7
76859925,True,42.21345250,-71.11528880,173.14,-5.20,8
76859925,True,42.21349950,-71.11529180,172.38,-8.26,9
76859925,True,42.21352830,-71.11529440,171.82,-9.90,10
76859925,True,42.21356000,-71.11530610,171.04,-12.05,11
76859925,True,42.21359990,-71.11532490,170.01,-12.36,12
76859925,True,42.21365510,-71.11535600,168.78,-10.48,13
76859925,True,42.21371590,-71.11539110,167.61,-9.04,14
76859925,True,42.21382240,-71.11546330,165.39,-9.51,15
76859925,True,42.21388360,-71.11550610,163.78,-11.86,16
76859925,True,42.21394460,-71.11554010,162.51,-9.82,17
76859925,True,42.21401660,-71.11558100,160.99,-9.93,18
