,trail_id,for_display,lat,lon,elevation,slope
0,268409537,True,43.78805360,-72.09571900,377.97,0.00
1,268409537,True,43.78802260,-72.09583180,376.79,-6.94
2,268409537,True,43.78799160,-72.09594460,375.66,-6.65
3,268409537,True,43.78799160,-72.09611880,370.20,-21.33
4,268409537,True,43.78799160,-72.09629300,364.35,-22.70
5,268409537,True,43.78803943,-72.09646600,361.03,-12.59
6,268409537,True,43.78808725,-72.09663900,356.07,-18.45
7,268409537,True,43.78813507,-72.09681200,350.74,-19.72
8,268409537,True,43.78818290,-72.09698500,345.63,-18.96
9,268409537,True,43.78822883,-72.09711419,342.76,-13.94
10,268409537,True,43.78827475,-72.09724338,339.66,-15.01
11,268409537,True,43.78832068,-72.09737256,336.32,-16.12
12,268409537,True,43.78836660,-72.09750175,333.49,-13.76
13,268409537,True,43.78841252,-72.09763094,329.92,-17.16
14,268409537,True,43.78845845,-72.09776012,326.62,-15.93
15,268409537,True,43.78850438,-72.09788931,322.82,-18.20
16,268409537,True,43.78855030,-72.09801850,318.95,-18.51
17,268409537,True,43.78860483,-72.09818558,314.58,-16.54
18,268409537,True,43.78865935,-72.09835265,310.69,-14.81
19,268409537,True,43.78871387,-72.09851972,307.72,-11.41
20,268409537,True,43.78876840,-72.09868680,305.08,-10.17
21,268409537,True,43.78884915,-72.09878035,303.35,-8.41
22,268409537,True,43.78892990,-72.09887390,301.51,-8.93
23,268409537,True,43.78901065,-72.09896745,299.31,-10.64
24,268409537,True,43.78909140,-72.09906100,297.30,-9.74
25,268409537,True,43.78913535,-72.09913745,295.49,-12.99
26,268409537,True,43.78917930,-72.09921390,293.17,-16.47
27,268409537,True,43.78922325,-72.09929035,291.12,-14.64
28,268409537,True,43.78926720,-72.09936680,289.18,-13.89
0,268409539,True,43.78369050,-72.08775820,549.47,0.00
1,268409539,True,43.78369050,-72.08790303,547.85,-7.93
2,268409539,True,43.78369050,-72.08804785,546.01,-8.99
3,268409539,True,43.78369050,-72.08819267,543.95,-10.05
4,268409539,True,43.78369050,-72.08833750,541.63,-11.28
5,268409539,True,43.78373950,-72.08850247,539.15,-9.82
6,268409539,True,43.78378850,-72.08866745,536.97,-8.66
7,268409539,True,43.78383750,-72.08883242,534.60,-9.40
8,268409539,True,43.78388650,-72.08899740,532.97,-6.49
9,268409539,True,43.78392657,-72.08910603,531.21,-10.19
10,268409539,True,43.78396665,-72.08921465,529.49,-9.96
11,268409539,True,43.78400672,-72.08932327,527.84,-9.56
12,268409539,True,43.78404680,-72.08943190,524.45,-19.09
13,268409539,True,43.78411262,-72.08953917,521.51,-14.58
14,268409539,True,43.78417845,-72.08964645,518.55,-14.68
15,268409539,True,43.78424427,-72.08975373,516.01,-12.67
16,268409539,True,43.78431010,-72.08986100,512.56,-16.97
17,268409539,True,43.78431650,-72.08995623,510.03,-18.24
18,268409539,True,43.78432290,-72.09005145,507.70,-16.88
19,268409539,True,43.78432930,-72.09014667,505.16,-18.31
20,268409539,True,43.78433570,-72.09024190,502.68,-17.90
21,268409539,True,43.78437578,-72.09035590,500.69,-11.06
22,268409539,True,43.78441585,-72.09046990,499.21,-8.27
23,268409539,True,43.78445593,-72.09058390,497.91,-7.28
24,268409539,True,43.78449600,-72.09069790,496.26,-9.21
25,268409539,True,43.78459400,-72.09077030,495.19,-4.95
26,268409539,True,43.78469200,-72.09084270,494.00,-5.50
27,268409539,True,43.78468695,-72.09100635,493.10,-3.92
28,268409539,True,43.78468190,-72.09117000,492.10,-4.35
29,268409539,True,43.78468190,-72.09133090,490.70,-6.19
30,268409539,True,43.78468190,-72.09149180,489.14,-6.89
31,268409539,True,43.78473865,-72.09161920,486.13,-14.06
32,268409539,True,43.78479540,-72.09174660,482.96,-14.78
33,268409539,True,43.78485215,-72.09187400,480.15,-13.16
34,268409539,True,43.78490890,-72.09200140,478.24,-9.03
35,268409539,True,43.78497995,-72.09211540,475.69,-11.91
36,268409539,True,43.78505100,-72.09222940,473.50,-10.27
37,268409539,True,43.78512205,-72.09234340,471.27,-10.45
38,268409539,True,43.78519310,-72.09245740,468.65,-12.23
39,268409539,True,43.78526670,-72.09255932,466.64,-9.85
40,268409539,True,43.78534030,-72.09266125,464.76,-9.23
41,268409539,True,43.78541390,-72.09276317,461.79,-14.39
42,268409539,True,43.78548750,-72.09286510,459.22,-12.52
43,268409539,True,43.78553978,-72.09293216,457.75,-10.51
44,268409539,True,43.78559205,-72.09299922,455.81,-13.76
45,268409539,True,43.78564433,-72.09306629,454.43,-9.88
46,268409539,True,43.78569660,-72.09313335,452.90,-10.93
47,268409539,True,43.78574887,-72.09320041,451.22,-11.97
48,268409539,True,43.78580115,-72.09326748,449.41,-12.87
49,268409539,True,43.78585342,-72.09333454,446.93,-17.38
50,268409539,True,43.78590570,-72.09340160,445.07,-13.21
51,268409539,True,43.78599090,-72.09349278,443.18,-8.97
52,268409539,True,43.78607610,-72.09358395,441.18,-9.48
53,268409539,True,43.78616130,-72.09367513,439.41,-8.41
54,268409539,True,43.78624650,-72.09376630,436.45,-13.89
55,268409539,True,43.78635935,-72.09383963,432.32,-16.59
56,268409539,True,43.78647220,-72.09391295,429.19,-12.73
57,268409539,True,43.78658505,-72.09398627,426.13,-12.45
58,268409539,True,43.78669790,-72.09405960,423.53,-10.62
0,268409541,True,43.78964350,-72.09723230,329.50,0.00
1,268409541,True,43.78966040,-72.09736050,326.54,-15.80
2,268409541,True,43.78967730,-72.09748870,323.33,-17.06
3,268409541,True,43.78968423,-72.09761632,320.07,-17.61
4,268409541,True,43.78969115,-72.09774395,317.21,-15.56
5,268409541,True,43.78969807,-72.09787157,314.10,-16.84
6,268409541,True,43.78970500,-72.09799920,311.08,-16.38
7,268409541,True,43.78971350,-72.09812663,307.79,-17.76
8,268409541,True,43.78972200,-72.09825405,304.94,-15.51
9,268409541,True,43.78973050,-72.09838147,300.90,-21.47
10,268409541,True,43.78973900,-72.09850890,297.26,-19.51
11,268409541,True,43.78974570,-72.09865297,294.60,-12.93
12,268409541,True,43.78975240,-72.09879705,292.75,-9.07
13,268409541,True,43.78975910,-72.09894113,290.06,-13.07
14,268409541,True,43.78976580,-72.09908520,288.08,-9.70
15,268409541,True,43.78977897,-72.09918867,286.78,-8.76
16,268409541,True,43.78979215,-72.09929215,285.50,-8.63
17,268409541,True,43.78980533,-72.09939562,284.28,-8.23
18,268409541,True,43.78981850,-72.09949910,282.97,-8.83
19,268409541,True,43.78988565,-72.09964605,280.40,-10.43
20,268409541,True,43.78995280,-72.09979300,278.58,-7.43
0,268409543,True,43.78387640,-72.08747920,551.04,0.00
1,268409543,True,43.78394222,-72.08742020,550.81,-1.51
2,268409543,True,43.78400805,-72.08736120,550.64,-1.12
