trail_id,for_display,lat,lon,elevation,slope,index
129586592,True,43.59972650,-110.83865270,2332.52,0.00,0
129586592,True,43.59967905,-110.83855525,2329.79,-16.10,1
129586592,True,43.59963160,-110.83845780,2327.05,-16.16,2
129586592,True,43.59958500,-110.83836393,2324.44,-15.90,3
129586592,True,43.59953840,-110.83827005,2321.85,-15.78,4
129586592,True,43.59949180,-110.83817618,2319.42,-14.85,5
129586592,True,43.59944520,-110.83808230,2316.98,-14.91,6
129586592,True,43.59939857,-110.83798305,2314.55,-14.31,7
129586592,True,43.59935195,-110.83788380,2312.04,-14.76,8
129586592,True,43.59930533,-110.83778455,2309.83,-13.06,9
129586592,True,43.59925870,-110.83768530,2307.80,-12.03,10
129586592,True,43.59922375,-110.83758605,2305.78,-12.81,11
129586592,True,43.59918880,-110.83748680,2303.19,-16.25,12
129586592,True,43.59915385,-110.83738755,2300.31,-17.96,13
129586592,True,43.59911890,-110.83728830,2297.49,-17.61,14
129586592,True,43.59906062,-110.83717565,2293.91,-17.80,15
129586592,True,43.59900235,-110.83706300,2290.20,-18.41,16
129586592,True,43.59894407,-110.83695035,2286.42,-18.73,17
129586592,True,43.59888580,-110.83683770,2283.23,-15.97,18
129586592,True,43.59885470,-110.83671970,2280.58,-14.69,19
129586592,True,43.59882360,-110.83660170,2277.41,-17.41,20
129586592,True,43.59876535,-110.83643540,2273.06,-16.30,21
129586592,True,43.59870710,-110.83626910,2269.20,-14.55,22
129586592,True,43.59871480,-110.83611890,2264.81,-19.90,23
129586592,True,43.59869565,-110.83602045,2261.23,-23.56,24
129586592,True,43.59867650,-110.83592200,2257.84,-22.44,25
129586593,True,43.60824620,-110.83261110,2520.62,0.00,0
129586593,True,43.60817170,-110.83263331,2518.43,-14.49,1
129586593,True,43.60809720,-110.83265553,2516.25,-14.43,2
129586593,True,43.60802270,-110.83267774,2513.92,-15.37,3
129586593,True,43.60794820,-110.83269995,2511.15,-18.10,4
129586593,True,43.60787370,-110.83272216,2508.19,-19.25,5
129586593,True,43.60779920,-110.83274438,2505.12,-19.91,6
129586593,True,43.60772470,-110.83276659,2502.11,-19.55,7
129586593,True,43.60765020,-110.83278880,2499.78,-15.37,8
129586593,True,43.60757219,-110.83277620,2498.13,-10.70,9
129586593,True,43.60749417,-110.83276360,2495.71,-15.49,10
129586593,True,43.60741616,-110.83275100,2492.76,-18.66,11
129586593,True,43.60733815,-110.83273840,2489.95,-17.84,12
129586593,True,43.60726014,-110.83272580,2488.16,-11.58,13
129586593,True,43.60718213,-110.83271320,2487.49,-4.39,14
129586593,True,43.60710411,-110.83270060,2486.34,-7.50,15
129586593,True,43.60702610,-110.83268800,2484.96,-8.98,16
129586593,True,43.60693259,-110.83267240,2483.52,-7.83,17
129586593,True,43.60683909,-110.83265680,2481.93,-8.63,18
129586593,True,43.60674558,-110.83264120,2480.46,-7.99,19
129586593,True,43.60665207,-110.83262560,2478.98,-8.04,20
129586593,True,43.60655857,-110.83261000,2477.23,-9.49,21
129586593,True,43.60646506,-110.83259440,2475.30,-10.44,22
129586593,True,43.60637156,-110.83257880,2473.13,-11.71,23
129586593,True,43.60627805,-110.83256320,2470.67,-13.22,24
129586593,True,43.60618454,-110.83254760,2468.24,-13.06,25
129586593,True,43.60609104,-110.83253200,2465.90,-12.60,26
129586593,True,43.60599753,-110.83251640,2463.06,-15.17,27
129586593,True,43.60590403,-110.83250080,2458.93,-21.52,28
129586593,True,43.60581052,-110.83248520,2454.16,-24.49,29
129586593,True,43.60571701,-110.83246960,2449.82,-22.51,30
129586593,True,43.60562351,-110.83245400,2445.98,-20.14,31
129586593,True,43.60553000,-110.83243840,2442.19,-19.89,32
129586593,True,43.60543897,-110.83243424,2438.20,-21.50,33
129586593,True,43.60534795,-110.83243008,2433.64,-24.24,34
129586593,True,43.60525693,-110.83242591,2428.75,-25.78,35
129586593,True,43.60516590,-110.83242175,2423.47,-27.54,36
129586593,True,43.60507487,-110.83241759,2417.86,-28.98,37
129586593,True,43.60498385,-110.83241342,2412.39,-28.38,38
129586593,True,43.60489282,-110.83240926,2407.04,-27.85,39
129586593,True,43.60480180,-110.83240510,2402.46,-24.34,40
129586593,True,43.60471847,-110.83234370,2398.96,-18.43,41
129586593,True,43.60463515,-110.83228230,2395.99,-15.79,42
129586593,True,43.60455183,-110.83222090,2393.06,-15.59,43
129586593,True,43.60446850,-110.83215950,2390.07,-15.89,44
129586593,True,43.60439385,-110.83211270,2387.34,-16.67,45
129586593,True,43.60431920,-110.83206590,2384.49,-17.36,46
129586593,True,43.60424455,-110.83201910,2381.71,-16.96,47
129586593,True,43.60416990,-110.83197230,2378.48,-19.51,48
129586593,True,43.60409525,-110.83192550,2374.31,-24.58,49
129586593,True,43.60402060,-110.83187870,2369.32,-28.70,50
129586593,True,43.60394595,-110.83183190,2364.75,-26.63,51
129586593,True,43.60387130,-110.83178510,2360.77,-23.59,52
129586593,True,43.60379665,-110.83173830,2356.87,-23.16,53
129586593,True,43.60372200,-110.83169150,2352.51,-25.56,54
129586593,True,43.60364735,-110.83164470,2347.27,-29.89,55
129586593,True,43.60357270,-110.83159790,2341.81,-30.92,56
129586593,True,43.60349805,-110.83155110,2337.00,-27.82,57
129586593,True,43.60342340,-110.83150430,2332.35,-27.03,58
129586593,True,43.60334875,-110.83145750,2327.91,-25.97,59
129586593,True,43.60327410,-110.83141070,2323.61,-25.25,60
129586593,True,43.60317606,-110.83132529,2316.88,-27.57,61
129586593,True,43.60307803,-110.83123987,2308.36,-33.47,62
129586593,True,43.60297999,-110.83115446,2301.54,-27.88,63
129586593,True,43.60288195,-110.83106905,2296.36,-21.89,64
129586593,True,43.60278391,-110.83098364,2291.42,-20.97,65
129586593,True,43.60268587,-110.83089822,2286.74,-19.95,66
129586593,True,43.60258784,-110.83081281,2281.84,-20.82,67
129586593,True,43.60248980,-110.83072740,2277.12,-20.11,68
129586593,True,43.60243405,-110.83066933,2274.07,-21.44,69
129586593,True,43.60237830,-110.83061125,2270.82,-22.71,70
129586593,True,43.60232255,-110.83055318,2267.73,-21.70,71
129586593,True,43.60226680,-110.83049510,2264.54,-22.33,72
129586593,True,43.60219769,-110.83043249,2260.22,-25.18,73
129586593,True,43.60212858,-110.83036988,2255.91,-25.12,74
129586593,True,43.60205946,-110.83030726,2251.52,-25.53,75
129586593,True,43.60199035,-110.83024465,2246.68,-27.77,76
129586593,True,43.60192124,-110.83018204,2242.82,-22.78,77
129586593,True,43.60185213,-110.83011942,2239.23,-21.34,78
129586593,True,43.60178301,-110.83005681,2235.48,-22.19,79
129586593,True,43.60171390,-110.82999420,2231.70,-22.36,80
129586593,True,43.60164147,-110.82995687,2228.18,-22.27,81
129586593,True,43.60156905,-110.82991954,2224.42,-23.63,82
129586593,True,43.60149662,-110.82988221,2220.62,-23.85,83
129586593,True,43.60142420,-110.82984487,2217.24,-21.47,84
129586593,True,43.60135177,-110.82980754,2213.68,-22.50,85
129586593,True,43.60127935,-110.82977021,2209.75,-24.57,86
129586593,True,43.60120692,-110.82973288,2206.61,-20.07,87
129586593,True,43.60113450,-110.82969555,2203.54,-19.65,88
129586593,True,43.60106208,-110.82965822,2200.08,-21.93,89
129586593,True,43.60098965,-110.82962089,2196.31,-23.68,90
