trail_id,for_display,lat,lon,elevation,slope,index
31441681,True,44.19107150,-72.93093530,1101.37,0.00,0
31441681,True,44.19109000,-72.93081520,1101.13,-1.40,1
31441681,True,44.19107155,-72.93065210,1096.44,-19.61,2
31441681,True,44.19105310,-72.93048900,1090.60,-23.92,3
31441681,True,44.19104540,-72.93039030,1087.84,-19.22,4
31441681,True,44.19103770,-72.93029160,1085.11,-19.03,5
31441681,True,44.19103000,-72.93019290,1081.38,-25.23,6
31441681,True,44.19102230,-72.93009420,1076.81,-30.00,7
31441681,True,44.19101922,-72.92999977,1072.09,-32.06,8
31441681,True,44.19101615,-72.92990535,1067.39,-31.95,9
31441681,True,44.19101308,-72.92981092,1063.73,-25.90,10
31441681,True,44.19101000,-72.92971650,1060.55,-22.88,11
31441681,True,44.19099770,-72.92955345,1055.40,-21.50,12
31441681,True,44.19098540,-72.92939040,1051.37,-17.13,13
31441681,True,44.19094693,-72.92928740,1048.53,-17.05,14
31441681,True,44.19090845,-72.92918440,1045.76,-16.65,15
31441681,True,44.19086997,-72.92908140,1042.73,-18.12,16
31441681,True,44.19083150,-72.92897840,1039.30,-20.33,17
31441681,True,44.19080228,-72.92888828,1036.51,-19.48,18
31441681,True,44.19077305,-72.92879815,1033.77,-19.16,19
31441681,True,44.19074382,-72.92870803,1030.51,-22.46,20
31441681,True,44.19071460,-72.92861790,1026.90,-24.60,21
31441681,True,44.19070535,-72.92851490,1022.96,-25.46,22
31441681,True,44.19069610,-72.92841190,1019.21,-24.38,23
31441681,True,44.19074230,-72.92828745,1015.66,-17.63,24
31441681,True,44.19078850,-72.92816300,1012.34,-16.55,25
31444296,True,44.19041460,-72.92801330,1013.35,0.00,0
31444296,True,44.19050540,-72.92805140,1012.29,-5.74,1
31444296,True,44.19056690,-72.92816300,1013.41,5.70,2
31444296,True,44.19066540,-72.92817160,1012.49,-4.79,3
31444296,True,44.19078850,-72.92816300,1012.34,-0.63,4
31444296,True,44.19086850,-72.92808570,1010.21,-11.13,5
31444296,True,44.19093620,-72.92807720,1009.65,-4.24,6
31444296,True,44.19100390,-72.92801710,1006.92,-17.01,7
31444296,True,44.19109000,-72.92792270,1003.31,-16.51,8
31444296,True,44.19115160,-72.92785400,1002.37,-6.12,9
31444296,True,44.19117620,-72.92767370,1000.46,-7.44,10
31444296,True,44.19119155,-72.92756645,997.48,-18.87,11
31444296,True,44.19120690,-72.92745920,994.96,-16.12,12
31444296,True,44.19130540,-72.92735620,992.94,-8.39,13
31444296,True,44.19143460,-72.92733040,993.02,0.32,14
31444296,True,44.19155770,-72.92730470,991.48,-6.35,15
31444296,True,44.19165620,-72.92728750,990.27,-6.26,16
31444296,True,44.19175470,-72.92721880,987.44,-13.01,17
31444296,True,44.19182240,-72.92716305,984.58,-18.12,18
31444296,True,44.19189010,-72.92710730,981.63,-18.65,19
31444296,True,44.19198240,-72.92706653,978.19,-17.72,20
