trail_id,for_display,lat,lon,elevation,slope,index
976088670,True,44.07229150,-72.25367210,294.71,0.00,0
976088670,True,44.07236722,-72.25364648,293.43,-8.40,1
976088670,True,44.07244295,-72.25362085,293.16,-1.78,2
976088670,True,44.07251867,-72.25359522,292.80,-2.38,3
976088670,True,44.07259440,-72.25356960,291.57,-8.08,4
976088670,True,44.07267215,-72.25348130,288.21,-16.76,5
976088670,True,44.07274990,-72.25339300,284.50,-18.39,6
976088670,True,44.07281027,-72.25332178,281.30,-19.98,7
976088670,True,44.07287065,-72.25325055,277.23,-24.82,8
976088670,True,44.07293103,-72.25317933,273.30,-24.06,9
976088670,True,44.07299140,-72.25310810,270.10,-19.98,10
976088670,True,44.07304258,-72.25300982,267.28,-16.22,11
976088670,True,44.07309375,-72.25291155,264.67,-15.07,12
976088670,True,44.07314492,-72.25281327,262.28,-13.85,13
976088670,True,44.07319610,-72.25271500,259.71,-14.84,14
976088670,True,44.07326155,-72.25258400,256.51,-14.09,15
976088670,True,44.07332700,-72.25245300,252.94,-15.65,16
976088670,True,44.07333930,-72.25230770,250.10,-13.66,17
976088670,True,44.07335160,-72.25216240,247.91,-10.61,18
976088671,True,44.07229150,-72.25367210,294.71,0.00,0
976088671,True,44.07231402,-72.25358095,293.92,-5.86,1
976088671,True,44.07233655,-72.25348980,293.29,-4.68,2
976088671,True,44.07235908,-72.25339865,292.39,-6.67,3
976088671,True,44.07238160,-72.25330750,291.47,-6.81,4
976088671,True,44.07243173,-72.25319215,289.64,-9.64,5
976088671,True,44.07248185,-72.25307680,287.50,-11.24,6
976088671,True,44.07253198,-72.25296145,284.49,-15.61,7
976088671,True,44.07258210,-72.25284610,281.08,-17.57,8
976088671,True,44.07263940,-72.25270083,275.94,-21.22,9
976088671,True,44.07269670,-72.25255555,270.43,-22.60,10
976088671,True,44.07275400,-72.25241027,265.24,-21.40,11
976088671,True,44.07281130,-72.25226500,261.40,-16.17,12
976088671,True,44.07286655,-72.25214962,259.13,-11.58,13
