,trail_id,for_display,lat,lon,elevation,slope
0,199805876,True,44.04780740,-70.82114350,528.98,0.00
1,199805876,True,44.04786520,-70.82120785,526.28,-18.16
2,199805876,True,44.04792300,-70.82127220,523.28,-20.02
3,199805876,True,44.04799820,-70.82132855,521.20,-12.35
4,199805876,True,44.04807340,-70.82138490,518.92,-13.50
5,199805876,True,44.04817945,-70.82143320,515.53,-15.28
6,199805876,True,44.04828550,-70.82148150,512.09,-15.50
7,199805876,True,44.04838190,-70.82149490,508.20,-19.85
8,199805876,True,44.04847830,-70.82150830,504.08,-20.93
9,199805876,True,44.04859780,-70.82156190,499.42,-18.46
10,199805876,True,44.04867295,-70.82167455,495.44,-17.95
11,199805876,True,44.04874810,-70.82178720,491.06,-19.63
12,199805876,True,44.04881175,-70.82188110,486.76,-22.63
13,199805876,True,44.04887540,-70.82197500,482.55,-22.20
14,199805876,True,44.04894480,-70.82211980,476.78,-22.53
0,199805877,True,44.04753750,-70.82275820,525.64,0.00
1,199805877,True,44.04748542,-70.82291242,524.30,-5.62
2,199805877,True,44.04743335,-70.82306665,522.41,-7.90
3,199805877,True,44.04738127,-70.82322088,520.31,-8.77
4,199805877,True,44.04732920,-70.82337510,518.55,-7.36
5,199805877,True,44.04731765,-70.82347700,517.40,-7.94
6,199805877,True,44.04730610,-70.82357890,515.87,-10.51
7,199805877,True,44.04731190,-70.82371840,513.65,-11.24
8,199805877,True,44.04731770,-70.82385790,511.51,-10.85
9,199805877,True,44.04732925,-70.82396785,509.69,-11.58
10,199805877,True,44.04734080,-70.82407780,507.38,-14.58
11,199805877,True,44.04742180,-70.82419590,504.34,-13.12
12,199805877,True,44.04751430,-70.82432460,500.60,-14.42
13,199805877,True,44.04761840,-70.82437290,497.70,-13.37
14,199805877,True,44.04766470,-70.82450160,494.45,-15.78
15,199805877,True,44.04769360,-70.82465450,490.95,-15.48
16,199805877,True,44.04772250,-70.82480740,487.78,-14.08
17,199805877,True,44.04774950,-70.82489590,486.00,-13.04
18,199805877,True,44.04777650,-70.82498440,484.00,-14.59
19,199805877,True,44.04782660,-70.82504880,482.11,-13.99
20,199805877,True,44.04795390,-70.82506490,479.23,-11.45
21,199805877,True,44.04801750,-70.82503270,478.57,-5.01
22,199805877,True,44.04808110,-70.82500050,477.85,-5.46
23,199805877,True,44.04815630,-70.82496565,476.88,-6.28
24,199805877,True,44.04823150,-70.82493080,476.46,-2.73
25,199805877,True,44.04830090,-70.82489325,475.96,-3.46
26,199805877,True,44.04837030,-70.82485570,475.75,-1.45
27,199805877,True,44.04848600,-70.82479130,475.11,-2.64
28,199805877,True,44.04859395,-70.82483690,472.41,-12.15
29,199805877,True,44.04870190,-70.82488250,469.69,-12.23
30,199805877,True,44.04877130,-70.82486105,469.10,-4.27
31,199805877,True,44.04884070,-70.82483960,468.04,-7.64
32,199805877,True,44.04893515,-70.82479400,465.87,-11.05
33,199805877,True,44.04902960,-70.82474840,463.82,-10.45
34,199805877,True,44.04909900,-70.82461430,462.61,-5.23
35,199805877,True,44.04912212,-70.82451370,462.70,0.61
36,199805877,True,44.04914525,-70.82441310,461.51,-8.02
37,199805877,True,44.04916837,-70.82431250,460.35,-7.82
38,199805877,True,44.04919150,-70.82421190,459.90,-3.05
39,199805877,True,44.04921850,-70.82405365,458.79,-4.88
40,199805877,True,44.04924550,-70.82389540,456.78,-8.79
41,199805877,True,44.04923975,-70.82379080,456.66,-0.82
42,199805877,True,44.04923400,-70.82368620,456.56,-0.68
43,199805877,True,44.04923010,-70.82353065,456.21,-1.61
44,199805877,True,44.04922620,-70.82337510,456.09,-0.55
45,199805877,True,44.04923780,-70.82322490,455.16,-4.40
46,199805877,True,44.04924940,-70.82307470,455.25,0.43
47,199805877,True,44.04927830,-70.82296205,455.62,2.22
48,199805877,True,44.04930720,-70.82284940,455.30,-1.92
49,199805877,True,44.04936510,-70.82273140,453.54,-8.76
0,199805878,True,44.04755670,-70.82238270,530.10,0.00
1,199805878,True,44.04761455,-70.82245110,528.13,-13.14
2,199805878,True,44.04767240,-70.82251950,525.77,-15.62
3,199805878,True,44.04773025,-70.82258790,523.14,-17.30
4,199805878,True,44.04778810,-70.82265630,521.32,-12.17
5,199805878,True,44.04785555,-70.82271795,518.76,-15.92
6,199805878,True,44.04792300,-70.82277960,516.39,-14.79
7,199805878,True,44.04801750,-70.82282255,512.48,-19.48
8,199805878,True,44.04811200,-70.82286550,508.61,-19.29
9,199805878,True,44.04820450,-70.82283060,505.44,-16.57
10,199805878,True,44.04829700,-70.82279570,500.58,-24.51
11,199805878,True,44.04838955,-70.82270990,496.64,-17.67
12,199805878,True,44.04848210,-70.82262410,493.28,-15.20
13,199805878,True,44.04854860,-70.82255972,490.32,-18.19
14,199805878,True,44.04861510,-70.82249535,487.57,-16.98
15,199805878,True,44.04868160,-70.82243098,485.02,-15.81
16,199805878,True,44.04874810,-70.82236660,483.03,-12.46
17,199805878,True,44.04885230,-70.82225390,479.08,-15.06
18,199805878,True,44.04895060,-70.82228340,474.55,-22.05
19,199805878,True,44.04904890,-70.82231290,469.51,-24.26
20,199805878,True,44.04915880,-70.82238000,464.03,-22.32
21,199805878,True,44.04926870,-70.82244710,458.90,-21.03
22,199805878,True,44.04933810,-70.82251950,455.68,-18.46
23,199805878,True,44.04940750,-70.82259190,452.83,-16.46
0,199827044,True,44.05327070,-70.82028520,316.97,0.00
1,199827044,True,44.05334587,-70.82023960,314.89,-12.85
2,199827044,True,44.05342105,-70.82019400,313.46,-8.91
3,199827044,True,44.05349623,-70.82014840,311.51,-12.07
4,199827044,True,44.05357140,-70.82010280,309.83,-10.44
5,199827044,True,44.05364658,-70.82003038,308.06,-9.88
6,199827044,True,44.05372175,-70.81995795,306.44,-9.05
7,199827044,True,44.05379693,-70.81988553,305.21,-6.90
8,199827044,True,44.05387210,-70.81981310,303.76,-8.12
9,199827044,True,44.05394920,-70.81977020,302.49,-7.83
10,199827044,True,44.05402630,-70.81972730,301.51,-6.06
11,199827044,True,44.05410340,-70.81968440,300.49,-6.30
12,199827044,True,44.05418050,-70.81964150,298.83,-10.19
13,199827044,True,44.05430195,-70.81959320,295.73,-12.45
14,199827044,True,44.05442340,-70.81954490,292.94,-11.24
15,199827044,True,44.05450340,-70.81951675,290.79,-13.19
16,199827044,True,44.05458340,-70.81948860,288.82,-12.12
17,199827044,True,44.05466340,-70.81946045,285.74,-18.56
18,199827044,True,44.05474340,-70.81943230,283.41,-14.25
19,199827044,True,44.05482050,-70.81945240,281.15,-14.53
20,199827044,True,44.05489760,-70.81947250,279.05,-13.54
21,199827044,True,44.05497470,-70.81949260,276.85,-14.16
22,199827044,True,44.05505180,-70.81951270,274.83,-13.04
23,199827044,True,44.05512410,-70.81955160,272.91,-12.56
24,199827044,True,44.05519640,-70.81959050,271.20,-11.22
25,199827044,True,44.05526870,-70.81962940,269.05,-14.01
26,199827044,True,44.05534100,-70.81966830,266.95,-13.69
27,199827044,True,44.05541327,-70.81967365,265.42,-10.76
28,199827044,True,44.05548555,-70.81967900,263.38,-14.22
29,199827044,True,44.05555783,-70.81968435,260.67,-18.61
30,199827044,True,44.05563010,-70.81968970,257.92,-18.87
31,199827044,True,44.05570384,-70.81964478,255.78,-13.45
32,199827044,True,44.05577758,-70.81959985,254.10,-10.63
33,199827044,True,44.05585131,-70.81955493,251.99,-13.27
34,199827044,True,44.05592505,-70.81951000,249.84,-13.51
35,199827044,True,44.05599879,-70.81946508,247.74,-13.20
36,199827044,True,44.05607253,-70.81942015,245.80,-12.23
37,199827044,True,44.05614626,-70.81937523,243.92,-11.86
38,199827044,True,44.05622000,-70.81933030,242.05,-11.80
39,199827044,True,44.05627638,-70.81927465,240.38,-12.26
40,199827044,True,44.05633275,-70.81921900,238.80,-11.62
41,199827044,True,44.05638913,-70.81916335,237.12,-12.33
42,199827044,True,44.05644550,-70.81910770,235.48,-12.05
43,199827044,True,44.05650188,-70.81905205,233.80,-12.33
44,199827044,True,44.05655825,-70.81899640,232.09,-12.54
45,199827044,True,44.05661463,-70.81894075,230.43,-12.19
46,199827044,True,44.05667100,-70.81888510,228.38,-14.94
47,199827044,True,44.05673606,-70.81881201,225.94,-14.70
48,199827044,True,44.05680113,-70.81873892,223.53,-14.53
49,199827044,True,44.05686619,-70.81866584,221.15,-14.36
50,199827044,True,44.05693125,-70.81859275,219.12,-12.32
51,199827044,True,44.05699631,-70.81851966,217.02,-12.73
52,199827044,True,44.05706138,-70.81844657,214.81,-13.37
53,199827044,True,44.05712644,-70.81837349,212.47,-14.13
54,199827044,True,44.05719150,-70.81830040,210.16,-13.95
55,199827044,True,44.05725702,-70.81822530,208.02,-12.77
56,199827044,True,44.05732255,-70.81815020,205.87,-12.83
57,199827044,True,44.05738808,-70.81807510,203.96,-11.44
58,199827044,True,44.05745360,-70.81800000,201.58,-14.15
0,199827045,True,44.05728780,-70.81992580,208.44,0.00
1,199827045,True,44.05736780,-70.81978497,206.58,-7.39
2,199827045,True,44.05744780,-70.81964415,204.53,-8.13
3,199827045,True,44.05752780,-70.81950332,201.95,-10.20
4,199827045,True,44.05760780,-70.81936250,198.91,-11.97
5,199827045,True,44.05764925,-70.81927265,197.47,-9.58
6,199827045,True,44.05769070,-70.81918280,196.07,-9.32
7,199827045,True,44.05773215,-70.81909295,194.67,-9.32
8,199827045,True,44.05777360,-70.81900310,193.39,-8.53
9,199827045,True,44.05781890,-70.81887973,191.45,-9.94
10,199827045,True,44.05786420,-70.81875635,189.81,-8.43
11,199827045,True,44.05790950,-70.81863297,188.32,-7.66
12,199827045,True,44.05795480,-70.81850960,187.08,-6.39
13,199827045,True,44.05799286,-70.81839091,185.84,-6.81
14,199827045,True,44.05803092,-70.81827223,184.39,-7.95
15,199827045,True,44.05806899,-70.81815354,183.00,-7.62
16,199827045,True,44.05810705,-70.81803485,181.73,-6.97
17,199827045,True,44.05814511,-70.81791616,180.62,-6.10
18,199827045,True,44.05818318,-70.81779747,179.51,-6.10
19,199827045,True,44.05822124,-70.81767879,178.53,-5.39
20,199827045,True,44.05825930,-70.81756010,177.43,-6.05
0,199827046,True,44.04793850,-70.81528020,385.59,0.00
1,199827046,True,44.04795416,-70.81514944,381.08,-23.06
2,199827046,True,44.04796983,-70.81501869,376.22,-24.64
3,199827046,True,44.04798549,-70.81488793,371.23,-25.22
4,199827046,True,44.04800115,-70.81475718,366.25,-25.18
5,199827046,True,44.04801681,-70.81462642,361.46,-24.33
6,199827046,True,44.04803247,-70.81449566,356.52,-25.00
7,199827046,True,44.04804814,-70.81436491,351.60,-24.91
8,199827046,True,44.04806380,-70.81423415,346.88,-24.01
9,199827046,True,44.04807946,-70.81410339,342.29,-23.42
10,199827046,True,44.04809513,-70.81397264,337.53,-24.19
11,199827046,True,44.04811079,-70.81384188,332.43,-25.70
12,199827046,True,44.04812645,-70.81371112,327.81,-23.56
13,199827046,True,44.04814211,-70.81358037,323.25,-23.29
14,199827046,True,44.04815777,-70.81344961,318.24,-25.31
15,199827046,True,44.04817344,-70.81331886,313.01,-26.27
16,199827046,True,44.04818910,-70.81318810,310.41,-13.79
0,199827048,True,44.04956550,-70.80994800,226.69,0.00
1,199827048,True,44.04957130,-70.80985143,224.57,-15.31
2,199827048,True,44.04957710,-70.80975485,221.89,-19.09
3,199827048,True,44.04958290,-70.80965828,219.36,-18.09
4,199827048,True,44.04958870,-70.80956170,217.15,-15.92
5,199827048,True,44.04956550,-70.80941690,214.08,-14.52
6,199827048,True,44.04952310,-70.80930155,211.40,-14.51
7,199827048,True,44.04948070,-70.80918620,208.25,-16.92
8,199827048,True,44.04946335,-70.80908160,205.42,-18.26
9,199827048,True,44.04944600,-70.80897700,202.46,-19.04
10,199827048,True,44.04946335,-70.80882680,198.45,-18.25
11,199827048,True,44.04948070,-70.80867660,194.74,-16.97
12,199827048,True,44.04946433,-70.80854382,191.44,-17.04
13,199827048,True,44.04944795,-70.80841105,188.49,-15.32
14,199827048,True,44.04943157,-70.80827827,186.09,-12.57
15,199827048,True,44.04941520,-70.80814550,184.51,-8.35
16,199827048,True,44.04939590,-70.80798190,182.17,-10.02
17,199827048,True,44.04937660,-70.80781830,179.88,-9.81
18,199827048,True,44.04936310,-70.80771502,178.76,-7.60
19,199827048,True,44.04934960,-70.80761175,177.68,-7.34
20,199827048,True,44.04933610,-70.80750848,176.36,-8.94
21,199827048,True,44.04932260,-70.80740520,174.95,-9.54
22,199827048,True,44.04928790,-70.80725235,172.65,-10.18
23,199827048,True,44.04925320,-70.80709950,169.81,-12.50
24,199827048,True,44.04922430,-70.80700160,168.09,-11.49
25,199827048,True,44.04919540,-70.80690370,166.90,-8.01
26,199827048,True,44.04916650,-70.80680580,165.95,-6.41
27,199827048,True,44.04913760,-70.80670790,164.99,-6.48
0,199827050,True,44.04948070,-70.82261360,451.01,0.00
1,199827050,True,44.04952407,-70.82252509,449.89,-7.45
2,199827050,True,44.04956745,-70.82243657,448.88,-6.73
3,199827050,True,44.04961083,-70.82234806,447.84,-6.93
4,199827050,True,44.04965420,-70.82225955,446.88,-6.40
5,199827050,True,44.04969757,-70.82217104,446.20,-4.54
6,199827050,True,44.04974095,-70.82208252,445.39,-5.40
7,199827050,True,44.04978433,-70.82199401,444.91,-3.21
8,199827050,True,44.04982770,-70.82190550,444.09,-5.47
9,199827050,True,44.04987975,-70.82173653,443.65,-1.72
10,199827050,True,44.04993180,-70.82156755,443.57,-0.31
11,199827050,True,44.04998385,-70.82139857,442.50,-4.17
12,199827050,True,44.05003590,-70.82122960,442.11,-1.52
13,199827050,True,44.05006482,-70.82112097,440.83,-7.87
14,199827050,True,44.05009375,-70.82101235,439.92,-5.61
15,199827050,True,44.05012267,-70.82090372,439.21,-4.39
16,199827050,True,44.05015160,-70.82079510,437.70,-9.26
17,199827050,True,44.05018053,-70.82068648,437.25,-2.78
18,199827050,True,44.05020945,-70.82057785,437.06,-1.18
19,199827050,True,44.05023837,-70.82046923,436.05,-6.23
20,199827050,True,44.05026730,-70.82036060,434.87,-7.26
21,199827050,True,44.05029620,-70.82022380,434.68,-0.96
22,199827050,True,44.05032510,-70.82008700,434.62,-0.30
23,199827050,True,44.05035400,-70.81995020,433.51,-5.56
24,199827050,True,44.05038290,-70.81981340,433.38,-0.65
25,199827050,True,44.05040605,-70.81970075,433.63,1.53
26,199827050,True,44.05042920,-70.81958810,433.97,2.08
27,199827050,True,44.05045235,-70.81947545,433.28,-4.21
28,199827050,True,44.05047550,-70.81936280,432.62,-4.03
0,199827052,True,44.04986820,-70.81605080,381.16,0.00
1,199827052,True,44.04986470,-70.81590650,379.97,-5.89
2,199827052,True,44.04993665,-70.81576780,376.71,-13.41
3,199827052,True,44.05000860,-70.81562910,372.27,-17.99
4,199827052,True,44.05008715,-70.81557172,368.42,-21.32
5,199827052,True,44.05016570,-70.81551435,364.07,-23.80
6,199827052,True,44.05024425,-70.81545698,360.20,-21.42
7,199827052,True,44.05032280,-70.81539960,356.26,-21.77
8,199827052,True,44.05043230,-70.81531215,350.57,-22.06
9,199827052,True,44.05054180,-70.81522470,344.98,-21.71
10,199827052,True,44.05065130,-70.81513725,339.35,-21.85
11,199827052,True,44.05076080,-70.81504980,334.41,-19.39
0,199827053,True,44.04715960,-70.81607980,408.47,0.00
1,199827053,True,44.04719045,-70.81590810,403.74,-18.49
2,199827053,True,44.04722130,-70.81573640,398.60,-19.97
3,199827053,True,44.04724635,-70.81560767,394.65,-20.33
4,199827053,True,44.04727140,-70.81547895,391.85,-14.72
5,199827053,True,44.04729645,-70.81535023,388.66,-16.66
6,199827053,True,44.04732150,-70.81522150,385.31,-17.45
7,199827053,True,44.04735620,-70.81505250,379.91,-21.03
8,199827053,True,44.04739090,-70.81488350,373.34,-25.07
9,199827053,True,44.04742560,-70.81471450,367.48,-22.64
10,199827053,True,44.04746030,-70.81454550,362.81,-18.39
11,199827053,True,44.04755285,-70.81441675,357.47,-20.15
12,199827053,True,44.04764540,-70.81428800,352.16,-20.05
13,199827053,True,44.04771480,-70.81412710,345.64,-23.50
14,199827053,True,44.04778420,-70.81396620,338.89,-24.23
15,199827053,True,44.04782855,-70.81385890,334.25,-25.13
16,199827053,True,44.04787290,-70.81375160,329.44,-25.93
17,199827053,True,44.04791725,-70.81364430,325.03,-24.03
18,199827053,True,44.04796160,-70.81353700,321.45,-19.89
19,199827053,True,44.04799823,-70.81337875,315.96,-22.45
20,199827053,True,44.04803485,-70.81322050,311.29,-19.37
21,199827053,True,44.04807148,-70.81306225,307.52,-15.84
22,199827053,True,44.04810810,-70.81290400,303.29,-17.66
0,199827054,True,44.05408420,-70.81817700,306.04,0.00
1,199827054,True,44.05420419,-70.81811967,301.22,-18.86
2,199827054,True,44.05432419,-70.81806234,297.01,-16.62
