,trail_id,for_display,lat,lon,elevation,slope
0,91810949,True,35.79468820,-105.79965200,3170.97,0.00
1,91810949,True,35.79464020,-105.79970600,3169.91,-8.35
2,91810949,True,35.79466530,-105.79978030,3169.07,-6.60
3,91810949,True,35.79472971,-105.79983957,3168.30,-4.92
4,91810949,True,35.79479412,-105.79989885,3167.57,-4.67
5,91810949,True,35.79485854,-105.79995813,3166.71,-5.50
6,91810949,True,35.79492295,-105.80001740,3165.67,-6.64
7,91810949,True,35.79498736,-105.80007667,3164.75,-5.88
8,91810949,True,35.79505178,-105.80013595,3163.79,-6.13
9,91810949,True,35.79511619,-105.80019522,3163.20,-3.78
10,91810949,True,35.79518060,-105.80025450,3162.53,-4.29
11,91810949,True,35.79523840,-105.80022350,3162.71,1.47
12,91810949,True,35.79526130,-105.80015810,3164.04,11.70
0,91810956,True,35.79194700,-105.79825570,3205.39,0.00
1,91810956,True,35.79194870,-105.79821460,3204.99,-6.15
2,91810956,True,35.79198980,-105.79818610,3204.34,-7.07
3,91810956,True,35.79205320,-105.79820510,3203.40,-7.38
4,91810956,True,35.79212047,-105.79825676,3203.09,-2.01
5,91810956,True,35.79218775,-105.79830843,3202.16,-6.02
6,91810956,True,35.79225502,-105.79836009,3200.94,-7.88
7,91810956,True,35.79232230,-105.79841175,3199.94,-6.47
8,91810956,True,35.79238957,-105.79846341,3198.92,-6.60
9,91810956,True,35.79245685,-105.79851508,3197.95,-6.28
10,91810956,True,35.79252412,-105.79856674,3196.85,-7.11
11,91810956,True,35.79259140,-105.79861840,3195.43,-9.15
12,91810956,True,35.79265867,-105.79867006,3193.89,-9.91
13,91810956,True,35.79272595,-105.79872173,3192.23,-10.67
14,91810956,True,35.79279323,-105.79877339,3190.54,-10.85
15,91810956,True,35.79286050,-105.79882505,3189.06,-9.53
16,91810956,True,35.79292778,-105.79887671,3188.12,-6.09
17,91810956,True,35.79299505,-105.79892838,3187.24,-5.70
18,91810956,True,35.79306233,-105.79898004,3185.99,-8.07
19,91810956,True,35.79312960,-105.79903170,3184.82,-7.56
20,91810956,True,35.79319616,-105.79908281,3183.75,-7.00
21,91810956,True,35.79326271,-105.79913393,3182.53,-7.97
