,trail_id,for_display,lat,lon,elevation,slope
0,547309095,True,41.50760650,-73.58030680,236.06,0.00
1,547309095,True,41.50763315,-73.58022040,235.93,-0.96
2,547309095,True,41.50765980,-73.58013400,235.67,-1.91
3,547309095,True,41.50768645,-73.58004760,235.29,-2.80
4,547309095,True,41.50771310,-73.57996120,234.85,-3.24
5,547309095,True,41.50767275,-73.57985755,235.38,3.12
6,547309095,True,41.50763240,-73.57975390,235.17,-1.24
7,547309095,True,41.50759205,-73.57965025,234.25,-5.40
8,547309095,True,41.50755170,-73.57954660,232.44,-10.54
9,547309095,True,41.50748170,-73.57946427,231.14,-7.14
10,547309095,True,41.50741170,-73.57938195,229.58,-8.55
11,547309095,True,41.50734170,-73.57929963,228.01,-8.61
12,547309095,True,41.50727170,-73.57921730,226.97,-5.73
13,547309095,True,41.50725035,-73.57910955,225.85,-6.88
14,547309095,True,41.50722900,-73.57900180,226.65,4.93
15,547309095,True,41.50731120,-73.57892660,227.28,3.25
16,547309095,True,41.50739340,-73.57885140,228.53,6.44
17,547309095,True,41.50750719,-73.57886359,228.05,-2.17
18,547309095,True,41.50762097,-73.57887578,227.45,-2.71
19,547309095,True,41.50773476,-73.57888796,226.66,-3.56
20,547309095,True,41.50784855,-73.57890015,225.62,-4.68
21,547309095,True,41.50796234,-73.57891234,224.39,-5.53
22,547309095,True,41.50807613,-73.57892453,223.13,-5.67
23,547309095,True,41.50818991,-73.57893671,221.87,-5.67
24,547309095,True,41.50830370,-73.57894890,220.50,-6.16
25,547309095,True,41.50839910,-73.57898570,218.65,-9.51
26,547309095,True,41.50851625,-73.57903080,216.95,-7.15
27,547309095,True,41.50863340,-73.57907590,215.57,-5.81
28,547309095,True,41.50875740,-73.57912370,214.08,-5.93
29,547309095,True,41.50882740,-73.57921315,212.11,-10.36
30,547309095,True,41.50889740,-73.57930260,210.25,-9.80
31,547309095,True,41.50896740,-73.57939205,208.62,-8.60
32,547309095,True,41.50903740,-73.57948150,206.87,-9.23
33,547309095,True,41.50907165,-73.57962430,204.43,-11.06
34,547309095,True,41.50910590,-73.57976710,202.77,-7.57
35,547309095,True,41.50914015,-73.57990990,201.84,-4.26
36,547309095,True,41.50917440,-73.58005270,201.24,-2.75
37,547309095,True,41.50920865,-73.58019550,200.31,-4.26
38,547309095,True,41.50924290,-73.58033830,198.93,-6.31
39,547309095,True,41.50927715,-73.58048110,196.99,-8.83
40,547309095,True,41.50931140,-73.58062390,195.63,-6.22
41,547309095,True,41.50933729,-73.58078296,195.24,-1.65
42,547309095,True,41.50936318,-73.58094203,194.47,-3.25
43,547309095,True,41.50938906,-73.58110109,193.33,-4.81
44,547309095,True,41.50941495,-73.58126015,191.59,-7.32
45,547309095,True,41.50944084,-73.58141921,189.23,-9.88
