,trail_id,for_display,lat,lon,elevation,slope
0,190524618,True,39.54855980,-79.37322850,908.14,0.00
1,190524618,True,39.54847707,-79.37335860,906.91,-4.86
2,190524618,True,39.54839435,-79.37348870,905.49,-5.61
3,190524618,True,39.54831162,-79.37361880,904.28,-4.78
4,190524618,True,39.54822890,-79.37374890,902.93,-5.33
5,190524618,True,39.54817252,-79.37383875,902.14,-4.55
6,190524618,True,39.54811615,-79.37392860,901.37,-4.43
7,190524618,True,39.54805977,-79.37401845,900.34,-5.92
8,190524618,True,39.54800340,-79.37410830,899.49,-4.89
9,190524618,True,39.54796100,-79.37420017,898.53,-5.97
10,190524618,True,39.54791860,-79.37429205,897.65,-5.48
11,190524618,True,39.54787620,-79.37438393,896.83,-5.10
12,190524618,True,39.54783380,-79.37447580,896.04,-4.92
13,190524618,True,39.54779140,-79.37463135,894.74,-5.25
14,190524618,True,39.54774900,-79.37478690,893.45,-5.21
15,190524618,True,39.54773970,-79.37489353,892.66,-4.91
16,190524618,True,39.54773040,-79.37500015,891.69,-6.02
17,190524618,True,39.54772110,-79.37510678,890.70,-6.14
18,190524618,True,39.54771180,-79.37521340,889.66,-6.45
19,190524618,True,39.54770767,-79.37530728,888.74,-6.51
20,190524618,True,39.54770355,-79.37540115,887.87,-6.16
21,190524618,True,39.54769943,-79.37549502,886.86,-7.14
22,190524618,True,39.54769530,-79.37558890,886.06,-5.67
23,190524618,True,39.54770150,-79.37575115,884.54,-6.23
24,190524618,True,39.54770770,-79.37591340,882.88,-6.80
25,190524618,True,39.54774285,-79.37605892,881.18,-7.41
26,190524618,True,39.54777800,-79.37620445,879.60,-6.89
27,190524618,True,39.54781315,-79.37634998,878.09,-6.59
28,190524618,True,39.54784830,-79.37649550,876.55,-6.72
29,190524618,True,39.54789483,-79.37664905,874.71,-7.41
30,190524618,True,39.54794135,-79.37680260,872.87,-7.41
31,190524618,True,39.54798788,-79.37695615,871.08,-7.21
32,190524618,True,39.54803440,-79.37710970,869.16,-7.73
33,190524618,True,39.54806750,-79.37719654,868.13,-7.07
34,190524618,True,39.54810060,-79.37728338,867.01,-7.68
35,190524618,True,39.54813370,-79.37737021,865.85,-7.95
36,190524618,True,39.54816680,-79.37745705,864.80,-7.20
37,190524618,True,39.54819990,-79.37754389,863.82,-6.73
