,trail_id,for_display,lat,lon,elevation,slope
0,392334243,True,41.51706880,-71.52978320,62.24,0.00
1,392334243,True,41.51697695,-71.52973735,61.51,-3.83
2,392334243,True,41.51688510,-71.52969150,60.50,-5.29
3,392334243,True,41.51679325,-71.52964565,59.13,-7.16
4,392334243,True,41.51670140,-71.52959980,57.72,-7.37
5,392334243,True,41.51657370,-71.52955380,56.42,-5.05
6,392334243,True,41.51650925,-71.52947160,55.30,-6.45
7,392334243,True,41.51644480,-71.52938940,54.60,-4.04
8,392334243,True,41.51638035,-71.52930720,53.67,-5.36
9,392334243,True,41.51631590,-71.52922500,52.00,-9.57
10,392334243,True,41.51623270,-71.52911955,49.88,-9.44
11,392334243,True,41.51614950,-71.52901410,48.82,-4.75
12,392334243,True,41.51611945,-71.52892507,48.16,-4.64
13,392334243,True,41.51608940,-71.52883605,47.25,-6.39
14,392334243,True,41.51605935,-71.52874703,46.50,-5.27
15,392334243,True,41.51602930,-71.52865800,45.53,-6.80
16,392334243,True,41.51604550,-71.52849840,43.76,-7.52
17,392334243,True,41.51606170,-71.52833880,41.66,-8.90
18,392334243,True,41.51610520,-71.52825800,41.29,-2.56
19,392334243,True,41.51614870,-71.52817720,40.26,-7.09
20,392334243,True,41.51618855,-71.52809685,39.65,-4.35
21,392334243,True,41.51622840,-71.52801650,38.80,-6.05
22,392334243,True,41.51627650,-71.52794485,38.57,-1.64
23,392334243,True,41.51632460,-71.52787320,37.91,-4.71
24,392334243,True,41.51642790,-71.52777550,35.99,-7.77
25,392334243,True,41.51651790,-71.52775090,35.80,-1.07
0,392334245,True,41.51693590,-71.52906780,56.61,0.00
1,392334245,True,41.51698130,-71.52900020,56.26,-2.65
2,392334245,True,41.51701220,-71.52891255,55.74,-3.69
3,392334245,True,41.51704310,-71.52882490,54.85,-6.30
4,392334245,True,41.51707005,-71.52869510,51.57,-16.30
5,392334245,True,41.51709700,-71.52856530,46.50,-24.33
6,392334245,True,41.51712395,-71.52843550,44.51,-10.06
7,392334245,True,41.51715090,-71.52830570,42.85,-8.42
8,392334245,True,41.51714870,-71.52815440,40.51,-10.52
9,392334245,True,41.51714650,-71.52800310,37.24,-14.55
10,392334245,True,41.51711395,-71.52786430,35.66,-7.43
11,392334245,True,41.51708140,-71.52772550,34.83,-3.92
12,392334245,True,41.51700135,-71.52763570,34.54,-1.43
13,392334245,True,41.51692130,-71.52754590,34.47,-0.35
0,392334247,True,41.51631590,-71.52922500,52.00,0.00
1,392334247,True,41.51631590,-71.52911927,50.43,-10.11
2,392334247,True,41.51631590,-71.52901355,49.75,-4.42
3,392334247,True,41.51631590,-71.52890783,48.95,-5.19
4,392334247,True,41.51631590,-71.52880210,48.03,-5.97
5,392334247,True,41.51631075,-71.52870585,47.06,-6.88
6,392334247,True,41.51630560,-71.52860960,45.87,-8.43
7,392334247,True,41.51630045,-71.52851335,44.54,-9.40
8,392334247,True,41.51629530,-71.52841710,43.32,-8.63
9,392334247,True,41.51629530,-71.52824865,41.51,-7.35
10,392334247,True,41.51629530,-71.52808020,39.78,-7.03
11,392334247,True,41.51630995,-71.52797670,39.09,-4.50
12,392334247,True,41.51632460,-71.52787320,37.91,-7.66
0,392334248,True,41.51720350,-71.53215620,85.92,0.00
1,392334248,True,41.51725995,-71.53199468,83.72,-8.43
2,392334248,True,41.51731640,-71.53183315,81.87,-7.11
3,392334248,True,41.51737285,-71.53167163,79.70,-8.32
4,392334248,True,41.51742930,-71.53151010,77.12,-9.86
5,392334248,True,41.51745503,-71.53140010,74.85,-13.31
6,392334248,True,41.51748075,-71.53129010,73.17,-9.93
7,392334248,True,41.51750648,-71.53118010,71.69,-8.77
8,392334248,True,41.51753220,-71.53107010,70.45,-7.36
9,392334248,True,41.51754508,-71.53089992,68.16,-9.14
10,392334248,True,41.51755795,-71.53072975,66.75,-5.65
11,392334248,True,41.51757082,-71.53055958,66.06,-2.77
12,392334248,True,41.51758370,-71.53038940,65.27,-3.18
13,392334248,True,41.51757600,-71.53030340,64.69,-4.60
14,392334248,True,41.51754065,-71.53021070,63.97,-4.75
15,392334248,True,41.51750530,-71.53011800,63.51,-3.04
16,392334248,True,41.51747080,-71.53008160,63.34,-1.99
17,392334248,True,41.51737030,-71.53000700,63.05,-1.30
18,392334248,True,41.51726980,-71.52993240,62.97,-0.36
19,392334248,True,41.51716930,-71.52985780,62.79,-0.81
20,392334248,True,41.51706880,-71.52978320,62.24,-2.46
0,392334250,True,41.51720350,-71.53215620,85.92,0.00
1,392334250,True,41.51728870,-71.53210170,84.58,-7.27
2,392334250,True,41.51737480,-71.53207055,83.61,-5.59
3,392334250,True,41.51746090,-71.53203940,83.11,-2.89
4,392334250,True,41.51750015,-71.53196463,82.36,-5.63
5,392334250,True,41.51753940,-71.53188985,81.29,-8.01
6,392334250,True,41.51757865,-71.53181507,80.16,-8.45
7,392334250,True,41.51761790,-71.53174030,79.05,-8.31
8,392334250,True,41.51767965,-71.53158045,77.48,-5.98
9,392334250,True,41.51774140,-71.53142060,75.52,-7.46
10,392334250,True,41.51777615,-71.53130200,73.93,-8.53
11,392334250,True,41.51781090,-71.53118340,72.32,-8.63
12,392334250,True,41.51783670,-71.53101500,70.17,-8.54
13,392334250,True,41.51783445,-71.53089467,69.01,-6.60
14,392334250,True,41.51783220,-71.53077435,68.19,-4.68
15,392334250,True,41.51782995,-71.53065403,67.71,-2.74
16,392334250,True,41.51782770,-71.53053370,67.16,-3.14
17,392334250,True,41.51782545,-71.53041338,66.49,-3.83
18,392334250,True,41.51782320,-71.53029305,65.75,-4.22
19,392334250,True,41.51782095,-71.53017272,64.89,-4.90
20,392334250,True,41.51781870,-71.53005240,64.20,-3.94
21,392334250,True,41.51785345,-71.52992175,63.64,-2.78
22,392334250,True,41.51788820,-71.52979110,63.22,-2.08
23,392334250,True,41.51793583,-71.52967765,62.71,-2.70
24,392334250,True,41.51798345,-71.52956420,62.14,-3.01
25,392334250,True,41.51803107,-71.52945075,61.75,-2.06
26,392334250,True,41.51807870,-71.52933730,61.05,-3.70
